Tunniste;lat;lon
1.2.245.10.2142950.10.371;60.92472;23.36894
1.2.245.10.2142950.10.372;60.82151;23.63835
1.2.246.10.10000549.10.0;60.19031;24.83991
1.2.246.10.10000549.10.1;60.19031;24.83991
1.2.246.10.10002261.10.0;65.73257;24.56973
1.2.246.10.10002261.10.1;65.76974;24.54696
1.2.246.10.10008233.10.0;60.98461;25.64368
1.2.246.10.10008233.10.1;60.98461;25.64368
1.2.246.10.10009201.10.0;62.65158;29.33512
1.2.246.10.10009201.10.1;62.65158;29.33512
1.2.246.10.10009201.10.2;62.65158;29.33512
1.2.246.10.10010237.10.0;62.83047;27.69686
1.2.246.10.10010237.10.1;62.91154;27.69943
1.2.246.10.10010237.10.2;62.83315;27.64728
1.2.246.10.10010237.10.3;62.80644;27.61068
1.2.246.10.10010237.10.4;62.89721;27.69711
1.2.246.10.10010237.10.5;62.90234;27.6347
1.2.246.10.10010237.10.6;62.68773;27.57192
1.2.246.10.10010237.10.7;62.83815;27.64619
1.2.246.10.10010237.10.8;62.89166;27.6728
1.2.246.10.10023214.10.0;61.41623;26.87795
1.2.246.10.10023214.10.1;61.50761;26.48179
1.2.246.10.10023214.10.2;61.41623;26.87795
1.2.246.10.10026255.10.0;60.24478;24.77154
1.2.246.10.10026255.10.1;60.24478;24.77154
1.2.246.10.10026255.10.2;60.2167084;24.8111705
1.2.246.10.10027792.10.0;62.8964;27.67429
1.2.246.10.10027792.10.1;62.90825;27.68442
1.2.246.10.10027872.10.0;62.88893;27.6775
1.2.246.10.10027872.10.1;62.88893;27.6775
1.2.246.10.10028221.10.0;60.94496;24.62071
1.2.246.10.10028221.10.1;60.94496;24.62071
1.2.246.10.10029253.10.0;60.9187;24.64018
1.2.246.10.10029253.10.1;60.9187;24.64018
1.2.246.10.10029253.10.2;61.05832;25.02933
1.2.246.10.10029253.10.3;60.9187;24.64018
1.2.246.10.10029253.10.4;60.9187;24.64018
1.2.246.10.10035637.10.0;62.61551;29.69121
1.2.246.10.10035637.10.1;62.61551;29.69121
1.2.246.10.10044138.10.0;63.51218;27.23234
1.2.246.10.10044138.10.1;63.51218;27.23234
1.2.246.10.10050298.10.0;61.60596;25.36686
1.2.246.10.10050298.10.1;61.60596;25.36686
1.2.246.10.10050829.10.0;62.29592;25.18005
1.2.246.10.10050829.10.1;62.29592;25.18005
1.2.246.10.10050829.10.2;62.29592;25.18005
1.2.246.10.10051733.10.0;60.78087;24.94305
1.2.246.10.10051733.10.1;60.78087;24.94305
1.2.246.10.10052947.10.0;61.48748;21.79222
1.2.246.10.10052947.10.1;61.48748;21.79222
1.2.246.10.10057094.10.0;66.50262;25.71916
1.2.246.10.10057094.10.1;66.50262;25.71916
1.2.246.10.10059313.10.0;60.04231;24.49483
1.2.246.10.10059313.10.1;60.04231;24.49483
1.2.246.10.10060808.10.0;61.7623;23.08815
1.2.246.10.10060808.10.1;61.6371418;23.193871
1.2.246.10.10060808.10.2;61.7561;23.07782
1.2.246.10.10060808.10.3;61.45193;22.57897
1.2.246.10.10060808.10.4;61.50486;23.04077
1.2.246.10.10060808.10.5;61.65604;23.18402
1.2.246.10.10060808.10.6;61.4868;23.86603
1.2.246.10.10062467.10.0;60.2817;24.75089
1.2.246.10.10062467.10.1;60.2817;24.75089
1.2.246.10.10062731.10.0;65.00566;25.47453
1.2.246.10.10062731.10.1;65.00566;25.47453
1.2.246.10.10062731.10.2;65.01002;25.47741
1.2.246.10.10062846.10.0;60.21047;24.88222
1.2.246.10.10062846.10.1;60.21047;24.88222
1.2.246.10.10064155.10.0;60.94255;25.63462
1.2.246.10.10064155.10.1;60.98094;25.65237
1.2.246.10.10064868.10.0;60.15158;24.64569
1.2.246.10.10064868.10.1;60.15158;24.64569
1.2.246.10.10065385.10.0;65.2885345;25.3742747
1.2.246.10.10065385.10.101;65.658706;25.0607456
1.2.246.10.10065385.10.101001;65.658706;25.0607456
1.2.246.10.10065385.10.101002;65.65837;25.05943
1.2.246.10.10065385.10.101003;65.65837;25.05943
1.2.246.10.10065385.10.101004;65.65837;25.05943
1.2.246.10.10065385.10.101005;65.65794;25.06125
1.2.246.10.10065385.10.101006;65.658706;25.0607456
1.2.246.10.10065385.10.101007;65.658706;25.0607456
1.2.246.10.10065385.10.101008;65.658706;25.0607456
1.2.246.10.10065385.10.101009;65.65794;25.06125
1.2.246.10.10065385.10.102;65.32001;25.40448
1.2.246.10.10065385.10.102001;65.3201;25.4047
1.2.246.10.10065385.10.102002;65.32001;25.40448
1.2.246.10.10065385.10.102003;65.32307;25.37539
1.2.246.10.10065385.10.102004;65.3201;25.4047
1.2.246.10.10065385.10.102005;65.32001;25.40448
1.2.246.10.10065385.10.102006;65.60329;25.20673
1.2.246.10.10065385.10.102007;65.60294;25.20564
1.2.246.10.10065385.10.102008;65.60294;25.20564
1.2.246.10.10065385.10.102009;65.60294;25.20564
1.2.246.10.10065385.10.102010;65.60329;25.20673
1.2.246.10.10065385.10.102011;65.60294;25.20564
1.2.246.10.10065385.10.102012;65.60294;25.20564
1.2.246.10.10065385.10.102013;65.60294;25.20564
1.2.246.10.10065385.10.102014;65.60329;25.20673
1.2.246.10.10065385.10.102015;65.60294;25.20564
1.2.246.10.10065385.10.102016;65.31453;25.38616
1.2.246.10.10065385.10.102017;65.60294;25.20564
1.2.246.10.10065385.10.102018;65.32001;25.40448
1.2.246.10.10065385.10.102019;65.32001;25.40448
1.2.246.10.10065385.10.102020;65.32402;25.37338
1.2.246.10.10065385.10.102021;65.31453;25.38616
1.2.246.10.10065385.10.102022;65.32259;25.36986
1.2.246.10.10065385.10.102023;65.3201;25.4047
1.2.246.10.10065385.10.102024;65.32001;25.40448
1.2.246.10.10065385.10.102025;65.17152;25.35933
1.2.246.10.10065385.10.102026;65.60208;25.20677
1.2.246.10.10065385.10.102027;65.3201;25.4047
1.2.246.10.10065385.10.102028;65.32001;25.40448
1.2.246.10.10065385.10.102029;65.32259;25.36986
1.2.246.10.10065385.10.102030;65.3183192;25.4034785
1.2.246.10.10065385.10.102031;65.3183192;25.4034785
1.2.246.10.10065385.10.102032;65.60294;25.20564
1.2.246.10.10065385.10.102033;65.60294;25.20564
1.2.246.10.10065385.10.102034;65.32001;25.40448
1.2.246.10.10065385.10.102035;65.60294;25.20564
1.2.246.10.10065385.10.102036;65.32001;25.40448
1.2.246.10.10065385.10.102037;65.32269;25.36477
1.2.246.10.10065385.10.102038;65.32269;25.36477
1.2.246.10.10065385.10.102039;65.32001;25.40448
1.2.246.10.10065385.10.102040;65.32001;25.40448
1.2.246.10.10065385.10.102041;65.32244;25.31645
1.2.246.10.10065385.10.102042;65.60028;25.19055
1.2.246.10.10065385.10.102043;65.28672;25.3701
1.2.246.10.10065385.10.102044;65.46233;25.37416
1.2.246.10.10065385.10.102045;65.31925;25.44707
1.2.246.10.10065385.10.102046;65.32242;25.37231
1.2.246.10.10065385.10.102047;65.3421;25.37344
1.2.246.10.10065385.10.102048;65.32364;25.48451
1.2.246.10.10065385.10.102049;65.32048;25.36373
1.2.246.10.10065385.10.102050;65.32048;25.36373
1.2.246.10.10065385.10.102051;65.3101781;25.6212345
1.2.246.10.10065385.10.103;65.3602;27.00797
1.2.246.10.10065385.10.103001;65.41715;26.72732
1.2.246.10.10065385.10.103002;65.36205;26.96922
1.2.246.10.10065385.10.103003;65.40615;26.89947
1.2.246.10.10065385.10.103004;65.3602;27.00797
1.2.246.10.10065385.10.103005;65.3602;27.00797
1.2.246.10.10065385.10.103006;65.3602;27.00797
1.2.246.10.10065385.10.103007;65.39689;27.31516
1.2.246.10.10065385.10.103008;65.3602;27.00797
1.2.246.10.10065385.10.103009;65.3602;27.00797
1.2.246.10.10065385.10.103010;65.35757;26.99695
1.2.246.10.10065385.10.103011;65.2789945;26.5508454
1.2.246.10.10065385.10.103012;65.36229;27.00286
1.2.246.10.10065385.10.103013;65.36229;27.00286
1.2.246.10.10065385.10.103014;65.3602;27.00797
1.2.246.10.10065385.10.103015;65.36229;27.00286
1.2.246.10.10065385.10.103016;65.3602;27.00797
1.2.246.10.10065385.10.103017;65.36946;27.0037
1.2.246.10.10065385.10.103018;65.3602;27.00797
1.2.246.10.10065385.10.103019;65.3602;27.00797
1.2.246.10.10065385.10.103020;65.3602;27.00797
1.2.246.10.10065385.10.103021;65.36259;26.96729
1.2.246.10.10065385.10.103022;65.3602;27.00797
1.2.246.10.10065385.10.103023;65.36248;26.99751
1.2.246.10.10065385.10.103024;65.3602;27.00797
1.2.246.10.10065385.10.103025;65.36211;26.99996
1.2.246.10.10065385.10.103026;65.3602;27.00797
1.2.246.10.10065385.10.103027;65.3602;27.00797
1.2.246.10.10065385.10.103028;65.3602;27.00797
1.2.246.10.10065385.10.103029;65.3602;27.00797
1.2.246.10.10065385.10.103030;65.61619;27.42375
1.2.246.10.10065385.10.103031;65.36129;27.00729
1.2.246.10.10065385.10.103032;65.36205;26.96922
1.2.246.10.10065385.10.103033;65.3602;27.00797
1.2.246.10.10065385.10.103034;65.78861;27.33458
1.2.246.10.10065385.10.103035;65.3602;27.00797
1.2.246.10.10065385.10.103036;65.3602;27.00797
1.2.246.10.10065385.10.103037;65.3602;27.00797
