source:addr:ref,amenity,int_name,addr:street:en,healthcare:speciality,addr:housenumber:en,contact:website,roof:colour,addr:suburb,roof:height,alt_name,operator,source:addr,addr:housenumber,barrier,note:cadastre:id,note:cadastre:building_use,building:levels,opening_hours,contact:phone,lon,note,source,source:geometry:ref,email,website,description,emergency,addr:suburb:en,phone,check_date,lat,created_by_1,air_conditioning,name:bg,source:addr:date,source:loc,addr:street,building,name:en,ekatte,name,roof:shape,addr:postcode,wheelchair,name:old,addr:city,source:geometry,source:geometry:date,healthcare,operator:type,toilets:wheelchair,roof:material
,clinic,,,,,,,,,,,,145,,,,,,,23.3087297,,,,dkc11@abv.bg,http://zdravencatalog.com/dkc-11/,,,,+359 2 931 8048;+359 884 513259,,42.7034158,,,,,,Цар Симеон,yes,11th Diagnostic-Consultative Center,,11-ти ДКЦ,,,,,София,,,clinic,,,
,clinic,,,,,,,,,14 -та поликлиника,,,7,,,,4,,,23.3113118,,,,,www.14dkc.com,,,,,,42.6789579,,,,,,Д-р Стефан Сарафов,hospital,,,14-ти ДКЦ,,1408,,,София,,,,,,
,clinic,,,,,,,,,,,,16,,,,,,,23.3440821,,,,,,,,,,,42.6904350,,,,,,Мизия,,,,19-ти ДКЦ,,,,,София,,,,,,
,clinic,,,general;ophthalmology,,,,,,,,,9,,,,3,Mo-Fr 08:00-19:00,,23.3598031,,,,info@22dkc.com,http://22dkc.com/,,,,+359 2 892 98 40,,42.6782954,,,,,,Николай Коперник,yes,Diagnosis Consult Centre 22,,22-ри ДКЦ,,1113,,,София,,,clinic,,,
,clinic,,,,,,,,,24-та Поликлиника,,,,fence,,,,,,23.3029160,,,,,,,,,,,42.7377248,,,,,,,,,,24-ти ДКЦ,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.7508499,,,,,,,no,,,,42.1306589,,,,,,,yes,,,7-мо ДКЦ,,,,,,,,,,,
,clinic,,,,,,,,,,,,66А,,,,7,,+359 700 13 127,23.3853252,,,,,https://cityclinic.bg/,,,,,,42.6551835,,,,,,бул. Цариградско Шосе,office,,,City Clinic Oncology,,1784,,,София,,,,,,
,clinic,,,,,,,,,,,,8А,,,,3,,,23.3271314,,Bing,,,http://alexandrahealth.bg,,,,+359 2 4750909,,42.6989408,,,,,,Бачо Киро,yes,,,Clinic,,1000,,,София,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.4580371,,,,,,,,,,,42.5118820,,,Oчна клиника „Св. Николай Чудотворец“,,,,,Eye Clinic St. Nikolay,,Oчна клиника „Св. Николай Чудотворец“,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.4023378,,,,,,,,,,,42.6875929,,,,,,,yes,,,Авио Поликлиника,,,,,,,,clinic,,,
,clinic,,,,,,,,,,Acibadem City Clinic,,,,,,,,,27.9158118,,,,,,,,,,,43.2173714,,,,,,,,,,Аджибадем Сити Клиник,,,,,,,,,,,
,clinic,,,,,,,,,,,,60,,,,,,,25.0943016,,,,,,Клиника „Акта Медика“,,,+359 67 533 468,,43.0208813,borislavpenkov,,,,,ул. Никола Петков,yes,,,Акта Медика,,5400,,,Севлиево,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,23.5660419,,,,,,,,,,,41.8228170,,,,,,,yes,,,Балнеолечебница,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,24.1316548,,,,,,,,,,,42.4627678,,,,,,,yes,,,Балнеолечебница,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.9178620,,,,,,,,,,,43.2132600,,,,,,,hospital,,,Варненска кардиология,,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,25.7916591,,,,,,,,,,,42.6615364,,,,,,,yes,,,Градска поликлиника,,,,,,,,,,,
,clinic,,,,,,,,,,ДКЦ VIII София ЕООД,,77,fence,,,,Mo-Fr 07:30-19:00,02/936 12 27,23.2936228,,,,,,,,,,,42.7300143,,,,,,Христо Силянов,,,,ДКЦ VIII София,,,yes,,София,,,,,no,
,clinic,,,,,,,,,,,,35,,,,,,,25.3213778,,,,,http://www.dkc-gabrovo.com/,,,,"+359 66 814 311, +359 66 807166",,42.8900755,,,,,,ул. ”Христо Смирненски”,,,,ДКЦ І – Габрово ЕООД - II база,,5300,,,Габрово,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,27.4680902,,,,,,,,,,,42.5076556,,,,,,,,St. George (Military hospital),,ДКЦ Свети Георги Победоносец (Военна болница),,,,,,,,,,,
,clinic,,,,,,,,,,,,,,,,,,,25.3224453,Диагностичен консултативен център 1,,,,,,,,,,42.8599277,,,,,,,,DKC 1,,Диагностичен консултативен център 1,,,,,,,,,,,
