building,amenity,name:en,name,healthcare:speciality,lon,addr:city,source,healthcare,lat,addr:street
yes,clinic,,Doğuş Kadın Hastalıkları ve Dopum Hastanesi,,33.3562846,,Kaart Ground Survey 2017,clinic,35.1893723,Şehit Erdoğan Mustafa Sokak
yes,clinic,,Dr. Burhan Nalbantoğlu Devlet Hastanesi Policlinic,,33.3318896,,Kaart Ground Survey 2017,clinic,35.2078257,Dr. Niyazi Manyera Sokak
yes,clinic,,Euro Care IVF,fertility,33.3661542,,Kaart Ground Survey 2017,clinic,35.2080024,Şehit Mustafa Ruso Caddesi
yes,clinic,,European Medical Clinic,,33.3438052,,Kaart Ground Survey 2017,clinic,35.1603778,Βυζαντίου
yes,clinic,,Gardiyanoğlu Klinik,,33.3819815,,Kaart Ground Survey 2017,clinic,35.2201207,Ali Hoca Sokak
yes,clinic,,Let Us Care,,33.3748909,,Kaart Ground Survey 2017,clinic,35.1098590,Lefkosias
yes,clinic,,MRI CT,,33.3393831,,Kaart Ground Survey 2017,clinic,35.1403100,Charalambou Petemeridi
yes,clinic,,Marmara Clinic,,33.3347781,,Kaart Ground Survey 2017,clinic,35.2082407,Yaman Bey Sokak
yes,clinic,,Medoclinic,,33.3708555,,Kaart Ground Survey 2017,clinic,35.1638466,Nikodimou Milona
yes,clinic,,NIS Hospital,,33.3152258,,,clinic,35.2069920,
yes,clinic,,Potamitis Medicare,,33.3412296,,Kaart Ground Survey 2017,clinic,35.1479709,Archbishop Kyprianou Avenue
yes,clinic,,Vein Clinics,,33.3610319,,Kaart Ground Survey 2017,clinic,35.1903702,Atatürk Caddesi
yes,clinic,Primary Medicine,ΔΗΜΟΤΙΚΟ ΙΑΤΡΕΙΟ,,33.5914849,,Kaart Ground Survey 2017,clinic,34.9525191,Saint Lucas Street
yes,clinic,Municipal Gynocological Clinic,ΜΑΙΕΥΤΙΚΗ ΓΥΝΑΙΚΟΛΟΓΙΚΗ ΚΛΙΝΙΚΗ,gynaecology;obstetrics,33.5995328,Larnaka,Kaart Ground Survey 2017,clinic,34.9302020,Navpliou Street
yes,clinic,,Παιδοκμικος Σταθμος Αντρεα τςωπτςη,,33.5922070,,Kaart Ground Survey 2017,clinic,34.8768089,25Is Maritou
