building:ruian:type,ref:IČO,amenity,lon,contact:website,building:flats,uir_adr:ADRESA_KOD,addr:streetnumber,height,alt_name,social_facility:for,operator,addr:conscriptionnumber,addr:housenumber,ref:DIČ,building:levels,opening_hours,addr:housename,building:place,note,source,start_date,is_in,ref:ruian:building,email,website,description,emergency,building:colour,name:cs,phone,historic,official_name,old_name,lat,addr:street,building,ref:ruian:addr,name,roof:shape,addr:postcode,wheelchair,addr:place,addr:city,internet_access:fee,healthcare,source:addr,addr:country,internet_access
,,clinic,15.0883687,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,50.9249512,,,,Ambulance,,,,,,,,,,
14,,clinic,15.0559821,,,,,,,,,,1,,6,,,,,cuzk:ruian,2017-12-21,,92410600,,http://avicena-liberec.cz,,,,,,,,,50.7714355,Pálkova,commercial,,Avicena,,,,,Liberec,,,,,
,,clinic,15.0671972,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,,,,,50.7747388,,yes,,Dětská poliklinika,,,,,,,,,,
15,,clinic,14.0847486,https://euc.cz/nase-zarizeni/kliniky/euc-klinika-slany/,1,,,,,,,,,,1,,,,,cuzk:ruian,,,6008917,,,,,,,,,,,50.2325807,,civic,,EUC Klinika,,,,,,,,,,
15,26730413,clinic,13.3837130,http://www.eucklinika.cz/,2,,,,,,,,,CZ699002423,,,,,,cuzk:ruian,,,24139921,,,,,,,,,,polyklinika Denisovo nábřeží,49.7447850,Denisovo nábřeží,civic,,EUC klinika,,,,,,,,,,
15,,clinic,14.0871850,,1,,,,,,,,,,2,,,,,cuzk:ruian,,,1403770,,,,,,,,,,,50.1378120,,civic,,"Edukační kampus, dentální učení Kladno",,,,,,,,,,
5,,clinic,18.2854812,,,,81,,,,,2587,2587/81,,5,,,,,cuzk:ruian,,,3172058,,,,,,,,,,,49.8464350,Sokolská třída,civic,3195236,Hornická poliklinika,,70200,,Moravská Ostrava,,,,,CZ,
,,clinic,14.0001359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6764169,,,,III. poliklinika,,,,,,,,,,
,,clinic,14.3946430,,,,,,,,,,,,,,,,,,,,,,https://www.klinika-malvazinky.cz/,,,,,,,,,50.0642960,,,,Klinika Malvazinky,,,,,,,,,,
,,clinic,16.5906865,,,,,,,,,,,,,,,,,,,,,,http://www.plasticka-chirurgie-berkova.cz,,,,,,,,,49.2257803,,,,Klinika plastické chirurgie,,,,,,,,,,
15,,clinic,14.4220720,,1,,,,,,,,,,3,,,,,cuzk:ruian,,,22137009,,,,,,,,,,,50.0969738,,civic,,Klinika u svatého Klimenta,,,,,,,,,,
,,clinic,14.3999698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.1068870,,,,LDN,,,,,,,,,,
5,,clinic,17.0249698,,,,,,,,,,,,1,,,,,cuzk:ruian,,,13558986,,,,yes,,,,,,,49.0634235,,civic,,Lékařské centrum - Laudonova vila,,,,,,,,,,
15,,clinic,12.6414221,https://lpzsokolov.cz/,,,,,,,,,,,1,Mo-We 07:00-15:00; Th 12:00-18:00,,,,cuzk:ruian,,,20562187,,,,,,,,,,,50.1775593,,civic,,Léčebně preventivní zařízení,,,,,,,,,,
15,,clinic,18.1782084,,2,,39,,,,,962,962/39,,1,,,,,cuzk:ruian,,,3268411,,,,,,,,,,,49.8313636,Opavská,hospital,3292959,"MEPHACENTRUM, a.s.",,70800,,Poruba,Ostrava,,,,CZ,
15,,clinic,17.9024430,http://medical-center.cz/,,,,,,,,,244/27,,4,,,,,cuzk:ruian,,,23963794,,,,,,,,,,,49.9366175,Ostrožná,civic,,MG Medical Center,,74601,,,Opava,,,,,
19,,clinic,17.2362842,,,25823965,1,,,,ProMedica,914,914/1,,1,,,,,cuzk:ruian,2003-09-25,,25332970,,,,,,,,,,,49.5971876,Na Šibeníku,yes,,"Mamografie, chirurgická ambulance",,77900,,,,,,uir_adr,,
