health_facility:type,shop,office,healthcare:speciality,building:part,description:de,social_facility,building:type,addr:housenumber,toilets,fenced,addr:state,ele,source,image,fax,survey:date,name_alt,emergency,fixme,leisure,historic,ref:gdke,wikimedia_commons,addr:street,contact:facebook,name:en,contact:fax,name,wheelchair:description,addr:postcode,roof:material,ref:bldam,internet_access:fee,roof:orientation,registration_hours,disused,internet_access,health_specialty:psychiatry,designation,roof:height,provided_for:adolescent,loc_name,building:name,source:addr,capacity,wikipedia,language:others,access,check_date,ref,email,highway,building:height,barrier,contact:email,roof:shape,building:use,health_specialty:psychotherapy,health_specialty:psychiatrics,source:geometry,addr:city,roof:direction,language:de,health_person:type,toilets:wheelchair,provided_for:child,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,construction_date,operator,short_name,service,area,opening_hours,contact:phone,addr:housename,vehicle,start_date,website,heritage:description:de,health_specialty:rheumatology,heritage,telephone,source:date,phone,old_name,smoking,opening_hours:signed,note_de,source:url,landuse,wheelchair,contact:mail,amenity,operator:type,addr:hamlet,addr:suburb,official_name,building:min_level,wikidata,social_facility:for,health_specialty:cardiology,medical_system:western,addr:district,building:levels,note,kvl_hro:type,old_amenity,description,TMC:cid_58:tabcd_1:LocationCode,building:material,healthcare,fence_type,kvl_hro:amenity,health_specialty:orthopaedics,lat,addr:subdistrict,building,building:colour,url,roof:levels,addr:place,TMC:cid_58:tabcd_1:LCLversion,TMC:cid_58:tabcd_1:Class,year_of_construction,healthcare:for,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,,,,,,,,,,,,,,,,,First Aid,,24: Erste-Hilfe-Station,,,,,,,,,,,,,,,,,,,,,,24,,,,,,,,,,,,,,,,,10.2999466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,48.4251144,,,,,,,,,,,,,
,,,,,,,,64,,,,,,,,,,,,,heritage,,,Käthe-Kollwitz-Straße,,,,ACQUA Klinik,,04109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Leipzig,,,,,,12.3549173,http://www.acquaklinik.de,,,,,,,ACQUA Klinik Leipzig GmbH,,,,,,,,,,,,4,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,51.3353931,,yes,,,,,,,,,DE,lfd,
,,,,,,,,9-11,,,,,,,,,,,,,,,,Kaiser-Wilhelm-Straße,,,,ACURA Rheuma-Akutzentrum,,55543,,,,,,,,,,,,,,,,,,,,,akut@kh-acura-kliniken.com,,,,,,,,,,Bad Kreuznach,,,,,,7.8551106,,,,,,,,ACURA Kliniken Rheinland-Pfalz GmbH,,,,,,,,,https://kh-acura-kliniken.com,,,,,,+49 671 93-0,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,clinic,,,,49.8402259,,hospital,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,ADV Fachklinik Briese,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2990887,,,,,,,,ADV gGmbH,,,,,,,,,https://www.adv-suchthilfe.de/,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,52.7050935,,,,,,,,,,,,,
,,,psychiatry,,,,,,,,,,,,,,,no,,,,,,,,,,AHG Klinik Münchwies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,7.2532638,,,,,,,,AHG Allgemeine Hospitalgesellschaft AG,,,,,,,,,,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,"Zentrum für Psychosomatische Medizin, Psychotherapie und Suchtmedizin",,,clinic,,,,49.3982282,,,,,,,,,,,,,
,,,psychiatry,,,,,4,,,,,,,,,,no,,,,,,Am See,,,,AHG Klinik Schweriner See,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,11.4237753,,#F27C55,,,,,,,,,,,,,,,http://www.ahg.de/AHG/Standorte/Schweriner_See/index.html,,,,,,,,,,,,,,,clinic,,,,,,,,,,,3,,,,,,,clinic,,,,53.7234377,,yes,white,,,,,,,,,,
,,,,,,,,1,,,,,,,,,,,,,,,,Am Kurpark,,,,AHG Klinik Waren,,17192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Waren (Müritz),,,,,,12.6954265,,,,,,,,,,,,,,,,,https://www.median-kliniken.de/de/waren/ahg/,,,,,,,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,rehabilitation,,,,53.5046408,,,,,,,,,,,,,
,,,psychiatry,,,,,63a,,,,,bing,,,,,,,,,,,Kiesseestraße,,,,AWO Gerontopsychologische Tagesstätte,,37083,roof_tiles,,,,,,,,,,,,,,,,,,,,,,,,,gabled,,,,,Göttingen,,,,,,9.9449411,,,,,,,2017-03,,,,,,,,,2018-04-20,,,,,,,,,,,,,,,,clinic,,,Geismar,,,,,,,,,,,,,,,clinic,,,,51.5124052,,residential,,,,,,,,,DE,,
,,,psychiatry,,,,,24,,,,,,,,,,,,,,,,Laagbergstraße,,,,AWO Psychiatriezentrum ggmbh Tagesklinik Wolfsburg,,38440,roof_tiles,,,along,,,,,,,,,,,,,,,,,,,,,,gabled,,,,,Wolfsburg,,,,,,10.7704255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,plaster,centre,,,,52.4208612,,yes,,,1,,,,,,DE,,
,,,,,,,,5,,,,,,,,,,,,,,,,Kirchhofstraße,,,,AWO Tagesklinik Burg,,39288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Burg,,,,,,11.8462335,,,,,,,,,,,,Mo-Th 07:30-15:30; Fr 07:30-14:30,,,,,http://www.awo-khbg.de/krankenhaeuser/fachkrankenhaus-jerichow/teilstationaere-angebote/tageskliniken/93-fkjbereiche/444-tagesklinik-burg,,,,,,+49 3921 944616,,,,,,,yes,,clinic,,,,,,,,,,,,,,,,,,,,,,52.2738160,,yes,,,,,,,,,,,
