building,website,amenity,name,emergency,fvst:navnelbnr,source,lon,healthcare,internet_access:fee,fixme,phone,note,fvst:name,wikidata,alt_name,old_name,lat,internet_access,tourism,description
yes,https://mestring.viborg.dk/,clinic,Center for Mestring,,26950,,9.4077229,,,,,,Daghus Viborg,,,,56.4449306,,,
yes,,clinic,Demensdagcenter Dalgaarden,,88983,Faxe Kommune (2013),12.0301249,,,,,,,,,,55.2562093,,,
yes,https://www.fredericia.dk/borger/omsorg-sundhed/fredericia-sundhedshus,clinic,Fredericia Sundhedshus,no,,,9.7659071,centre,,,,Skal Wikidata opdateres eller skal der oprettes en ny?,,Q12312506,Sundhedshuset,Fredericia Sygehus,55.5633360,,,"Sundhedstilbud: blodprøvetagning, vagtlæge, rygestoptilbud, demensrådgivning, privat fysioterapiklinik"
yes,,clinic,Lægerne i Karup,,,,9.1784646,,,,,,,,,,56.3082233,,,
commercial,http://www.saltkur.dk/,clinic,Læsø Kur,,22956,,10.9230347,,,,,,Læsø Kur og Helse,,,,57.2917184,,,
yes,,clinic,Næstved Sundhedscenter,,88336,,11.7752191,,,,,,,,,,55.2249464,,,
yes,,clinic,"Rehabiliteringscenter, Herning",,39812,,8.9680768,,,,,,,,,,56.1539288,,,
yes,http://www.saxild-strand.dk/,clinic,Saxild Strand,,524952,,10.2575406,,no,,,,,,,,55.9691952,wlan,hotel,
,,clinic,Sundhedscenteret,,,,9.8113181,,,demarcation south toward school and gym hall unclear,,,,,,,54.9139705,,,
yes,http://www.svendborgsundfysioterapi.dk/,clinic,Svendborgsund Fysioterapi,,,,10.5915488,physiotherapist,,,+45 62 21 44 93; +45 26 81 20 59,,,,,,55.0504033,,,
yes,,clinic,kiropraktor-huset,,,,11.8769084,,,,,,,,,,54.7687729,,,
