health_facility:type,office,healthcare:speciality,building:part,social_facility,name:ca,addr:housenumber,created_by,name:de,source,emergency_telephone_code,addr:village,addr:street:ca,contact:website,fax,short_name:es,short_name,building:roof,leisure,municipio,addr:street,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,catastro:ref:street,addr:postcode,roof:material,name:etymology:wikidata,roof:orientation,source:geometry:date,name:eu,disused,name:es,int_name,designation,owner,loc_name,name:ast,description,network,lon,ine:municipio,access,mapillary,brand:wikidata,mappinggroup,ref,email,highway,entidad,barrier,contact:email,addr:province,roof:shape,building:use,addr:city:ca,air_conditioning,emergency,b5m:urlOrto,addr:city,building:cladding,toilets:wheelchair,building:facade:material,image,roof:colour,layer,height,lat,alt_name,operator,ele,brand:wikipedia,fee,area,opening_hours,contact:phone,addr:housename,parroquia,catastro:ref,start_date,website,entrance,nohousenumber,source:date,phone,source:data,old_name,smoking,architect,landuse,source:amenity,wheelchair,history,amenity,operator:type,source:geometry,addr:hamlet,addr:unit,source:opening_hours,building:level,wikidata,addr:street:es,sport,medical_system:western,addr:district,building:levels,note,phone_1,b5m:url,source:addr,building:material,fence_type,emergency_phone,b5m:id,short_name:gl,date,local_code,03_tr_E_ID,building:shape,building,building:colour,addr:city:es,roof:levels,addr:place,name:gl,building:levels:underground,healthcare,addr:country,urgency
,,,,,,106,,,survey,,,,,,,,,,,Carrer del Jardí,,,,,ABS Vilanova I CAP Sant Joan (Ambulatori),,,,08800,,,,,,,,,,,,,,,1.7176583,,,,,,,vilanova.ics@ambitcp.catsalut.net,,,,,,,,,,,,,,,,,,,,41.2229353,,,,,,,,,,,,,,,,,+34 936571738,2016-10-04,,,,,,,,clinic,,,,,,,,,,,,4,,,,,,,,,,,,,,public,,,,,,,,,
,,,,,,2,,,,,,,,,,,,,,Carrer de Manuel Marquès,,,,,ABS Vilanova II CAP Jaume I (Ambulatori),,,,08800,,,,,,,,,,,,,,,1.7249960,,,,,,,vilanova.ics@ambitcp.catsalut.net,,,,,,,,,,,,,,,,,,,,41.2228293,,,,,,,,,,,,,,,,,+34 938 932200,,,,,,,,,clinic,,,,,,,,,,,,6,,,,,,,,,,,,,,hospital,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,APROMPSI (Asociacón Provincial Pro-Minusválidos Psíquicos de Jaén),,,,,,,,,,,,,,,,,,,-3.6179349,,,,,,,,,,,,,,,,,,,,,,,,,,,37.7799059,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Abegia,,,,,,,,,,,,,,,,,,,-2.7015755,,,,,,,,,,,,,,,,,,,,,,,,,,,42.8273556,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,Bing Sat,,,,,,,,,,,,,,,,Aldea Geriatrica,,,,,,,,,,,,,,,,,,,-5.6955010,,,,,,,,,,,,,,,,,,,,,,,,,,,36.1563271,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,San Esteban,,,,,Ambulategia,,,,20400,,,,,,,Centro Salud Mental Tolosa,,,,,,,,-2.0791600,,,,,,,,,,,,,,,,,,,,,,,,,,,43.1361928,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatori,,,,,,,,,,,,,,,,,,,1.9955708,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4214858,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatori,,,,,,,,,,,,,,,,,,,3.0240237,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7753371,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
,,,,,,,,,ideib WMS,,,,,,,,,,,,,,,,Ambulatori Martí Serra i Mas,,,,,,,,,,,,,,,,,,,2.6873371,,,,,,,,,,,,,,,,,,,,,,,,,,,39.6020238,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatori d'El Terreno,,,,,,,,,,,,,,,,,,,2.6259922,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5627750,,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,
