roof:levels,amenity,contact:phone,healthcare:speciality,contact:website,roof:colour,fax,roof:height,source:architect,snowmobile,operator,addr:housenumber,room,building:levels,name:fi,image,operator:type,lon,source,roof:material,addr:street,start_date,website,addr:unit,indoor,description,emergency,contact:email,building:material,opening_hours,phone,source:start_date,lat,name:sv,addr:city,building,source:name,name:en,contact:fax,name,roof:shape,addr:postcode,wheelchair,level,email,architect,healthcare,toilets:wheelchair,landuse,addr:country
,clinic,,,,,,,,,,,,,Askolan terveyskeskus,,,25.6030148,,,,,,,,,,,,,,,60.5260269,Askola hälsocenter,,,,Askola Health Center,,Askolan terveyskeskus,,,,,,,,,,
,clinic,,,,,,,,,,1,,,,,,21.7320756,,,Rantaperentie,,http://www.ksthky.fi/yhteystiedot/eurajoen_terveysasema,,,,,,,,,,61.1982207,,Eurajoki,yes,,,,Eurajoen terveysasema,,27100,,,,,clinic,,,
,clinic,,,,,,,,,,,,,,,,22.1431543,,,,,,,,,,,,,,,61.1287397,,,,,,,Euran terveyskeskus,,,,,,,,,,
,clinic,,,,,,,,,,10,,,,,,24.1749101,,,Kauppisentie,,,,,,,,,,,,63.4624454,,Halsua,yes,,,,Halsuan terveyskeskus,,69510,,,,,clinic,,,
,clinic,,,,,,,,,,7,,,,,,24.1710643,,,Pohjolankatu,,,,,,,,,,,,65.8415726,,Tornio,,,,,Hannulan neuvola,,95420,,,,,,,,
,clinic,,,,,,,,,,42,,,,,,24.3693878,MML2017,,Parolantie,,,,,,,,,,,,61.0554681,,Hattula,office,,,,Hattulan terveysasema,,13720,,,,,,,,
,clinic,,,,,,,,,,,,,,,,27.5223431,,,,,https://www.inari.fi/fi/yhteystiedot/sosiaali-ja-terveysosasto/ivalon-terveyskeskus.html,,,,,,,,,,68.6569097,,Ivalo,,,,,Ivalon terveyskeskus,,99800,,,,,,,,FI
,clinic,,,,,,,,,,8,,,Jakomäen terveysasema,,,25.0749172,,,Vuorensyrjä,,https://www.hel.fi/www/helsinki/fi/sosiaali-ja-terveyspalvelut/terveyspalvelut/terveysasemat/terveysasemien-yhteystiedot/jakomaen-terveysasema,,,,,,,,,,60.2602562,Jakobacka hälsostation,Helsinki,yes,,,,Jakomäen terveysasema,,00770,yes,,,,centre,,,FI
,clinic,,community,,,,,,,,6,,,,,,24.8788852,Bing,,Kaustisenpolku,,https://www.hel.fi/helsinki/fi/sosiaali-ja-terveyspalvelut/terveyspalvelut/terveysasemat/terveysasemien-yhteystiedot/kannelmaen-terveysasema/,,,,,,,Mo-Fr 08:00-16:00; We 08:00-18:00,+358 9 310 47355,,60.2393197,,Helsinki,yes,,,,Kannelmäen terveysasema,,00420,,,,,,,,
,clinic,,,,,,,,,,,,,,,,26.9573567,,,,,,,,,,,,,,,62.9030132,,,,,,,Karttulan terveysasema,,,,,,,clinic,,,
,clinic,,,,,,,,,,220,,,,,,22.5001858,,,Yttiläntie,,http://www.ksthky.fi/yhteystiedot/kauvatsan_terveysasema,,,,,,,,,,61.3366940,,Kauvatsa,yes,,,,Kauvatsan terveysasema,,32920,,,,,clinic,,,
,clinic,,,,,,,,,Turun kaupunki,13,,,Kirkkotien terveysasema,,public,22.2926480,,,Kirkkotie,,https://www.turku.fi/toimipaikat/kirkkotien-terveysasema,,,,,,,Mo-Fr 08:00-16:00,,,60.4567455,Kyrkovägens hälsostation,Turku,,survey,,,Kirkkotien terveysasema,,20540,yes,,,,clinic,,,
,clinic,,,,,,,,,,21,,,Kivikon terveysasema,,,25.0663370,,,Kivikonkaari,,,,,,,,,,,,60.2370399,Stensböle hälsostation,,yes,,,,Kivikon terveysasema,,,,,,,clinic,,,
,clinic,,,,,,,,,,3,,3,Kontulan terveysasema,,,25.0839716,,,Ostoskuja,,https://www.hel.fi/helsinki/fi/sosiaali-ja-terveyspalvelut/terveyspalvelut/terveysasemat/terveysasemien-yhteystiedot/kontulan-terveysasema,,,,,,,"Mo,Tu,Th,Fr 08:00-16:00; We 08:00-18:00",+358 9 310 60410,,60.2378437,Gårdsbacka hälsostation,,hospital,,,,Kontulan terveysasema,,,yes,,,,clinic,,,
,clinic,,,,,,,,,Kouvolan Työterveys Ry,,shop,,,,,26.6570163,,,Tommolankatu,,http://www.kouvolantyoterveys.fi/,,room,,,,,,05 544 5050,,60.8716478,,Kouvola,,,,,Kouvolan Työterveys Ry,,45130,,1,info@kouvolantyoterveys.fi,,,,,
,clinic,,,,,,,,,,17,,,,,,22.1887233,,,Koskitie,,https://www.pori.fi/perusturva/terveys/laakari.html,,,,,,,,,,61.4686432,,Kullaa,yes,,,,Kullaan terveysasema,,29340,,,,,clinic,,,
,clinic,,,,,,,,,,,,,,,,29.1936979,,,,,,,,,,,,,,,65.9639925,,,yes,,,,Kuusamon Neuvola,,,,,,,clinic,,,
,clinic,,,,,,,,,,,,,Laajasalon terveysasema,,,25.0544816,,,,,,,,,no,,,,,,60.1786339,Degerö hälsostation,,,,Laajasalo Health Station,,Laajasalon terveysasema,,,,,,,hospital,,,
,clinic,,,,,,,,,,4,,,,,,21.8409383,,,Kirkkotie,,,,,,,,,,,,61.1029277,,Lappi,yes,,,,Lapin terveysasema,,27230,,,,,,,,
,clinic,,geriatrics;general;orthodontics,,,,,,,Lappajärven kunta,,,,,,public,23.6384923,,,,,,,,,,,,Mo-Fr 09:00-18:00,,,63.2131312,,,yes,,,,Lappajärven TK,,,,,,,clinic,,,
,clinic,,,,,,,,,,,,,,,,25.9495299,,,,,,,,,,,,,,,62.4095131,,,,,,,Laukaan terveysasema,,,,,,,clinic,,,
,clinic,,,,,,,Lauttasaaren rakennusinventointi (https://www.hel.fi/hel2/kaumuseo/rakennusinventoinnit/laru/aloitatasta.htm),,,6,,3,,,,24.8823991,,,Taivaanvuohentie,1989,,,,,no,,,,,Lauttasaaren rakennusinventointi (https://www.hel.fi/hel2/kaumuseo/rakennusinventoinnit/laru/aloitatasta.htm),60.1613682,,Helsinki,hospital,,,,Lauttasaaren terveyskeskus,,00200,,,,Jan Söderlund,,,,
,clinic,,,,,,,,,,8,,,,,,22.5791278,,,Viittatie,,https://www.pori.fi/perusturva/terveys/laakari.html,,,,,,,,,,61.5968412,,Lavia,yes,,,,Lavian lähipalvelupiste,,38600,,,,,clinic,,,
,clinic,,,,,,,,,,2,,,Leppävaaran terveysasema,,,24.8134982,,,Konstaapelinkatu,after 1971,,,,,,,,Mo-Fr 08:00-16:00,+358 9 81635200,,60.2215143,Alberga hälsostation,Espoo,yes,,Leppävaara health station,,Leppävaaran terveysasema,,02650,yes,,,,,,,
,clinic,,,,,,,,,Lestijärven kunta,3,,,Lestijärven terveyskeskus,,public,24.6498656,,,Niemeläntie,,,,,,,,,,,,63.5321720,,Lestijärvi,yes,,,,Lestijärven terveyskeskus,,69440,,,,,clinic,,,
,clinic,,,,,,,,,,,,,Liedon terveyskeskus,,,22.4585464,,,,,,,,,,,,,,,60.5065198,,,,,,,Liedon terveyskeskus,,,,,,,clinic,,,
