health_facility:type,office,healthcare:speciality,indoor,social_facility,payment:cash,postal_code,ref:FR:FINESS,is_in,addr:housenumber,emergency,source,opening_hours:signed,fax,source:amenity,government,ref:FR:SIREN,ref:FR:SIRET,source:FINESS,addr:street,bmo:type,source:name,contact:fax,name,level,type:FR:FINESS,addr:postcode,payment:credit_cards,source:geometry:date,internet_access,amenity_1,amenity_2,source:architect,network,operational_status,payment:cheque,ref,email,barrier,contact:email,roof:shape,description1,healthcare:speciality_1,healthcare:speciality_2,source:geometry,addr:city,wall,lon,contact:website,roof:colour,layer,height,alt_name,source_1,operator,area,opening_hours,contact:phone,addr:housename,source:boundary,start_date,website,contact:housenumber,source:date,phone,old_name,name:oc,room,architect,landuse,wheelchair,source:ref:FR:FINESS,amenity,operator:type,official_name,short_name,building:levels,note,operator:wikipedia,contact:street,FIXME,description,building:material,lat,building,roof:levels,addr:place,healthcare,addr:country,operator:wikidata
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,ASTBTP,,,,,,,,,,,,,,,,,,,,,,,,5.7346711,,,,,,,,,,,,,,http://www.astbtp13.fr/,,,,,,,,,,,clinic,,,,,,,,,,,43.6982571,yes,,,clinic,,
,,,,,,,970404158,,,,,,,,,,,,,,,,AURAR,,141,,,,,,,,,,,,,,,,,,,,,,55.7109886,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,-21.0575248,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Adapt thionis,,,,,,,,,,,,,,,fence,,,,,,,,,6.1445024,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,49.3654293,,,,,,
,,dialysis,,,,,,,11,,,,,,,,,,Route des Bois,,,,Agduc dialyse,,,38500,,,,,,,,,,,,,,,,,,,Voiron,,5.5667099,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.3493247,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Annexe du breuil,,,,,,,,,,,,,,,,,,,,,,,,6.0885785,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.8369503,,,,clinic,,
dispensary,,,,,,,,,,,,,,,,,,,,,,,Association Rima Here,,,,,2013,,,,,,operational,,,,,,,,,,Aerial photogrammetry,,,-149.6003327,,,,,,,,,,,,,,,,2010/07/19,,,,,,,,,clinic,private,,,,,,,,,hard,-17.5580698,yes,,,,,
,,,,,,,,,21,,,,,,,,,,Avenue Albert Capus,,,,Axium,,,13100,,,,,,,,,,,,,,,,,,,Aix-en-Provence,,5.4347515,,,,,,,,,,,,,,,,,+33 4 42 95 72 72,,,,,healthcare,,,clinic,,,,,,,,,,,43.5349046,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,Barr Héol,,,,,,,,,,,,,,,,,,,,,,,,-2.6867190,,,,,,,,,,,,,,http://www.barr-heol.fr/,,,,,,,,,,,clinic,,,,,,,,,,,48.0526100,yes,,,,,
,,,,,,,,,24,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,Route d'Orléans,,,,Belle Allée,,,45380,,,,,,,,,,,,,,,,,,,Chaingy,,1.7968360,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.8728640,yes,,,,,
,,general,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,CDPS Saül,,,97314,,,,,,,,,,,,,,,,,,,Saül,,-53.2095671,,,,,,,CHAR,,,,,,,,,,,,,,,,,,clinic,public,,,,,,,,,,3.6234095,yes,,,clinic,,
,,,,,,,,,127,,,,,,,,,,Route du Bois de Nèfles,,,,CENTRE DE DIALYSE STE CLOTILDE,,,97400,,,,,,,,,,,,,,,,,,,Saint-Denis,,55.4774580,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,-20.9027356,yes,,,,,
,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,CENTRE DE RADIOLOGIE DE GRANDE-TERRE,,,,,,,,,,,,,,,,,,,,,,,,-61.4571486,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,16.3312755,yes,,,,,
,,,,,,,,,19,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Rue de la Clinique,,,,CLINIQUE DE SAINTE-CLOTILDE,,,97400,,,,,,,,,,,,,,,,,,,saint-Denis,,55.4792779,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,-20.9026959,yes,,,,,
,,,,,,,,,36,,Bing;KG Ground Survey 2015,,,,,,,,Rue de l'Eglise,,,,Cabinet D'Osteopathie,,,,,,,,,,,,,,,,,,,,,,Gustavia,,-62.8491625,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,2,,,,,,,17.8943824,yes,,,,,
,,physiotherapist,,,,,,,32,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,Rue du Mérinos,,,,Cabinet Kinesitherapie,,,13310,,,,,,,,,,,,,,,,,,,Saint-Martin-de-Crau,,4.8028820,,,,,,,,,,,,,,,,,+33 4 90 47 21 05,,,,,,,,clinic,,,,,,,,,,,43.6340068,yes,,,clinic,,
,,,,,,,,,98,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,Rue Général Leclerc,,,,Cabinet Médical,,,14990,,,,,,,,,,,,,,,,,,,Bernières-sur-Mer,,-0.4231370,,,,,,,,,,,,,,,,,+ 33 2 31 96 45 28,,,,,,,,clinic,,,,,,,,,,,49.3315740,yes,,,clinic,,
,,general,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,Cabinet Médical,,,13310,,,,,,,,,,,,,,,,,,,Saint-Martin-de-Crau,,4.8028470,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6343000,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Cabinet Médical du Rond-Point,,,,,,,,,,,,,,,,,,,,,,,,-0.3385619,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.3076358,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Cabinet Paramédical,,,,,,,,,,,,,,,,,,,,,,,,2.8917318,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,50.4197427,,,,,,
,,,,,,,,,,,BMO2009,,,,,,,,Rue Albert Louppe,D,,,Cabinet Radiologie,,,29200,,,,,,,,,,,,,,,,,,,Brest,,-4.4704036,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.4036137,yes,,,,,
,,,,,,,,,16,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,Rue de la Madeleine,,,,Cabinet d'Infirmières,,,56150,,,,,,,,,,,,,,,,,,,Baud,,-3.0225650,,,,,,,Kerjoant Laudren Moinereau Morzadec,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.8745060,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2014,,,,,,,,,,,,Cabinet d'Urologie Le Lucé - Chambray-lès-Tours,,,,,,,,,,,,,,,,,,,,,,,,0.6873985,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.3342982,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Cabinet d'infirmière,,,,,,,,,,,,,,,,,,,,,,,,-1.8707955,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.1060861,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,Cabinet d'infirmière,,,,,,,,,,,,,,,,,,,,,,,,2.5879080,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.9043290,yes,,,clinic,,
,,,,,,,,,13,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,Chemin de la House,,,,"Cabinet des Docteurs Labrouasse, Filliat et Fontaine",,,33610,,,,,,,,,,,,,,,,,,,Canéjan,,-0.6420190,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.7508320,yes,,,,,
,,general,,,,,,,,,,,,,,,,,Place Charles de Gaulle,,,,Cabinet infirmier,,,29450,,,,,,,,,,,,,,,,,,,Sizun,,-4.0788631,,,,,,,,,,,,,,,,,+33 2 98 68 82 96,,,,,,yes,,clinic,,,,,,,,,,,48.4058186,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Carbet Médical,,,,,,,,,,,,,,,,,,,,,,,,-52.2824638,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,4.9232358,yes,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,Centre Augustin Cauchy,,,,,,,,,,,,,,,,,,,,,,,,4.8345306,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,Scintigraphie,,46.7632919,yes,,,,,
,,general,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,Centre Délocalisé de Prévention et de Soins,,,,,,,,,,,,,,,,,,,,,,,,-52.0371804,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,CDPS,,,,,,,,4.4863576,yes,,Kaw,clinic,,
,,general,,,,,,,,,local knowledge,,,,,,,,,,,,Centre Délocalisé de Prévention et de Soins,,,97352,,,,,,,,,,,,,,,,,,,,,-52.4630145,,,,,,,CHAR,,Mo-Fr 07:30-14:00,,,,,,,,,,,,,,yes,,clinic,public,,CDPS,,,,,,,,4.5741773,yes,,Cacao,clinic,,
,,,,,,,,,99,,,,,,,,,,,,,,Centre Feminae,,,,,,,,,,,,,,,,,,,,,,,,6.2107401,,,,,,,,,,,,,,,,,,,,,,,,,clinic,private,,,,,,,,,,49.1150475,hospital,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre Hospitalier Léopold Ollier,,,,,,,,,,,,,,,,,,,,,,,,4.1391781,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.4139698,,,,clinic,,
,,,,,,,,,,,,,,,,,,,Gautinière,,,,Centre Hospitalier de Bourbon l'Archambault,,,03160,,,,,,,,,,,,,,,,,,,Bourbon-l'Archambault,,3.0463740,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,46.5800849,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre Hélio-Marin,,,,,,,,,,,,,,,,,,,,,,,,3.1280335,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,42.4888803,yes,,,,,
,,oncology;radiology,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Rue Beauverger,,,,Centre Jean Bernard,,,,,,,,,,,,,,,,,,,,,,,,0.2006703,,,,,,,iLC,,,,,,,,,,,,,,,,,,clinic,private,,,,,,,,,,47.9990683,yes,,,clinic,,
,,,,,,,590780094,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2018,,,,,,,,,,,,Centre Léonard de Vinci,,129,,,,,,,,,,,,,,,,,,,,,,3.1039710,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,50.3367077,hospital,,,,,
,,,,,,,,,2068,,Mises à jour en France . Cartographie de reconnaissance 2016 par KG .,,,,,,,,Route de la Madeleine,,,,Centre Medical Saint-Paul,,,97300,,,,,,,,,,,,,,,,,,,Cayenne,,-52.3223216,,,,,,,Guyane Santé,,,,,,,https://www.guyane-sante.com/fr/st-paul/presentation,,,,,,,,,yes,,clinic,private,,,,,,,,,,4.9151133,yes,,,clinic,,
,,,,,,,,,,,bing,,,,,,,,,,,,Centre Medico Psycho Pédagogique Henri Wallon,,,,,,,,,,,,,,,,,,,,,,,,-1.5935541,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.2207314,,,,clinic,,
,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,Centre Medico Social,,,,,,,,,,,,,,,,,,,,,,,,-60.9820840,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,14.5309972,yes,,,,,
,,,,,,,,,64,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,Avenue Georges Gosnat,,,,Centre Municipal de Santé,,,94200,,,,doctors,dentists,,,,,,,,,,,,,,Ivry-sur-Seine,,2.3888757,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.8137110,public,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,,,0.2447656,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.5412614,yes,,,clinic,,
,,general,,,,,,,,,,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,,,2.9645348,,,,,,,,,,,,,,,,,+33 5 65 62 32 09,,,,,,,,clinic,,,,,,,,,,,44.0130962,yes,,,clinic,,
,,general;osteopathy,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre;mise à jour : 2009,no,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,,,6.5792530,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.2969007,yes,,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2019,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,,,-2.0895365,,,,,,,,,"Mo,Tu,Th 08:00-18:00; We 08:30-12:15,13:30-18:00; Fr 08:30-12:00,13:30-18:00; Sa 08:30-11:30",,,,,,,,,,,,,,,,clinic,,,,1,,,,,,,48.0078616,hospital,1,,clinic,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,,,2.2832070,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,50.2781730,public,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,Centre Médical,,,,,,,,,,,,,,,,,,,,,,,,4.2571560,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.9233970,yes,,,,,
,,general,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,Avenue de la Vallée d'Or,,,,Centre Médical - Plein Sud,,,73450,,,,,,,,,,,,,,,,,,,Valloire,,6.4281954,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,45.1643846,yes,,,,,
,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,Centre Médical Bishop,,,,,,,,,,,,,,,,,,,,,,,,-61.0548633,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,14.6106044,yes,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre Médical Estanove,,,,,,,,,,,,,,,,,,,,,,,,3.8528766,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6015368,,,,laboratory,,
,,,,,,,,,,,,,,,,,,,,,,,Centre Médical Forum Santé La Pinède,,,,,,,,,,,,,,,,,,,,,,,,3.8178235,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6292189,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Centre Médical Le Cousson,,,,,,,,,,,,,,,,,,,,,,,,6.2110957,,,,,,,,,,,,,,,,,,,,,,healthcare,,,clinic,,,,,,,,,"Centre de réadaptation, de convalescence.",,44.0711609,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Centre Médical Miquelon,,,,,,,,,,,,,,,,,,,,,,,,-56.3822329,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.0981209,yes,,,clinic,,
,,physiatry,,,,,050000637,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,Centre Médical Montjoy,,109,,,,,,,,,,,,,,,,,,,,,,6.6302358,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.9116962,yes,,,clinic,,
,,allergology;cardiology;dermatology;gastroenterology;gynaecology;neurology;ophthalmology;orthodontics;otolaryngology;pulmonology;rheumatology;urology;vascular_surgery,,,,,,,27,,,,,,,,,,Route d'Ansouis,,,,Centre Médical Provence Luberon,,,84120,,,,,,,,,,,,,,,,,,,Pertuis,,5.5017595,http://www.centre-medical-provence-luberon.com/,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.6988311,,,,,FR,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre Médical de L'Arlas,,,,,,,,,,,,,,,,,,,,,,,,-0.3735792,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,43.3715319,yes,,,clinic,,
,,,,,,,,,3A,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,Rue de la Résistance,,,,Centre Médical de Pont-de-Roide,,,,,,,,,,,,,,,,,,,,,,,,6.7701355,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,47.3843727,yes,,,clinic,,
,,,,,,,,,64,,KG Ground Survey 2016,,,,,,,,Rue Joinville Saint-Prix,,,,Centre Médical de l'Espace Sud,,,,,,,,,,,,,,,,,,,,,,Rivière-Salée,,-60.9786481,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,14.5276350,yes,,,,,
,,psychiatry,,,,,,,,,,,,,,,,,,,,,Centre Médico Psychologique,,,,,,,,,,,,,,,,,,,,,,,,2.8143217,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,49.4089601,,,,,,
,,dermatology;orthopaedics;dentistry;gynaecology;internal,,,,,,,6,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2018,,,,,,,,rue Thérèse et René Planiol,,,,Centre Médico-Chirurgical de Touraine,,,,,,,,,,,,,,,,,,,,,,,,0.6701694,,,,,,,,,,,,,,http://cmct-touraine.com/,,,,,,,,,,,clinic,,,CMCT,,Pas de ref:FR:FINESS,,,,,,47.4326027,hospital,,,hospital,,
,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,Centre Médico-Social,,,,,,,,,,,,,,,,,,,,,,,,-61.7325222,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,15.9982739,yes,,,,,
,,,,,,,930010681,,1,,Le ministère des solidarités et de la santé - 03/2019,,,,,,,,Rue Circulaire Henri Jousseaume,,,,Centre Médico-Social Marcel Hanra,,,,,,,,,,,,,,,,,,,,,,,,2.5109831,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,48.8851702,,,,clinic,,
,,,,,,,,,28,,,,,,,,,,Avenue de Genève,,,,Centre Médico-psychologique Enfants,,,74200,,,,,,,,,,,,,,,,,,,Thonon-les-Bains,,6.4574774,https://www.hopitauxduleman.fr/structures/psychiatrie-de-lenfant-pedopsychiatrie/,,,,,,Hôpitaux du Léman,,"Mo-Th 08:30-12:00, 13:30-17:00; Fr 08:30-12:00, 13:30-16:00",+33 4 50 17 17 00,,,,,,,,,,,,,,,clinic,,,CMP Enfants,,,,,,,,46.3607587,office,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2015,,,,,,,,,,,,Centre Ophtalmologie,,,,,,,,,,,,,,,,,,,,,,,no,-63.0862148,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,18.0604968,yes,,,,,
,,psychiatry,,,,,,,,,,,,,,,,,,,,,Centre Psychothérapique Henri Theillou,,,,,,,,,,,,,,,,,,,,,,,,2.7884392,,,,,,,,,,,,,,http://www.chi-clermont.fr/site_2015/Centre_Henri_Theillou.html,,,,,,,,,,,clinic,,,,,,,,,,,49.3831350,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,Centre Radiothérapie Oncologie Moyenne Garonne CROMG,,,,,,,,,,,,,,,,,,,,,,,,0.6136817,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.2085841,yes,,,,,
,,,,,,,,,,,BDOrtho IGN,,,,,,,,,,,,Centre chirurgical ADR,,,,,,,,,,,,,,,,,,,,,,,,6.1403477,,,,,,,,,,,,,,http://centre-adr.fr/,,,,,,,,,,,clinic,,,,,,,,,,,48.7028900,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,Impasse de la Dhuis,,,,Centre d'Accueil Médico-Social Précoce,,,77700,,,,,,,,,,,,,,,,,,,Coupvray,,2.7879226,,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,CAMSP,,,,,,,,48.8808059,yes,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,Centre d'Antrenas,,,,,,,,,,,,,,,,,,,,,,,,3.2627082,,,,,,,Association Lozérienne de Lutte contre les Fléaux Sociaux,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,44.5833382,,,,,,
,,,,,,,,,,,GrandNancy Orthophotographie 2012,,,,,,,,,,,,Centre d'Urologie,,,,,,,,,,,,,,,,,,,,,,,,6.1400570,,,,,,,,,,,,,,https://urolor.fr/,,,,,,,,,,,clinic,,,,,,,,,,,48.7028462,,,,,,
