health_facility:type,healthcare_1,name:cy,healthcare:speciality,building:part,indoor,payment:debit_cards,clinic,health_specialty:traditional_chinese_medicine,postcode,smoking,is_in,addr:housenumber,source:addr:housenumber,addr:state,pharmacy,source,health_specialty:physiotherapy,addr:village,fhrs:local_authority_id,fax,emergency,source:name,leisure,source:area,wikimedia_commons,addr:street,payment:bitcoin,fixme,name:en,contact:fax,name,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,HE_ref,postal_code,health_specialty:general_practice,health_specialty:podiatry,amenity_1,operator,full_name,loc_name,source:addr,power,access,fhrs:authority,generator:output:electricity,ref,email,building:height,barrier,contact:email,addr:province,fhrs:id,roof:shape,building:use,source:geometry,addr:city,source:building,toilets:wheelchair,health_specialty:orthopaedics,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,lat,alt_name,nhs,generator:source,fee,addr:floor_1,addr:floor_2,area,opening_hours,contact:phone,addr:housename,heritage,website,addr:unit,listed_status,telephone,phone,old_name,source:outline,generator:type,room,dispensing,landuse,roof:levels,amenity,source:shape,operator:type,out-of-hours,addr:suburb,building:min_level,generator:method,wikidata,source:postcode,health_specialty:cardiology,verified,building:levels,image,note,FIXME,description,building:material,health_specialty:acupuncture,last_check,min_height,levels,toilets,addr:county,source:addr:postcode,building,building:colour,medical_system:chinese,website_3,website_2,website_1,name:gd,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,,,,,,,,150,,,,,,,,,,,,,,Harley Street,,,,,150 Harley Street ENT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1485061,,,,,51.5230979,,,,,,,,,,,,http://www.150harleyst.co.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,152,,,,,,,,,,,,,,Harley Street,,,,,152 Harley Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1487522,,,,,51.5232020,,,,,,,,,,,,http://www.152harleystreet.com/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,5,,,,,,,,,,,,,,Whitley Wood Road,,,,,21st Century Clinic,,RG2 8HX,,,,,,,,,,,,,,,,,,info@21stcenturyclinic.co.uk,,,,,,,,,Reading,OS_OpenData_StreetView,,,,-0.9479991,,,,,51.4262840,,,,,,,,,,,,https://21stcenturyclinic.co.uk/,,,,+44 118 931 1444,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,GB,
,,,cardiology,,,,,,,,,88,,,,,,,,,,,,,,Harley Street,,,,,24hrCardiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1475448,,,,,51.5205111,,,,,,,,,,,,https://www.24hrcardiology.com/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,physiotherapy;cardiology;learning_disabilities;rehabilitation,,,,,,,,,29,,,,,,,,,,,,,,Romford Road,,,,,29 Romford Road,,E15 4LY,,,,,,,,,East London NHS Foundation Trust,,,,,,,,,,,,,,,,,,"Stratford, London",,,,,0.0067622,,,,,51.5429902,,,,,,,,,,,,https://www.elft.nhs.uk/,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,https://www.elft.nhs.uk/service/165/Newham-Health-Team-for-Adults-with-Learning-Disabilities-,https://www.elft.nhs.uk/service/229/Physiotherapy---Musculoskeletal-Service,https://www.elft.nhs.uk/service/351/Cardiac-Rehabilitation-Service---Group-classes,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1299047,,,,,51.5643973,,,,,,,,,,,,https://agip.org.uk,,,,,,,,,,,,clinic,,,,,,,,,,,2,,,,,,,,,,,,,house,,,,,,,,,,,psychotherapist,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbas Osteopathic Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4170524,,,,,53.5627803,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Abbots Cross Medical Practice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9136287,,,,,54.6690210,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Vicarage Hill,,,,,Aberaeron Integrated Care Centre,,SA46 0DY,,,,,,,,,Hywel Dda University Health Board,,,,,,,,,,,,,,,,,,Aberaeron,,,,,-4.2577252,,,,,52.2379873,,,,,,,,,,,,,,,,+44 1545 900100,,,,,,,,clinic,,government,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,https://www.wales.nhs.uk/ourservices/directory/Hospitals/95,,,,centre,,
,,,,,,,,,,,,506,,,,,,,,,,,,,,Duffield Road,,,,,About Backs & Bones,,DE22 2DL,,,,,,,,,,,,,,,,,,,,,,,,,,,Derby,,,,,-1.4786408,,,,,52.9554157,,,,,,,,,,,,http://www.aboutbacksandbones.com/,,,,,,,,,,,,clinic,,,,Allestree,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Academy Medical Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.8830538,,,,,56.6436147,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,clinic,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aconbury East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.1825065,,,,,52.1929929,,,,,,,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,419,,,,,,,,,,,,,,Manchester Road,,,,,Acorn Hollow Care Home,,CW9 7QA,,,,,,,,,,,,,,,,,,,,,,,,,,,Lostock Gralam,,,,,-2.4645193,,,,,53.2715016,,,,,,,,,,,,https://www.hc-one.co.uk/,,,,+44 1606 45603,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,
,,,,,,,,,,,,96,,,,bing,,,,,,,,,,Tettenhall Road,,,,,Active Body Centre,,WV6 0BP,,,,,,,,,,,,,,,,,,,,,,,,,,,Wolverhampton,,,,,-2.1524821,,,,,52.5920452,,,,,,,,,,,,http://activebodycentre.co.uk,,,,,,,,,,,,clinic,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,
