health_facility:type,amenity,int_name,office,healthcare:speciality,contact:website,name:it,operator,addr:housenumber,emergency,building:levels,opening_hours,contact:phone,lon,name:de,source,name:fr,addr:street,email,website,fax,description,barrier,contact:email,government,addr:full,phone,operator:en,old_name,lat,addr:city,building,name:el,name:en,contact:fax,name,designation,level,url,addr:postcode,healthcare,addr:country
,clinic,,,,,,,10,,,,,24.3844083,,,,25ης Μαρτίου,,,,,,,,,+302510830360,,,40.9337375,Καβάλα,yes,,,,1η ΤΟ.Μ.Υ.,,,,65404,,
,clinic,,,,,,,,,,24/7,,25.0705524,,Bing,,,,,,,,,,,,,,35.3360138,,yes,,,,Amoudara Medical Assistance,,,,,,
,clinic,,,,,,,,,,,,22.4134387,,,,Κύπρου,,,,,,,,,,,,39.6387041,Λάρισα,yes,,,,Animus,,,,41222,,
,clinic,,,,,,,155,,,,,23.6891140,,,,Θηβών,,,,,,,,,,,,38.0131548,Περιστέρι,yes,,,,Athens Eye,,,,,clinic,
,clinic,,,,,,,,,,,,23.7397259,,,,,,,,,,,,,,,,37.9861950,,yes,,,,City Clinic,,,,,clinic,
,clinic,,,,,,,8,,,,,23.8058405,,,,Δημοσθένους,,,,,,,,,,,,38.0231385,Χαλάνδρι,yes,,,,IKA,,2,,,,
,clinic,,,,,,,49,,,,,26.1369322,Kliniki Argyroudi,Bing,,Βερίτη,,,,,,,,,+30 22710 29777,,,38.3568941,Χίος,yes,,,,Kliniki Argyroudi,,,,82132,clinic,
,clinic,,,,,,,12,,,,,23.7964290,,,,25ης Μαρτίου,,,,,,,,,,,,38.0204148,Χαλάνδρι,yes,,,,MedLab,,,,15232,clinic,
,clinic,,,ophthalmology,,,,74,,4,,,23.7702028,,,,Κατεχάκη,info@ommavision.gr,https://www.ommaofthalmologikokentro.gr,2106755851,,,,,,2106755850,,,37.9974956,Αθήνα,yes,,,,OMMA,,,,11525,clinic,
,clinic,,,psychotherapy,,,,,,,,,23.0676886,,,,,,,,,,,,,,,,40.5167678,,,,,,san vitale,,,,,,
,clinic,,,,,,,,,,,,20.2680107,,,,,,,,,,,,,,,,39.4881831,,yes,,,,«Υγεία» Θεσπρωτίας,,,,,clinic,
,clinic,,,,http://www.iama-diagnostiko.gr/,,,54Β,,,,+30 2109607600,23.7565959,,,,Ιασωνίδου,,,,,,iama.ellinikou@yahoo.gr,,,,,,37.8917098,Ελληνικό,yes,,,,Ίαμα Διαγνωστικό Εργαστήριο,,,,16777,clinic,
,clinic,,,,,,,11,,,24/7,,22.9500152,,,,Μαρίας Κάλας,,https://www.genikikliniki.gr/,,,,,,,231 089 5100,,,40.6001574,,,,,,Γενική Κλινική,,,,54645,,
,clinic,,,,,,,174,,,,,21.7340344,,,,Κανακάρη,,,,,,,,,,,,38.2441644,Πάτρα,yes,,,,"Γενική Κλινική Γερ. Ρηγόπουλου ""Πρωτόκλητος""",,,,26221,,
,clinic,,,,,,,154,,,,,23.6416254,,,,Κολοκοτρώνη,,http://www.yagosclinic.gr,,,,,,,+30 21 04522686,,,37.9384120,Πειραιάς,yes,,,,Γενική Κλινική Γιάγκου,,,,185 36,clinic,
,clinic,,,general;surgery;orthopaedics;cardiology,,,,19,,,,+30 2105735311,23.6880546,,,,Πελοπίδα,Info@Taxiarxai.Gr,https://taxiarxai.gr,,,,,,,+30 210.5735311,,,38.0126378,,yes,,,,Γενική Κλινική Ταξιάρχαι,,,http://www.taxiarxai.gr/,,clinic,
,clinic,,,psychiatry,,,,,,,,,23.7868855,,,,,,,,,,,,,,,,37.9924222,,yes,,,,Ερευνητικό  Πανεπιστημιακό Ινστιτούτο Ψυχικής Υγείας,,,,,clinic,
,clinic,,,,,,,32,,,,,21.2593470,Rote Kreuz,,,Γράμμου,,,,,,,,,,,,40.5220744,Καστοριά,yes,,Red Dross,,Ερυθρός Σταυρός,,,,52100,,
,clinic,,,,,,,,,,,,23.7571757,,,,,,,,,,,,,,,,37.9857811,,yes,,,,Ευρωκλινική,,,,,clinic,
,clinic,,,,,,,,,,,,20.2697704,,,,,,,,,,,,,,,,39.5027961,,yes,,,,Θεραπευτήριο Χρονίων Παθήσεων,,,,,,
,clinic,,,,,,,,,,,,26.5247556,,,,,,,,,,,,,,,,39.1066012,,yes,,,,ΙΑΤΡΙΚΗ ΔΙΑΓΝΩΣΗ,,,,,,
,clinic,,,,,,,2,,,,,25.3959108,,,,Υψηλάντου,,,,,,,,,,,,41.1174186,Κομοτηνή,yes,,,,ΙΚΑ Κομοτηνής,,,,69132,clinic,
,clinic,,government,,,,,1,,,,,24.8861350,,,,Ανδρέου Δημητρίου,,,,,,,healthcare,,,,,41.1367692,Ξάνθη,yes,,,,ΙΚΑ Ξάνθης,,,,67100,clinic,
,clinic,,,,,,,,,,,,22.9707421,,,,,,,,,,,,,,,,40.6164529,,yes,,,,ΙΚΑ Τούμπας,,,,,,
,clinic,,,,,,,1,,,,,23.6505957,,,,Αγίου Γεωργίου,,,,,,,,,,,,37.9715309,Κορυδαλλός,yes,,,,Ιώνιο Θεραπευτήριο,,,,,clinic,
,clinic,,,,,,,,,,,,22.4334147,,,,,,,,,,,,,,,,40.6282108,,yes,,,,Κέντρο Υγείας Αλεξάνδρειας,,,,,,
