health_facility:type,amenity,healthcare:speciality,building:part,lon,fax,clinic,alt_name,operator,name:de,ref:hr:uzkb,addr:housenumber,area,building:levels,opening_hours,contact:phone,addr:housename,name,note,source,start_date,branch,heritage,email,website,addr:unit,emergency,building:material,phone,old_name,lat,addr:street,building,name:en,operator:type,addr:city,roof:shape,addr:postcode,roof:material,addr:place,addr:country,healthcare,wheelchair,heritage:operator,name:it
,clinic,general,,15.8949806,,,,,,,,,,,,,Ambulanta,,,,,,,,,,,,,45.8031320,,yes,,,,,,,,,clinic,,,
,clinic,,,18.9851917,,,,,,,,,,,,,Ambulanta,,,,,,,,,,,,,45.2152054,,yes,,,,,,,,,clinic,,,
,clinic,,,18.7496048,,,,,,,,,,,,,Ambulanta,,,,,,,,,,,,,45.6065680,,yes,,,,,,,,,clinic,,,
,clinic,,,16.7261280,,,,,,,,,,,,,Ambulanta,,,,,,,,,yes,,,,43.6151593,,yes,,,,,,,,,clinic,,,
,clinic,,,18.6730355,,,,Dom zdravlja Osijek,,,,,,,,,Ambulanta Antunovac,,,,,,,,,,,,,45.4876699,,yes,,,,,,,,,clinic,,,
,clinic,,,14.6445735,,,,,,,,,,,,,Ambulanta Gerovo,,,,,,,,,,,,,45.5153421,,yes,,,,,,,,,clinic,,,
,clinic,,,15.2842284,,,,,,,,,,,,,Ambulanta Josipdol,,,,,,,,,,,,,45.1899206,,hospital,,,,,,,,,,,,
,clinic,,,18.9469436,,,,Dom zdravlja Vinkovci,,,13a,,2,,,,Ambulanta Komletinci,,,,,,,,,,,,,45.1494388,Ulica braće Radić,yes,,,Komletinci,,32253,,,,clinic,,,
,clinic,,,14.5693949,,,,,,,,,,,,,Ambulanta Krk,,,,,,,,,yes,,,,45.0286173,,yes,,,Krk,,51500,,,HR,clinic,,,
,clinic,,,15.3803989,,,,,,,,,,,,,Ambulanta Perušić,,,,,,,,,,,,,44.6489412,,yes,,,,,,,,,clinic,,,
,clinic,general,,18.6609048,,,,"Irena Juhas-Takač, dr.med. Lidia Vaip, med.sest.",,,2,,,,,,Ambulanta Popovac,"working hours: Ponedjeljak, srijeda, petak
Parni datumi:7,00-14,30 Neparni datumi:13,00-20,30 Radna subota 3. u mjesecu",,,,,obiteljska.knezevo-popovac@dzbm.hr,,,,,+385 31 728142,,45.8059972,Đure Đakovića,yes,,,Popovac,,31303,,,,clinic,,,
,clinic,,,18.8418683,,,,,,,64,,,,,,Ambulanta Sarvaš,,,,,,,,,,,,,45.5238027,Osječka ulica,yes,,,Sarvaš,,31204,,,,clinic,,,
,clinic,,,18.7433375,,,,,,,,,,,,,Ambulanta Tenja,,,,,,,,,,,,,45.5045145,,yes,,,,,,,,,clinic,,,
,clinic,,,17.6636292,,,,Dom zdravlja Požeško-slavonske županije,,,4,,,,,,Ambulanta Velika,,,,,,,,,,,,,45.4438688,Ulica Vladimira Nazora,yes,,,Velika,,34330,,,,clinic,,,
,clinic,,,16.0111120,,,,,,,,,,,,,Ambulanta opće medicine Bukovac,,,,,,,,,,,,,45.8396576,,hospital,,,,,,,,,,,,
,clinic,general,,18.6683714,,,,Dom zdravlja Beli Manastir,,,2,,,,,,Ambulanta Čeminac,,,,,,,,,,,,,45.6861363,Ulica Ljudevita Gaja,yes,,,Čeminac,,31325,,,,clinic,yes,,
,clinic,,,16.4395231,,,,,,,4,,3,,,,Dječji dispanzer,,,,,,,,,,,,,43.5156914,Trg Hrvatske bratske zajednice,yes,,,Split,,21000,,,HR,clinic,,,
,clinic,,,13.5240945,,,Istarski domovi zdravlja Umag,,Medizinisches Zentrum Umag,,3a,,,,+385 52 702222,,Dom Zdravlja Umag,,,,,,,,,,,,,45.4329549,Edoarda Pascalija ulica - Via Edoardo Pascali,yes,Umag health center,,Umag,,52470,,,HR,clinic,,,
,clinic,,,15.9624538,,,,,,,10,,,,,,Dom zdravlja,,,,,,,,,,,,,45.7924313,Odranska ulica,yes,,,,gabled,,roof_tiles,,,,,,
,clinic,,,15.9497958,,,,,,,,,,,,,Dom zdravlja,,,,,,,,,,,,,45.7968575,,yes,,,,,,,,,clinic,,,
,clinic,,,18.2958862,,,,,,,15,,,,,,Dom zdravlja,,,,,,,,,,,,,45.1862767,Trg kralja Tomislava,yes,,,Donji Andrijevci,,35214,,,,clinic,,,
,clinic,,,14.8036985,,,,,,,1,,,,,,"Dom zdravlja ""Dr. J. Kajfež""",,,,,,,,,yes,,+385 51 811 233,,45.3977403,Šetalište Ivana Gorana Kovačića,yes,,,Delnice,,,,,,clinic,,,
,clinic,,,15.9389899,,,,,,,65a,,,,,,Dom zdravlja Botinec,,,,,,,,,,,,,45.7544592,Ulica Zlatarova zlata,yes,,,Zagreb,gabled,10020,roof_tiles,,HR,clinic,,,
,clinic,,,15.9923829,,,,,,,16,,,Mo-Fr 07:30-18:00,,,Dom zdravlja Centar,,,,,,,https://www.dzz-centar.hr/,,,,+385 1 4604 195,,45.8131313,Matka Laginje,hospital,,,,,,,,,clinic,,,
,clinic,,,18.7188310,,,,,,,1,,,,,,Dom zdravlja Donji grad,,,,,,,,,,,,,45.5544786,Prolaz kod Snježne Gospe,yes,,,Osijek,,31000,,,,clinic,,,
,clinic,,,15.9341840,,,,,,,2a,,,,,,Dom zdravlja Gajevo-Jarun,,,,,,,,,,,,,45.7897323,Ulica Hrvoja Macanovića,yes,,,Zagreb,gabled,10000,roof_tiles,,,clinic,,,
,clinic,,,15.8768667,,,,,,,,,,,,,Dom zdravlja Gajnice,,,,,,,,,,,,,45.8159971,,yes,,,,,,,,,clinic,,,
,clinic,,,16.4354189,,,,,,,,,,,,,Dom zdravlja Hvar,,,,,,,,,,,,,43.1733085,,,,,,,,,,,clinic,,,
health_centre,clinic,general,,16.1270056,,,,,,,,,,24/7,,,Dom zdravlja Ivanec,,,,,,,,,yes,,,,46.2247459,,,,,,,,,,,clinic,,,
,clinic,,,15.8333880,,,,,,,,,,,,,Dom zdravlja Ivanec Bistranski,,,,,,,,,,,,,45.8497361,,yes,,,,,,,,,clinic,,,
,clinic,,,16.6810931,,,,,,,,,,,,,Dom zdravlja Jelsa,,,,,,,,,yes,,+385 21 583 533,,43.1665649,,,,,,,,,,,clinic,,,
,clinic,,,14.3535305,,,,,,,169,,,,,,Dom zdravlja Kastav,,,,,,,,,,,,,45.3712862,Kastav,yes,,,Kastav,,51215,,,,clinic,,,
,clinic,,,15.7392317,,,,,,,9,,,,,,Dom zdravlja Klanjec,,,,,,,,,,,,,46.0477575,Trg mira,yes,,,,,,,,,,,,
,clinic,,,15.9999301,,,Dom zdravlja Zagreb - istok,,,,33,,,,,,Dom zdravlja Kozjak,,,,,,,,,no,,+385 1 234 7830,,45.8307559,Rebar,yes,,,Zagreb,gabled,10000,roof_tiles,,,,yes,,
,clinic,,,17.1638925,,,,Dom zdravlja Požeško-slavonske županije,,,51,,,,,,Dom zdravlja Lipik,,,,,,tina.gadzic@dz-pozega.hr,,,,,034/421-285,,45.4113055,Slavonska ulica,yes,,,Lipik,,34551,,,,clinic,,,
,clinic,,,15.9603910,,,,,,,,,,,,,Dom zdravlja MUP,,,,,,,,,,,,,45.8008718,,yes,,,,,,,,,clinic,,,
,clinic,,,14.4631007,051 23 12 05,,,Dom zdravlja Primorsko - goranske županije,,,7,,,,,,Dom zdravlja Mali Lošinj,,,,,,,,,,,051 23 12 05,,44.5328651,Ulica dr. Dinka Kozulića,yes,,,Mali Lošinj,,51550,,,,clinic,,,
,clinic,general,,15.2278070,,,,,,,,,,,,,Dom zdravlja Ogulin,,,,,,,,,,,,,45.2643052,,yes,,,,,,,,,clinic,,,
,clinic,,,15.4792798,,,,,,,,,,,,,Dom zdravlja Ozalj,,,,,,,,,,,+385 47731002,,45.6125372,,yes,,,,,,,,,clinic,,,
,clinic,,,14.2744228,,,,,,,,,,,,,Dom zdravlja PGŽ,,,,,,,,,,,,,45.2908779,,hospital,,,,,,,,,,,,
,clinic,general,,16.0181425,,,,,,,,,,,,,Dom zdravlja Peščenica,,,,,,,,,,,,,45.8057821,,,,,,,,,,,clinic,,,
,clinic,,,17.7992116,,,,,,,,,,,,,Dom zdravlja Pleternica,,,,,,,,,,,,,45.2870322,,industrial,,,,,,,,,clinic,,,
,clinic,,,15.8458738,,,,,,,,,,,,,Dom zdravlja Podsused,,,,,,,,,no,,,,45.8156936,,yes,,,,,,,,,clinic,,,
,clinic,,,13.6054706,,,,,,,,,,,,,Dom zdravlja Poreč,,,,,,,,,,,,,45.2275209,,yes,,,,,,,,,clinic,,,
