amenity,healthcare:speciality,lon,contact:website,internet_access:ssid,operator,alt_name,loc_name,name:de,description:en,addr:housenumber,building:levels,opening_hours,contact:phone,addr:housename,name,note,source,start_date,website,addr:unit,description,emergency,contact:email,phone,levels,old_name,lat,air_conditioning,addr:street,building,name:en,operator:type,addr:city,addr:postcode,wheelchair,email,internet_access:fee,healthcare,toilets:wheelchair,addr:country,internet_access
clinic,,19.0943735,,,,,,,,10,,,,,Benyovszky Orvosi Központ,,Bing,,https://www.orvosikozpont.hu/,,,,,+3617863045,,,47.4817097,,Benyovszky Móric utca,yes,Benyovszky Medical Center,,Budapest,1089,,info@orvosikozpont.hu,,clinic,,,
clinic,,19.1794206,,,,,,,,73,,Mo-Th 08:00-19:00,,,Bercsényi Miklós utcai felnőtt háziorvosi rendelő,,,,http://www.18euszolg.hu/index.php?lyt=szakrendeles&szr_id=13&th_id=11&menu_id=3&menu_mappa_id=13,,,,,,,,47.4058087,,Bercsényi Miklós utca,yes,,,Budapest,1188,yes,,,clinic,,,
clinic,,18.9603145,https://budaorsmed.hu/,,,,,,,9,,,+36 23 445 480; +36 23 445 481,,Budaörsi Egészségügyi Központ,,,,budaorsmed.hu,,,,titkarasag@budaorsmed.hu,,,,47.4623821,,Kossuth Lajos utca,,,,Budaörs,2040,yes,,,,,,
clinic,general,19.2195091,,,,,,,,761,,,,,Béke téri orvosi rendelő,,,,,,,,,,,,47.4279216,,Üllői út,yes,,,Budapest,1182,,,,clinic,,,
clinic,general;otolaryngology;paediatrics;dermatology;gynaecology,21.1311850,,,,,,,,5,,,,,Békési Gyógyászati Központ és Gyógyfürdő,,,,https://bekesirendelo.hu/,,,,,+36 66 411 022,,,46.7694453,,József Attila utca,yes,,,Békés,5630,,,,clinic,,,
clinic,,19.0447436,,,,,,,,1,,,,,Csillaghegyi Egészségház,,Bing,,,,,,,,,,47.5862595,,Ürömi út,public,,,Budapest,1038,,,,,,,
clinic,physiatry,19.0133686,https://www.gerincklinika.hu/rolunk/a-david-gerincklinika-cime-telefonszama-elerhetosegei-nyitvatartasa/,,,,,,,8,,Mo-Fr 07:00-21:00; Sa 09:00-13:00,+36 1 315 2306,,DAVID Gerincklinika,,Bing,,,,,,info@gerincklinika.hu,,,,47.4915105,,Apor Vilmos tér,yes,,,Budapest,1124,,,,clinic,,,
clinic,,21.1724830,,,Bekecs Község Önkormányzata,,,Dr.-Lóránt-Móré Gesundheitszentrum,,124,,,,,Dr. Móré Lóránt Egészségügyi Központ,,,,,,,,,,,,48.1517914,,Honvéd utca,public,Dr. Lóránt Móré Health Centre,,Bekecs,3903,,,,,,,
clinic,,18.0126748,,,,,,,,,,,,,Egészségház,,,,,,,,,,,,47.0318295,,,,,,,,,,,,,,
clinic,,16.4225548,,,,,,,,4B,,,,,Egészségház,,,,,,,,,,,,46.8413409,,Kovácsszer,hospital,,,Őriszentpéter,9941,,,,,,HU,
clinic,,18.7826766,,,,,,,,,,,,,Egészségház,,,,,,,,,,,,47.7116080,,Szent Kelemen tér,hospital,,,Kesztölc,2517,yes,,,,,,
clinic,,21.2433884,,,,,,,,,,,,,Egészségház,,,,,,,,,,,,46.7370532,,,public,,,,,,,,clinic,,,
clinic,,16.3638742,,,,,,,,,,,,,Egészségház,,,,,,,,,,,,46.9514457,,,hospital,,,,,,,,,,,
clinic,,18.8234800,http://egeszseghaz.biatorbagy.hu/,,,,,,,2,,,,,Egészségház,,,,,,,,egeszseghaz@biatorbagy.hu,,,,47.4735766,,Mester utca,yes,,,Biatorbágy,2051,,,,,,,
clinic,,16.7227716,,,,,,,,3,,,,,Egészségház,,,,,,,,,,,,46.4353196,,Kárpáti utca,yes,,,Letenye,8868,,,,,,,
clinic,,21.5034452,,,,,,,,43,,,,,Egészségközpont,,,,,,,,,,,,48.4750896,,Dózsa György út,yes,,,Pálháza,3994,,,,clinic,,,
clinic,,22.0792791,,,,,,,,5,,,,,Egészségügyi Alapellátás,,,,,,,,,,,,48.2196765,,Szent György tér,yes,,,Kisvárda,4600,,,,clinic,,,
clinic,,20.0960443,,,,,,,,,,,,,Egészségügyi Központ,,,,,,,,,,,,46.9339279,,,hospital,,,,,,,,clinic,,,
clinic,,22.0764145,,,,,,,,,,,,,Egészségügyi Központ,,,,,,,,,,,,47.9970922,,,yes,,,,,,,,clinic,,,
clinic,,21.6012299,,,,,,,,3,,,,,Egészségügyi központ,,Bing,,http://www.mikohaza.hu/hu/node/107,,,,,,,,48.4604931,,Szabadság utca,yes,,,Mikóháza,3989,,,,clinic,,,
clinic,,19.6918852,,,,,,,,7,,,,,Egészségügyi és Szociális Intézmények Igazgatósága,,http://kecskemet.hu/?r=810&c=14286,,http://kecskemet.hu/?r=810&c=14286,,,,,+36 76 514 000,,Régi Sztk,46.9097312,,Piaristák tere,yes,,,Kecskemét,6000,limited,,,clinic,,,
clinic,,19.1030705,,,,,,,,Vadgesztenye,,,,,Felnőtt háziorvosi rendelő,,,,,43/B,,,,,,,47.5746653,,Vadgesztenye utca,yes,,,Budapest,1046,,,,,,,
clinic,balneotherapy;physiotherapy;rheumatology;therapeutic_massage,21.0480961,,,Tiszaújváros,,,,,2,,Mo-Fr 08:00-14:30,,,Fiziko és Balneoterápiás Intézet,,,,http://rendelo.tiszaujvaros.hu/index.php/fiziko-es-balneoterapia,,,,,,,,47.9304554,yes,Teleki Blanka út,yes,,government,Tiszaújváros,3580,yes,,,clinic,,,
clinic,,19.0666614,,,Semmelweis Egyetem,,,,,40,4,,,,Fogászati és Szájsebészeti Oktató Intézet,,,,http://semmelweis.hu/fszoi/,,,,,,,,47.4897519,,Szentkirályi utca,university,,,Budapest,1088,,,,dentist,,,
clinic,,18.7476980,,,,,,,,,,,,,Fresenius Dialízis Központ,,,,,,,,,,,,47.7896066,,,hospital,,,,,,,,clinic,,,
clinic,,19.1133324,,,,,,,,,,,,,Gyengélkedő,,Bing,,,,,,,,,,47.4962403,,,yes,,,,,,,,clinic,,,
clinic,,18.7465325,,,,,,,,,,,,,Gyermekgyógyászati Ambulancia,,,,,,,,,,,,47.7904231,,,hospital,,,,,,,,clinic,,,
clinic,paediatrics,20.1492270,,,,,,,,14-15,,,,,Gyermekgyógyászati Klinika és Gyermekegészségügyi Központ,,,,,,,,,,,,46.2450946,,Korányi fasor,yes,,,Szeged,6720,,,,clinic,,,
clinic,,20.2845011,,,,,,,,13,,,,,Heves város rendelőintézet,,,,,,,,,,,,47.5934129,,Fő út,yes,,,Heves,3360,,,,clinic,,,
clinic,community,20.9797718,,,,,,,,,,,,,Háziorvosi rendelő,,,,,,,no,,,,,46.7595697,,Petőfi Sándor utca,,,,Kamut,5673,,,,doctor,,,
clinic,,20.2966607,,,,,,,,,,,,,Háziorvosi és Gyermekorvosi Rendelőintézet,,,,,,,,,,,,48.2159581,,,yes,,,,,,,,clinic,,,
clinic,,19.0584328,,,,,,,,47,3,,,,I. sz. szakrendelő,,,,,,,,,,,,47.5183597,,Visegrádi utca,hospital,,,Budapest,1132,yes,,,clinic,yes,,
clinic,,20.1453711,,,,SZTK,,,,,,,,,I. számú rendelőintézet,,,,,,,,,,,,46.2475635,,,hospital,,,,,,,,clinic,,,
