amenity,healthcare:speciality,wikipedia,layer,alt_name,operator,addr:housenumber,alt_name_1,addr:town,service,lon,building:levels,opening_hours,operator:type,addr:housename,name,note,source,addr:place_1,email,website,fax,description,emergency,fixme,leisure,phone,historic,old_name,lat,addr:street,building,phone_alt,name:ga,name:en,addr:city,addr:postcode,wheelchair,addr:place,healthcare,landuse
clinic,,,,,,,,,,-9.3071503,,,,,An Coillín,,,,,,,,,,,,,,53.8491306,,yes,,,,,,,,clinic,
clinic,,,,Athenry Surgery,,,,,,-8.7558231,,Mo-Fr 09:00-18:00,,,Athenry Primary Care Centre,,,,info@athenrysurgery.com,http://www.athenrysurgery.ie,091 844799,,,,,+353-91-844489,,,53.2996773,Raheen Woods Road,yes,,,,Athenry,,yes,,clinic,
clinic,,,,,HSE,,,,,-6.9910013,,,,,Athy Health Centre,,,,,,,,,,,,,,52.9949225,,,,,,,,,,clinic,
,,,,,,,,,,-7.3491108,,,,,Atrium,,,,,,,,,,,,,,53.5335720,,,,,,,,,,,
clinic,,,,,,,,,,-6.9593342,,,,,Bagenalstown Health Centre,,bing adjusted,,,,,,,,,,,,52.7015948,,,,,,,,,,clinic,
clinic,,,,,,,,,,-7.3358716,,,,,Ballinderry Clinic,,bing,,reception@ballinderryclinic.ie,http://www.ballinderryclinic.ie/,+353-44-9329901,,,,,+353-44-9329900,,,53.5144820,,,,,,,,,,clinic,
clinic,,,,,,,,,,-6.3720754,,,,,Ballyfermot & Palmerstown Primary Care and Mental Health Centre,,,,,,,,,,,,,,53.3429779,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-8.4654642,,,,,Breast Check Southern Unit,,,,,,,,no,,,,,,51.8937622,Infirmary Road,,,,,Cork,,,,clinic,
clinic,psychiatry;logopedic,"en:Cork Street Fever Hospital, Dublin",,,,,,,,-6.2860386,,,,,Brú Chaoimhín Campus,,,,,,,,no,,,,,Cork Street Fever Hospital,53.3372381,Cork Street,,,,,Dublin,D08 DH31,,,clinic,
clinic,,,,,,,,,,-7.3506295,,,,,CADS Clinic (OLD FEVER HOSPITAL),,bing,,,,,,,,,,building,,53.5366753,,hospital,,,,,,,,rehabilitation,
clinic,,,,,,,,,,-9.0524026,,,,,Cara Medical Centre,,,,,,,,,,,+353-69-72040,,,52.4546319,,yes,,,,,,,,clinic,
clinic,,,,,HSE,,,,,-6.3583650,,,,,Castleknock Health Facility,,,,,,,,,,,,,,53.3712146,,,,,,,,,,clinic,
clinic,,,,,,,,,,-6.5450907,,,,,Celbridge Health Centre,,,,,,,,,,,,,,53.3446479,Shackleton Road,,,,,Celbridge,,,,clinic,
clinic,,,,Kildare Primary Care,HSE,,,,,-6.9013399,,,,,Cill Dara Primary Care Centre,,,,,,,,,estimate,,,,,53.1541955,,,,,,,,,,clinic,
clinic,,,,,,,,,,-8.4656528,,,,,City General Hospital,,,,,,,,no,,,,,,51.8933242,Infirmary Road,,,,,Cork,,,,clinic,
clinic,,,,,HSE,,,,,-7.9428249,,,,,Clonbrusk Primary Care Centre,,,,,,,,,,,,,,53.4331091,,,,,,,,,,,
clinic,psychiatry,,,,Health Service Executive,,,,,-6.3093513,,,,St. Columba's,Crumlin Mental Health Centre,,,,,,,,,,,,,,53.3199747,Armagh Road,,,,,,,,,clinic,
clinic,,,,,,,,,,-7.2758065,,,,,Cuisle Cancer Support Centre,,,,,https://www.cuislecentre.com/,,,,,,,,,53.0356321,,,,,,,,,,,grass
clinic,,,,,,,,,,-7.0915221,,,,,Delvin Health Centre,,,,,,,,,,,,,,53.6135201,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-6.5436364,,,,,Dunshaughlin Health Centre Unit,,,,,,,,,,,,,,53.5080547,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-8.2405501,,,,,East Galway Cancer Support,,,,,,,,,,,,,,53.3239212,,,,,,,,,,,
clinic,,,,,,,,,,-8.4581089,,,,,Elmwood Medical Centre,,,,,http://www.elmwood.ie,,,,,,+353 21 489 3255,,,51.8670434,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-9.0823867,,,,,Enniscrone Primary Care and Community Resource Centre,,,,,,,,,,,,,,54.2155660,,yes,,,,,,,,,
clinic,,,,,,4,,,,-6.2458998,,,,,Everyman Centre,,,,,,,,,,,,,,53.3393151,Mount Street Lower,yes,,,,Dublin,,,,clinic,
clinic,,,,,,,,,,-6.2676111,,,,,Glasnevin Health Centre,,,,,,,,,,,,,,53.3723945,Botanic Avenue,yes,,,,Dublin,,,,clinic,
clinic,,,,,,,,,,-6.9543223,,,,,Graiguenamanagh Health Centre,,,,,,,,,,,,,,52.5419864,,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-8.8527140,,,,,Grove Medical Centre,,,,,,,,,,,,,,53.5116900,Sean Purcell Road,yes,,,,,,,,clinic,
clinic,,,,,,,,,,-6.6128294,,,,,HSE Health Centre,,,,,,,,,,,,,,53.0213842,,yes,,,,,,,,,
