health_facility:type,shop,amenity,contact:phone,healthcare_1,healthcare:speciality,medical_system:western,addr:street:it,social_facility,addr:unit,official_name,height,loc_name,email_1,wikidata,name:it,lon,social_facility:for,operator,air_conditioning,phone_1,addr:housenumber,note,short_name,religion,building:levels,opening_hours,operator:type,addr:housename,name:de,access,source,contact:mobile,ref:anncsu,it:fvg:ctrn:code,addr:street,email,website,ref:vatin,fax,addr:hamlet,description,emergency,contact:email,addr:province,addr:street:de,fence_type,fixme,leisure,denomination,barrier,phone,old_name,lat,area,roof:shape,level,indoor,addr:city,building,building:colour,min_level,contact:fax,name,addr:inclusion,addr:postcode,wheelchair,addr:interpolation,addr:place,it:fvg:ctrn:revision,start_date,source:geometry,max_level,healthcare,room,source:addr,addr:country,alt_name
,,clinic,,,,,,,,,,,,,,8.5270786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1666520,,,,,,yes,,,,A.S.L. 7,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,13.2196949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.2181177,,,,,,,,,,A.S.S. 4 Medio Friuli - Distretto sanitario di Tarcento,,,,,,,,,,,,,,
clinic,,clinic,,,,yes,,,,Azienda Sanitaria Locale della provincia di Como,,,,,,9.0426257,,Azienda Ospedaliera Ospedale S. Anna,,,2,,ASL,,,,,,,,,,,,Via del rampanone,,,,,,,no,,,,,,,,,+39 02 96777069,,45.6980676,,,,,Lomazzo,yes,,,,ASL,actual,22074,,even,,,,,,centre,,,IT,
,,clinic,,,,,,,,,,,,,,7.8864796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3808410,,,,,,,,,,ASL,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,16.7807940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.1569956,,,,,,yes,,,,ASL,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,ASL 1 Avenza,10.0574836,,,,,,,,,,,,,,,,,930,,,,,,,,,,,Massa-Carrara,,,,,,,,,44.0486122,,,,,Carrara,,,,,ASL 1 Avenza,,54033,,,,,,,,,,,IT,
,,clinic,,,,,,,,,,,,,,18.0146624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.4030217,,,,,,,,,,ASL Lecce DSS Campi Salentina,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,7.6346268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.0647591,,,,,,yes,,,,ASL TO1 - Presidio Distretto 3,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.3053794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.8798274,,,,,,yes,,,,ASL guardia medica,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,15.2411822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.2260270,,,,,,yes,,,,ASP,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,14.8291067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4796592,,,,,,yes,,,,ASReM Distretto Sanitario Riccia,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,8.8241389,,,,,18,,,,,,,,,,,,,,Via Roma,,,,,,,,,,,,,,,,,,45.7804796,yes,,,,,,,,,ASST dei Sette Laghi - Gazzada Schianno,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,11.9251800,,USL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5348892,,,,,,hospital,,,,AVIS-Centro Antidiabete,,,,,,,,,,,,,,
,,clinic,,,radiology;outpatient_specialist;diagnostica_per_immagini,,,,,,,,,,,9.4395271,,,,,2,,,,,,,,,,,,,,Via della Filanda,,,,,,,,,,,,,,,,,,45.5434472,,,,,Gessate,yes,,,,Affidea Centro Diagnostico Martesana,,20060,,,,,,,,clinic,,,,
,,clinic,,,,,,,,,,,,,,8.6329890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.6667358,,,,,,yes,,,,Ambulatori Comunali,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,9.6441110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.3373060,,,,,,,,,,Ambulatorio,,,,,,,,,,,,,,
,,clinic,,,,,,yes,,,,Cassa Mutua,,,,16.3141972,,,,,,,,,,,,,,,,,,,Piazza Elvidio Borelli,,,,,,,no,,,,,,,,,+39 0968 2081,,38.9707502,,,,,,yes,,,,Ambulatorio ASP,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,14.7556015,,,,,,,,,,,,,,,,,,,Via Trotula de Ruggiero,,,,,,,,,,,,,,,,,,40.6811681,,,,,Salerno,yes,,,,Ambulatorio Geriatrico,,,,,,,,,,,,,,
,,clinic,,,,,,,,,12 m,,,,,13.2497599,,Comitato Cri di Udine,,,31,,,,,,,,,,,,,4AED,Via Pastrengo,comitato@criudine.it,,,,,,,,,,,,,,,+39 0432 530848,,46.0617317,,,,,,yes,,,,Ambulatorio Infermieristico,,,,,,1A0,,,,,,,,
,,clinic,,,,,,,,,,,,,,12.8544109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.7951132,,,,,,yes,,,,Ambulatorio Medico,,,,,,,,,,,,,,
,,clinic,,,,,,,,,,,,,,13.4642744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3216516,,,,,,yes,,,,Ambulatorio Medico,,,,,,,,,,,,,,
