amenity,layer,operator,addr:housenumber,barrier,building:levels,opening_hours,contact:phone,lon,source,email,website,name:lt,phone,lat,smoking,addr:street,building,name,roof:shape,addr:postcode,level,addr:city,healthcare,addr:country
clinic,,,,,,"Mo-Th 07:30-16:00, Fr 07:30-14:00",,24.3257744,,,,,,55.0862988,,,yes,Achemos poliklinika,,,,,,
clinic,,,16,,,Mo-Fr 7:00-19:00; Sa 10:00-14:00,,21.1340669,,pagalba@kraujotyrimai.lt,https://kraujotyrimai.lt/,,+370 700 55 511,55.7202605,,Priestočio g.,yes,Antėja,,,,Klaipėda,clinic,
clinic,,,3,,,,,23.9614139,,,https://www.ausrosmedicinoscentras.lt/,,+370 37 709904,54.9245707,,P. Lukšio g.,yes,Aušros medicinos centras,,,2,Kaunas,,
clinic,,,421,,,,,23.9663685,,,,,,54.9259201,,Savanorių pr.,yes,BMP klinika,,,,Kaunas,,
clinic,,,117,,,,,24.7582851,NŽT ortofoto 2009-2010,,http://www.birzupoliklinika.lt/,,,56.1888296,,Vilniaus g.,yes,Biržų poliklinika,,41115,,Biržai,,
clinic,,,2,,,Mo-Fr 08:00-17:00,,24.3733863,,,,,+370 349 49744,55.2257220,,Jaunystės g.,yes,Bukonių ambulatorija,,55414,,Bukonys,,
clinic,,,,,,,,25.2761665,,,,,,54.6831719,,,public,Centro poliklinika,,,,,,
clinic,,,3,,2,,,25.2770206,,,,,,54.6832331,,Pylimo g.,public,Centro poliklinika,gabled,,,Vilnius,,
clinic,,,3,,,,,21.1585397,,,,,,55.6786685,,Darželio g.,apartments,Gydytojo Isaevo medicinos centras,,,,Klaipėda,,
clinic,,,9,,,,,25.6008960,,,,,,55.4955042,,Utenio a.,yes,"Hiperika, šeimos klinika",,,,Utena,,
clinic,,,13A,,,Mo-Fr 7:00-19:00; Sa 8:00-13:00,,26.1503577,,,,,,55.3420759,,Ligoninės g.,yes,Ignalinos Sveikatos Centras,,,,Ignalina,,
clinic,,,,,,,,24.2715031,,,,,,55.0808448,,,yes,Jonavos ligoninės konsultacinė poliklinika,,,,,,
clinic,,,,,,,,24.2701273,,,,,,55.0794937,no,,yes,Jonavos ligoninės vaikų ligų skyrius,,,,,,
clinic,,,3,,,,,25.6080748,,,,,,56.0885199,,Taikos g.,yes,Juodupės ambulatorija,,,,Juodupė,,LT
clinic,,,9,,2,,,24.0790907,,,http://www.karmelava.eu/node/220,,,54.9750124,,Vilniaus g.,yes,Karmėlavos ambulatorija,,54456,,Karmėlava II,,
clinic,,VšĮ Karoliniškių poliklinika,27A,,7,,,25.2152397,,,http://karpol.lt/,,,54.6919558,,Loretos Asanavičiūtės g.,yes,Karoliniškių poliklinika,,,,Vilnius,,
clinic,,VšĮ Karoliniškių poliklinika,11,,,Mo-Fr 07:00-20:00; Sa 08:00-12:00,,25.1736382,,,http://karpol.lt/,,+370 52 307 114,54.7087479,,Karaliaučiaus g.,yes,Karoliniškių poliklinikos Pilaitės šeimos medicinos skyrius,,,,Vilnius,,
clinic,,,31,,,Mo-Fr 07:30-20:00,,23.9847354,,,https://kaunopoliklinika.lt/,,+370 37 403 900,54.9141282,,Pramonės pr.,yes,Kauno miesto poliklinikos Dainavos padalinys,,,,Kaunas,,
clinic,,,369,,,Mo-Fr 07:30-20:00,,23.9591161,,,https://kaunopoliklinika.lt/,,+370 37 401 422,54.9230319,,Savanorių pr.,yes,Kauno miesto poliklinikos Kalniečių padalinys,,,,Kaunas,,
clinic,,,72,,,Mo-Fr 07:30-20:00,,23.9364988,,,https://kaunopoliklinika.lt/,,+370 37 342 167,54.8730138,,A. Juozapavičiaus pr.,yes,Kauno miesto poliklinikos Šančių padalinys,,45217,,Kaunas,,
clinic,,,4,,,Mo-Fr 07:30-20:00,,23.8207192,,,,,+370 37 377 771,54.9304264,,Chodkevičių g.,yes,Kauno miesto poliklinikos Šilainių padalinio Romainių poskyris,,,,Kaunas,,
clinic,,,76,,,,,21.1639711,,,http://www.klaipedosspc.lt/,,+370 46 496 755,55.6791169,,Taikos pr.,yes,Klaipėdos sveikatos priežiūros centras,,,,Klaipėda,,
clinic,,,13,,,Mo-Fr 8:00-19:00,,21.1344949,,,,,+370 46 484 147,55.7144077,,J. Karoso g.,yes,Klaipėdos vaikų ligoninės konsultacinė poliklinika,,92138,,Klaipėda,,
clinic,,,18,,,,,22.9353670,,,http://www.kursenai-medicina.lt,,+370 41 581 157,56.0042198,,J. Basanavičiaus g.,yes,Kuršėnų poliklinika,,81183,,Kuršėnai,,
clinic,,,8A,,2,,,23.9334883,,,,,,54.9309753,,Šiaurės pr.,yes,Medgintras,,,,Kaunas,,
clinic,,,8C,,2,,,23.9338354,,,,,+370 37 387101,54.9314423,,Šiaurės pr.,yes,Medgintras,,,,Kaunas,,
