amenity,healthcare:speciality,ref:bag,contact:website,addr:city,alt_name,source_1,operator,addr:housenumber,lon,building:levels,opening_hours,addr:housename,note,source,ref:cw_id,email,website,fax,description,emergency,source:date,phone,lat,addr:street,building,name,roof:shape,addr:postcode,roof:material,addr:place,start_date,healthcare,addr:country,internet_access
clinic,,,,,,,,,5.2482682,,,,,,,,,,,,,,52.3817032,,,'s Heeren Loo,,,,,,clinic,,
clinic,,,,,,,,,6.9069283,,,,,,,,,,Mental health institute,,,,52.2403062,,,'t Bouwhuis,,,,,,,,
clinic,,,,,,,,,-68.8684230,,,,,KG Ground Survey 2015 Curaçao,,,,,,,,,12.1225689,,yes,ADC,,,,,,,,
clinic,,797100000008756,,,,,,,5.2114726,,,,,BAG,,,https://www.atskliniek.nl/,,,,2014-06-02,,51.6955648,,commercial,ATS-kliniek,,,,,1860,,,
clinic,,,,,,,,,4.4721705,,,,,,,,,,,,,,52.1404595,,,Activiteitencentrum Zuidwester,,,,,,clinic,,
clinic,acupuncture,301100000021472,http://www.acupunctuur-zutphen.nl/contact%20pag%205.htm,Zutphen,,,,117,6.2065840,4,Mo-Th 09:00-20:30,,,BAG,,info@acupunctuur-zutphen.nl,https://www.acupunctuur-zutphen.nl/,,,,2014-01-22,+31648314388,52.1504599,Deventerweg,house,Acupunctuur Zutphen,,7203AE,,,1909,alternative,,wlan
clinic,,917100000000411,,,,,,,5.9092296,,,,,,,,https://www.adelante-zorggroep.nl/,,,,2017-04-18,,50.9210143,,yes,Adelante,,,,,1964,,,
clinic,,797100000008324,,,,,,,5.2101234,,,,,BAG,,,https://www.alizonne.nl/,,,,2017-03-23,,51.6947993,,office,Alizonne,,,,,1916,,,
clinic,,,,Philipsburg,,,,,-63.0442496,,,,,KG Ground Survey 2015,,,,,,,,721 582 1365,18.0247184,E. Camille Richardson Street,yes,Alternative Health Care,flat,,metal,,,,,
clinic,,,,,,Central Bureau of Statistics Aruba,,92,-70.0105047,,,,,KG Ground Survey 2015 Aruba,,,,,,,,,12.5182382,Cumana,yes,Apex 2000,,,,,,,AW,
clinic,,153100000241132,,,,,,,6.9061000,,,,,Visitors,,,,,,no,2014-03-24,,52.2367582,,apartments,Ariëns Zorgpalet,,,,,2010,,,
clinic,,,,,,,,72,-68.8877195,,,,,KG Ground Survey 2015 Curaçao,,,,,,,,,12.1438123,Cassandraweg,yes,Arts Mediko,,,,,,,,
clinic,,,,Kralendijk,,,,,-68.2764610,,,,Medical laboratory. For emergency cases go to hospital or clinic in front of hospital.,KG Ground Survey 2015,,,,,,,,717 8055,12.1551072,Kaya J E Nicolaas,yes,BONLAB,,,,,,,,
