shop,office,healthcare:speciality,building:part,clinic,addr:housenumber,addr:state,name:de,source,opening_hours:url,image,fax,survey:date,short_name,fixme,historic,name:uk,tourism,addr:street,contact:facebook,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,source:user,WroclawGIS:building:ID,ewmapa:warstwa,full_name,building:usage:pl,description,wikipedia,mapillary,addr:street:sym_ul,ref,email,highway,WroclawGIS:building:ringIndex,barrier,contact:email,addr:source,addr:city:simc,roof:shape,source:geometry,addr:city,building:use:pl,source_ref,building:type:pl,lon,contact:website,roof:colour,height,lat,alt_name,operator,area,opening_hours,contact:phone,addr:housename,building:parts,heritage,start_date,website,addr:subdistrict,phone,official_name,emuia:id,dispensing,landuse,source:amenity,amenity,operator:type,WroclawGIS:building:date,wikidata,source_ref:3D,emergency,addr:district,building:levels,note,building:fireproof,source:addr,building:material,addr:county,building,building:colour,url,wheelchair,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator
,,,,,11,,,Starostwo Powiatowe Będzin,,,,,,,,,,Siemońska,,,"""Promed"" NZOZ Przychodnia Rejonowo-Specjalistyczna",,,42-500,,,,,,,,,,,,,,,,,,,,,,Będzin,"Szpital lub zakład opieki medycznej, socjalnej",,,19.1605797,,,,50.3264501,,,,,,,,,,,,,,,,,,clinic,,,,,,,2,,,,,,healthcare,,,,,,,PL,
,,,,,,,,,,,,,,,,,,,,,ArtDent Medica Centrum Stomatologiczne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6076401,,,,52.5396295,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,1,,,UM Kielce,,,,,,,,,,Robotnicza,,,ArtMedik,,,25-662,,,,,,,,,,,,,,,,,,,,,,Kielce,,,,20.6270983,,,,50.8865612,,,,,,,,,,,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,clinic,,
,,,,,21/25,,,,,,,,,,,,,Bukowińska,,,Artismed,,,02-703,,,,,,,,,,,02394,,,,,,,,0918123,,,Warszawa,,,,21.0266010,,,,52.1800046,,,,,,,,,,http://www.artismed.eu/,,,,,,,,clinic,,,,,,,,,,mapa.um.warszawa.pl,,,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Bagłaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0038434,,,,51.0687264,,,,,,,,,,https://www.baglaj.com.pl/chide/,,,,,,,,clinic,,,,,,,,,,,,,,,"https://dolny-slask.org.pl/6807697,Wroclaw,Szpital_Jednodniowy.html",,,,,,
,,,,,,,,,,,,,,,,,,,,,Bi-Med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8561291,,,,50.4485688,,,,,,,,,,,,,BI-MED Niepubliczny Zakład Opieki Zdrowotnej,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,22,,,UM Siemianowice Śląskie,,,,,,,,,,Świętej Barbary,,,BlueBall Centrum Rehabilitacji,,,41-100,,,,,,,,,,,,,,,,,info@blueball.pl,,,,,Siemianowice Śląskie,,,,19.0318362,,,,50.3048477,,,,,796969671,,,,,http://www.blueball.pl,,,,,,,,clinic,,,,,,,,,,,,,yes,,,,,,,,
,,,,,8,,,,,,,,,,,,,Tadeusza Sroczyńskiego,,,CENTRUM DIALIZ FRESENIUS NEPHROCARE XVII,,,,,,,,,,,,,,,,,,,,,,,,,Jasło,,,,21.4852492,,,,49.7512176,,,,,,,,,,,,+48 134453257,,,,,,clinic,,,,,,,,,,EMUiA (emuia.geoportal.gov.pl),,,yes,,,,,,,,
,,,,,,,,Starostwo Powiatowe w Sochaczewie,,,,,,,,,,,,,Centrum Dializ Fresenius,,,,,,,,,,,,,,,,dorota.sliwicka@fmc-ag.com,,,,,,,,,,,,,20.2295994,,,,52.2380685,,Fresenius Medical Care Polska S.A.,,Mo-Sa 07:00-23:00,,,,,,https://www.nephrocare.pl/stacje-dializ/clinic/mazowieckie/sochaczew.html,,+48 22 213 38 10,,,,,,clinic,,,,,,,1,,,,,,healthcare,,,,,,,,
,,,,,61,,,,,,,,,,,,,Marcelego Nenckiego,,,Centrum Dializ Fresenius,,,52-223,,,,,,Centrum Dializ Fresenius Ośrodek Dializ nr 54 we Wrocławiu,,,,,14074,54,,,,,,,,,,Wrocław,,,,17.0241769,,,,51.0578909,,,,,,,,,,https://www.nephrocare.pl/stacje-dializ/clinic/dolnoslaskie/wroclaw-mcd1.html,,,,,,,,clinic,,,,,,,,,,WroclawGIS,,,yes,,,,,,dialysis,,
