amenity,building:colour,healthcare:speciality,lon,contact:website,roof:colour,layer,official_name,alt_name,smoking,operator,addr:housenumber,emergency,addr:district,no,building:levels,opening_hours,contact:phone,addr:housename,heritage:website,note,source,start_date,email,highway,website,ref:vatin,fax,description,short_name,contact:email,name:pt,addr:unit,leisure,barrier,phone,historic,ownership,old_name,lat,contact:fax,healthcare:speciality_1,addr:street,building,source:name,name:en,operator:type,name,level,castle_type,addr:postcode,wheelchair,addr:place,addr:city,place,healthcare,addr:country,internet_access
clinic,,,-8.6039566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1486176,,,,yes,,,,Acção Contínua: saúde e prevenção pessoal,,,,,,,,,,
clinic,,,-28.6347320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.5305621,,,,hospital,,,,Aditologia,,,,,,,,,,
clinic,,,-8.4114596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,national,,40.2151854,,,,public,,,,BCG,,,,,,,,,,
clinic,,,-8.6442709,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6450448,,,Rua Almirante Cândido dos Reis,yes,,,,Briosa e Gala,,,3800-096,,,Aveiro,,clinic,,
clinic,,,-9.1213417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7618612,,,,yes,,,,CATUS,,,,,,,,clinic,,
clinic,,,-8.4776914,,,,,,,,235,,,,,,,,,,,,geral@cerma.pt,,,,,,,,,,,,+351 252 809 400,,,,41.3358764,,,Rua Nova da Telheira,yes,,,,CERMA,,,4780-510,,,Santo Tirso,,rehabilitation,,
clinic,,,-8.5265321,,,,,,,,601,,,,,Mo-Sa 08:00-21:00,,,,,Bing,,info@cliave.pt,,http://www.cliave.pt/,,+351 252 330869,,,,,,,,+351 252 330860,,,,41.4061690,,,Avenida 25 de Abril,yes,,,,CLIAVE - Clínica do Vale do Ave,,,4760-101,,,Vila Nova de Famalicão,,,,
clinic,,,-9.3531370,,,,,,,,12,,,,,,,,,,,,geral@cretatratamento.com,,https://www.cretatratamento.com/,,,"Clínica de Tratamento (Toxicodependência, Alcoolismo, Drogas, Adicção, Dependências, Anorexia e Bulimia, Jogo, Co-dependência, Depressão e Perturbações de Personalidade).",,,,,,,+351 214 582 910,,,,38.6881637,,,Rua de Jacinto Nunes,yes,,,,CRETA,,,2775-206,,,Parede,,clinic,,
clinic,,,-9.1978166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6665474,,,,,,,,CUF Almada,,,,,,,,,,
clinic,,,-9.3402739,,,,,,,,195,,,,,Mo-Fr 07:00-21:30; Sa 08:00-19:00,,,,,,,,,https://www.cufsaodomingosderana.pt/,,,,,,,,,,+351 214 549 450,,,,38.7014715,,,Rua Afonso de Albuquerque,yes,,,,CUF S. Domingos de Rana,,,2785-578,yes,,São Domingos de Rana,,,,
clinic,,,-9.3490600,,,,,,,,2,,,,,,,,,,,,,,www.saudecuf.pt/sintra,,,,,,,,,,211 144 850,,,,38.7805004,,,Estrada de Mem Martins,commercial,,,,CUF Sintra,,,2725-109,,,Mem Martins,,,PT,
clinic,,,-27.2157498,,,,,Instituto São João de Deus,,,,,,"Centro Assistencial na área da Psiquiatria, Saúde Mental e Reabilitação Psicossocial",,,,,,,,,,,,,,,,,,,,,,,,,38.6697900,,,,,,,,Casa de Saúde de São Rafael,,,,,,,,,,
clinic,,,-27.2157294,,,,,Irmãs Hospitaleiras do Sagrado Coração de Jesus,,,,,,,,,,,,prestação de cuidados de saúde no âmbito da saúde mental e psiquiatria,,,,,,,,,,,,,,,,,,,38.6705661,,,,,,,,Casa de Saúde do Espirito Santo,,,,,,,,,,
clinic,,,-8.4669182,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,private,,40.2099172,,,,,,,,Centro Cirúrgico de Coimbra,,,,,,,,clinic,,
clinic,,,-8.8783853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.9192363,,,,yes,,,,Centro De Saude Do Porto Alto,,,,,,,,clinic,,
clinic,,,-8.8086637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7651127,,,,yes,,,,Centro De Saúde Doutor Arnaldo Sampaio,,,,,,,,clinic,,
clinic,,,-8.4821893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6861329,,,Rua 25 de Abril,yes,,,,Centro Saúde,,,,,,Albergaria-a-Velha,,clinic,,
clinic,,,-8.6309937,,,,,,,,,,,,1,,,,,,,,,,,PT503122165,,,,,,,,,,,,,40.8570396,,,,yes,,,,Centro Saúde de Ovar - Sede,,,,,,,,,,
clinic,,,-8.5982609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1587235,,,,yes,,,,Centro de Atendimento de Toxicodependentes Oriental do Porto,,,,,,,,clinic,,
clinic,,,-28.6348575,,,,,,,,,,,,,,,,,,,,,,https://www.cdija.pt/,,,,,,,,,,,,,,38.5306029,,,,hospital,,,,Centro de Desenvolvimento Infantojuvenil dos Açores,,,,,,,,,,
clinic,,,-9.1619862,,,,,Dispensário da Assistência Nacional aos Tuberculosos;IANT de Almada,,,,,,,,,,,http://monumentos.pt/Site/APP_PagesUser/SIPA.aspx?id=31118,,,,,,,,,,,,,,,,,,,,38.6737379,,,,yes,,,,Centro de Diagnóstico Pneumológico da Cova da Piedade,,,,,,,,,,
clinic,,,-9.3541806,,,,,,,,1208-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.6900358,,,Avenida da República,yes,,,,Centro de Enfermagem de Parede,,,,,,Parede,,clinic,,
clinic,,,-9.1623751,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,38.7507873,,,,yes,,,,Centro de Medicina Desportiva,,,,,,,,clinic,,
clinic,,,-8.4109627,,,1,,,,,,,,,,,,,,,bing,,,,,,,,,,,,,,,,,,40.1937114,,,,yes,,,,Centro de Paralisia Cerebral,,,,,,,,,,
clinic,,,-7.4712429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.3636785,,,,yes,,,,Centro de Saude,,,,,,Campinho,,clinic,,
