amenity,contact:phone,operator:type,amenity_1,lon,contact:website,alt_name,operator,addr:housenumber,addr:postcode:source,barrier,is_in:country,building:levels,opening_hours,is_in:city,addr:housename,name:de,access,source,is_in:county,opening_hours:url,healthcare:speciality,addr:street,email,website,wheelchair,description,emergency,contact:email,is_in:country_code,phone,levels,lat,addr:city,building,source:name,name:en,contact:fax,name,level,addr:postcode,roof:levels,start_date,healthcare,addr:country
clinic,,,,28.6365191,,,,43-45,,,,,,,,,,,,,,Strada Constantin Dobrogeanu Gherea,,https://abcmedicalcenter.ro/,,,,,,,,44.1827693,Constanța,yes,,,,ABC Medical Center,,,,,,
clinic,,,,21.2364932,,,,12,,,,,,,,,,,,,,Bulevardul Revoluției din 1989,,,,,,,,,,45.7553978,,yes,,,,ASCAR,,,,,,
clinic,,,,28.6432622,,,,141A,,,,,,,,,,,,,,Bulevardul Tomis,,,,,,,,+40 241 613 000,,44.1857864,Constanța,yes,,,,Affidea,,900591,,,clinic,
clinic,,,,26.1085806,,,,18A,,,,3,,,,,,,,,,Strada Izvorul Rece,,http://alfamedical.ro/,,,,,,+40319495,,44.3880547,București,yes,,,,Alpha Medical,,,,,,
clinic,,,,21.2420394,,,,17,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Daliei,,,,,,,,,,45.7518931,Timișoara,yes,,,,Ambulatoriu Integrat Policlinica 3,,300558,,,,
clinic,,,,26.0682328,,,,200,,,,3,,,,,,survey,,,paediatrics,Splaiul Independenței,,,,,,,,,,44.4398458,București,yes,,,,Ambulatoriul de specialitate pentru copii si tineri - Spitalul Universitar,,060057,,,clinic,
clinic,,,,27.5841448,,,Consiliul Județean Iași,,,,,,,,,,,,,,,Strada Doctor Iacob Cihac,,,,,,,,,,47.1697776,Iași,yes,,,,Ambulatoriul integrat al spitalului clinic de pneumoftiziologie Iași,,,,,clinic,
clinic,,,,24.3626173,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.1137262,,yes,,,,Analize Medical,,,,,,
clinic,,,,26.3625278,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.9284376,,yes,,,,Antares Clinic,,,,,clinic,
clinic,,,,26.0530234,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.4850268,,yes,,,,ArcaLife,,,,,clinic,
clinic,,,,27.5882379,,,,38,,,,,,,,,,,,,,Strada Sărărie,,,,,,,,,,47.1692730,,hospital,,,,Arcadia,,700116,,,,
clinic,,,,26.2015678,,,,,,,,,,,,,,,,,,Drumul Gării,,,,,,,,,,44.4587658,,service,,,,Asociația Miscarea Pentru Pantelimon,,,,,,
clinic,,,,21.3217333,,,,41-43A,,,,,,,,,,,,,,Calea Aurel Vlaicu,,,,,,,,,,46.1891099,Arad,yes,,,,B Braun Centru de Dializă,,310141,,,,
clinic,,,,23.5568141,,,,2,,,,,,,,,,,,,,Bulevardul Republicii,,,,,,,,,,47.6545297,Baia Mare,yes,,,,B.Braun Avitum,,,,,clinic,
clinic,,,,27.3537416,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.5620815,,yes,,,,BioMed,,,,,,
clinic,,,,21.2384475,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7383432,,yes,,,,Bioclinica,,,,,clinic,
clinic,,,,21.2122792,,,,6,,,,5,,,,,,,,,plastic_surgery;dermatology,Strada Franyó Zoltán,,http://www.brol.ro/,,,yes,,,,,45.7565037,Timișoara,yes,,,,Brol Medical Center,,300014,,,clinic,
clinic,,,,21.3188672,,,,8-10,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,,,,,,,,,,,,Strada Tudor Vladimirescu,,,,,,,,,,46.1802646,Arad,yes,,,,CRRCH Centru de Recuperare și Reabilitare pentru Copii cu Handicap,,310010,,,,
clinic,,,,21.1112179,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7607558,,yes,,,,Cabinet Medical,,,,,clinic,
clinic,,,,24.7663179,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1585483,,yes,,,,Cabinet Medical,,,,,,
clinic,,,,24.1318318,,,,47,,,Romania,,Mo-Fr 09:00-19:00,Sibiu,,Zahnarztpraxis Eudent,,owner,Sibiu,,stomatology,Calea Turnișorului,office@eudent.ro,http://www.eudent.ro,,General & estetic dentistry,,,RO,+40269 220 502,,45.8004735,Sibiu,house,,Dental clinic Eudent,,Cabinet stomatologic Eudent,,550136,,2007,clinic,
