amenity,healthcare:speciality,lon,contact:website,fax,height,alt_name,operator,is_in:municipality,addr:housenumber,building:levels,opening_hours,contact:phone,addr:housename,name:de,note,source,ref,website,FIXME,description,emergency,brand,addr:unit,phone,levels,ownership,lat,addr:street,building,name:en,operator:type,name,roof:shape,url,addr:postcode,wheelchair,addr:city,roof:orientation,healthcare,toilets:wheelchair,addr:country
clinic,,17.4161276,,,,,,,,,,,,,,,,,,,,,,,,,62.4264696,,,,,Alnö vårdcentral,,,,,,,,,
clinic,,17.8907438,,,,,,,,,,,,Arjeplog Gesundheitszentrum,,,,,,,,,,,,,66.0500335,,yes,Arjeplog Health Centre,,Arjeplogs hälsocentral,,,,,,,,,
clinic,,13.0864536,,,,,,,6,,,,,,,,,,,,,,,,,,55.6353988,Svenshögsvägen,,,,Arlövs vårdcentral,,,232 38,,Arlöv,,,,SE
clinic,,13.1597117,,,,,Avonova Hälsa AB,,4,,,,,,,,,,,,,,,,,private,58.5054748,Kållandsgatan,yes,,,Avonova,,,531 30,,Lidköping,,clinic,,SE
clinic,,17.9724295,,,,,,,2,,,,,,,,,,,,no,,,,,,59.3041248,Axelsbergs Torg,,,,Axelsbergs vårdcentral,,,129 38,,Hägersten,,,,SE
clinic,,18.1350441,,,,,,,,2,,,,,,,,,,,,,,,,,59.2765113,,yes,,,Bagarmossens vårdcentral,gabled,http://www.dvcb.se/,,,,along,,,
clinic,,14.4876985,,,,,,,,,,,,,,,,,,,,,,,,,59.3148890,,yes,,,Baggängens vårdcentral,,,,,,,,,
clinic,,17.1330225,,,,,Region Gävleborg,,5,,,,,,,,,,,,,,314,,,,60.6867935,Folkparksvägen,yes,,,Barn- och ungdomshabilitering Gävle,,,806 33,,Gävle,,clinic,,SE
clinic,,13.7158379,,,,,,,12,,,,,,,,,,,,,,,,,,56.2919081,Algatan,,,,Bjärnums vårdcentral,,,,,,,,,SE
clinic,,22.1681912,,,,,,,7,,,,,,,,,http://www.nll.se/sv/Halsa-och-sjukvard/Vardcentraler1/Lulea/Lulea-Bjorkskatans-halsocentral/,,,,,,,,,65.6155075,Höstvägen,,,,Björkskatans hälsocentral,,,976 33,,Luleå,,,,SE
clinic,,18.2286159,,,,,,,,,,,,,,,,,,,,,,,,,59.2466421,,yes,,,Bollmora vårdcentral,,,,,,,,,
clinic,,16.6632357,,,,,,,,,,,,,,,,,,,,,,,,,56.8806947,,yes,,,Borgholms Hälsocentral,,,,,,,,,
clinic,,15.0508240,,,,,,,,,,,,,,,,,,,no,,,,,,58.5292431,,yes,,,Brinkens Vårdcentral,,,,,,,,,
clinic,,18.0754806,,,,,,,,,,,,,,,,,,,,,,,,,59.4979099,,,,,Byle Gård,,,,,,,,,
clinic,,21.2070707,,,,,,,,,,,,,,,,,,,yes,,,,,,64.9505427,,yes,,,Byske Hälsocentral,,,,,,,,,
