insurance:VA,amenity,insurance:KFAW,building:levels:aboveground,office,healthcare:speciality,lon,contact:website,social_facility,addr:suburb,addr:housenumber_1,opening_hours:description,alt_name,full_name,social_facility:for,operator,insurance:GKK,insurance,addr:housenumber,addr:district,building:levels,opening_hours,contact:phone,addr:housename,name,note,source,insurance:KFAG,email,insurance:BVA,website,fax,at_bev:addr_date,description,emergency,contact:email,building:roof,phone,old_name,lat,smoking,wheelchair:description,addr:street,building,name:en,contact:fax,addr:city,designation,addr:postcode,wheelchair,addr:place,insurance:SVA,healthcare,toilets:wheelchair,addr:country,addr:street_1
,dentist,,,,,16.2754233,,,,,,,,,,,,18,,,Mo 08:00-16:00; Di 11:00-19:00; Do 08:00-16:00; Fr 08:00-14:30,,,DDr. Bernhard Buck,,,,,,,,,,,,,,,48.0444904,,,Badenerstraße,yes,,,Gumpoldskirchen,,2352,,,,dentist,,AT,
,dentist,,,,,16.1505976,,,,,,,,,,,,8,,,Mo 14:00-18:00; Tu 08:00-15:00; We 14:00-19:00; Th 13:00-17:00,+43 2672 83123,,DDr. Natascha Trnavsky-Hausberger,,,,,,,,,,,,,,,47.9390201,,,Schlossergasse,yes,,,Sankt Veit an der Triesting,,2560,,,,dentist,,AT,
,dentist,,,,,14.8313068,,,,,,,,,,,,2,,,,+43 4352 51451,,Dentalmed,,,,,,http://www.dentalmed.at/,,2018-10-01,,,office@dentalmed.at,,,,46.8276390,,,Rikliweg,yes,,,Wolfsberg,,9400,,,,,,AT,
,dentist,,,,,15.3923640,,,,,,,,,,,,13a,,,,,,Dr. Barbara Fritz,,geoimage.at mr,,,,,,,,,,,,,46.9985537,,,Wiesenweg,yes,,,,,8054,,,,dentist,,AT,
,dentist,,,,,16.0882105,,,,,,,,,,,,1,,,,,,Dr. Bauer,,Bing,,,,,,,,,,,,,48.5561053,,,Birkenweg,house,,,,,2020,,,,dentist,,,
,dentist,,,,,13.6636133,,,,,,,,,,,,65,,,,,,Dr. Burkhart Brandstätter,,basemap.at 2016,,,,,,2017-04-07,,,,,,,46.7029149,,,Bahnhofstraße (Feistritz/Drau),yes,,,Paternion,,9710,,,,,,AT,
,dentist,,,,,14.2444767,,,,,,,,,,,,7,,,,+43732672284,,Dr. Christa Pisecky-Marschhofer,,,,,,,,,,,,,,,48.2790746,,,Karningstraße,yes,,,Leonding,,4060,,,,,,AT,
,dentist,,,,,16.1174945,,,,,,,,,,,,9,,,,,,Dr. Christine Oppel,,google,,,,,,,,,,,,,48.3301377,,,Dreifaltigkeitsstraße,yes,,,Langenlebarn,,3425,,,,dentist,,,
,dentist,,,,,11.5049156,,,,,,,,,,,,16,,,,,,Dr. Dietmar Penz,,,,,,,,,,,,,,,47.2855170,,,Fuxmagengasse,yes,,,Hall in Tirol,,6060,,,,,,AT,
,dentist,,,,,16.1134647,,,,,,,,,,,,3,,,,,,Dr. Ernst Michael Reicher,,,,,,https://www.reicher.or.at/,,,,,,,+433382 73020,,47.0547925,,,Lahnbachweg,yes,,,,,7571,,,,,,AT,
,dentist,,,,,15.7188767,,,,,,,,,,,,48,,,"Mo, We 08:00-13:00; Tu,Th 12:00-17:00",,,Dr. Eva Kelemen,,geoimage.at hires,,,,,,,,,,,,,48.4602306,,,Pfarrsiedlung,yes,,,Hadersdorf,,3493,,,,,,AT,
,dentist,,1,,,16.3983346,,,,,,,,,,,,,,,"Mo 10:00-14:00, 15:00-19:00; We 15:00-19:00; Th 10:00-14:00; Fr 09:00-13:00",,,Dr. Eva Kucera,,,,,,,,,,,,flat,,,48.1078551,no,,Hauptstraße,yes,,,Leopoldsdorf,,2333,,,,,,,
,dentist,,,,,16.2566167,,,,,,,,,,,,1,,,,,,Dr. Flicker,,,,,,,,2017-10-01,,,,,,,48.3778803,,,Stockerauer Straße,yes,,,Spillern,,2104,,,,,,AT,
