health_facility:type,office,healthcare:speciality,building:part,indoor,health_specialty:oral_surgery,payment:cash,currency:others,postal_code,wheelchair:access,building:type,addr:housenumber,toilets,addr:state,name:de,heritage:since,opening_hours:url,image,fax,survey:date,emergency,building:roof,contact:facebook,historic,currency:EUR,addr:street,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,cn_ukd:token,lastcheck,roof:orientation,source:outline,designation,roof:height,owner,source:addr,source:address,wikipedia,mapillary,health_specialty:physiotherapy,check_date,ref,email,building:height,source:housenumber,contact:email,name:historic,roof:shape,building:use,publisher,name:hsb,atm,source:geometry,addr:city,source:building,toilets:wheelchair,source_ref,historic:addr:housenumber,lon,contact:website,roof:colour,layer,height,phone:mobile,alt_name,operator,short_name,source,opening_hours,contact:phone,addr:housename,heritage,start_date,website,phone,health_specialty:dentistry,old_name,smoking,heritage:ref,historic:addr:street,wheelchair:description:de,architect,wheelchair,amenity,health_specialty:periodontology,opening_hours:emergency,operator:type,addr:hamlet,building:flats,addr:suburb,official_name,toilets:access,payment:notes,medical_system:western,addr:district,payment:girocard,building:levels,health_facility,note,kvl_hro:type,FIXME,description,building:material,kvl_hro:amenity,kvl_hro:desc,building:architecture,lat,building,building:colour,payment:coins,url,roof:levels,healthcare,healthcare:for,addr:country,heritage:operator
,,,,,,,,,,,15,,,,,,,,,,,,,,Zur Geest,,,,2stromland,,,59399,,,,,,,,,,,,,,,,,,,,,,,,,,,Olfen,,,,,7.3800200,,,,,,,,,,,,,,,https://www.praxis-2stromland.de/,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,51.7096497,yes,,,,,dentist,,DE,
,,,,,,,,,,,4,,,,,,,,,,,,,,Rheinstraße,,,,A. Stanic,,,53859,,,,,,,,,,,,,,,,,,,,,,,,,,,Niederkassel,,,,,7.0139527,,,,,,,,,Bing Sat,,,,,,,,,,,,,,,,dentist,,,,,,Lülsdorf,,,,,,,,,,,,,,,,,50.8294533,yes,,,,,,,DE,
,,,,,,,,,,,4,,,,,,,,,,,,,,Müllersweg,,,,Adolf Garlichs GmbH & Co. KG Oldenburg Dental Depot,,,26135,,,,,,,,,,,,,,,,,,,,,,,,,,,Oldenburg,,,,,8.2599486,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,Tweelbäke,,,,,,,,,,,,,,,,,53.1184933,yes,,,,,,,DE,
,,,,,,,,,,,2,,,,,,,,,,,,,,Eschenbuschstraße,,,,Akkaya,,,59069,,,,,,,,,,,,,,,,,,,,,,,,,,,Hamm,,,,,7.8575019,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,Rhynern,,,,,,,,,,,,,,,,,51.6344669,house,,,,,dentist,,,
,,,,,,,,,,,26,,,,,,,,,,,,,,Bahnhofstraße,,,,Albrecht & Kuhn,,,74706,,,,,,,,,,,,,,,,,,,,,,,,,,,Osterburken,,,,,9.4214477,,brown,,,,,,,,,,,,,http://zahnarzt-osterburken.de/,,,,,,,,,no,dentist,,,,,,,,,,,,,2,,,,,,,,,,49.4299544,yes,navajowhite,,,1,,,,
,,,,,,,,,,,8,,,,,,,,,,,,,,Freier-Grund-Straße,,,,Andreas Haager,,,57299,,,,,,,,,,,,,,,,,,,,,,,,,,,Burbach,,,,,8.0648742,,,,,,,,,,,,,,,,,,,,,,,,no,dentist,,,,,,,,,,,,,,,,,,,,,,,50.7548665,yes,,,,,,,DE,
,,,,,,,,,,,6,,,,,,,,,,,,,,Bahnhofstraße,,,,Andreas Onken,,,90610,,,,,,,,,,,,,,,,,,,,,,,,,,,Winkelhaid,,,,,11.3021925,www.zahnarztpraxis-onken.de,,,,,,,,Yahoo,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,49.3888599,yes,,,,,,,DE,
,,,,,,,,,,,12,,,,,,,,,,,,,,Hohlweg,,,,Andreas Pohl,,,65618,,,,,,,,,,,,,,,,,,,,,,,,,,,Selters (Taunus),,,,,8.2518209,,,,,,,,,,,,,,,,,,,,,,,,yes,dentist,,,,,,Eisenbach,,,,,,,,,,,,,,,,,50.3386826,yes,,,,,dentist,,,
,,,,,,,,,,,38,,,,,,,,,,,,,,Kölner Straße,,,,Angelstein,,,50181,,,,,,,,,,,,,,,,,,,,,,,,,,,Bedburg,,,,,6.5801502,,,,,,,,,,,,,,,https://www.zahnarzt-angelstein.de/,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.9972909,yes,,,,,,,DE,
,,,,,,,,,,,8,,,,,,,,,,,,,,Mendelstraße,,,,Anna Weiser-Morawski,,,36304,,,,,,,,,,,,,,,,,,,,,,,,,,,Alsfeld,,,,,9.2786818,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.7612292,yes,,,,,,,DE,
,,,,,,,,,,,7c,,,,,,,,,,,,,,Straße der Jugend,,,,Antje Rath,,,23942,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalkhorst,,,,,11.0440467,,,,,,,Antje Rath,,,"Mo, Th 08:00-12:00, 13:00-18:30; Tu 08:00-12:00, 13:00-16:00; We, Fr 08:00-12:00; Sa, Su, PH off",,,,,,+49 38827 206,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,53.9717029,yes,,,,,dentist,,,
,,,,,,,,,,,1,,,,,,,,,,,,,,Kleines Feld,,,,Apochian Kework Zahnarzt,,,32139,,,,,,,,,,,,,,,,,,,,,,,,,,,Spenge,,,,,8.4866881,,,,,,,,,,,,,,,,+49 5525 4441,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,52.1285507,yes,,,,,,,DE,
,,,,,,,,,,,28,,,,,,,,,,,,,,Raiffeisenstraße,,,,Arend Duis,,,26670,,,,,,,,,,,,,,,,,,,,,,,,,,,Uplengen,,,,,7.7515186,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,Remels,,,,,,,,,,,,,,,,,53.3016696,commercial,,,,,,,DE,
,,,,,,,,,,,9,,,,,,,,,,,,,,Hohe Stube,,,,Axel Rieger,,,36341,,,,,,,,,,,,,,,,,,,,,,,,,,,Lauterbach,,,,,9.3156928,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,50.6606905,yes,,,,,dentist,,DE,
,,,,,,,,,,,10,,,,,,,,,,,,,,Rudolf-Breitscheid-Straße,,,,Beate Schmidt,,,15837,,,,,,,,,,,,,,,,,,,,,,,,,,,Baruth/Mark,,,,,13.5036458,,,,,,,,,,,,,,,,,,,,,,,,,dentist,,,,,,,,,,,,,,,,,,,,,,,52.0447418,commercial,,,,,dentist,,,
