amenity,uuid:building,contact:website,roof:colour,operator,building:levels,opening_hours,contact:phone,lon,source,branch,website,description,contact:email,phone,lat,wikimedia_commons,building,building:colour,name,roof:shape,wheelchair,healthcare,roof:levels
dentist,,,maroon,,3,Mo 08:00-17:30; Tu 08:00-16:30; We-Th 08:00-16:00; Fr 08:00-14:00,,8.3224864,,Ulfborg,http://byens-tandklinik.dk/,,,+45 97491330,56.2741092,,yes,red,Byens Tandklinik,gabled,,dentist,1
dentist,,,,Mariagerfjord Kommune,,,,10.1305923,,,,,,,56.7228889,File:Hadsund Dental Clinic.JPG,yes,,Hadsund Tandklinik,,,,
dentist,,,,,,,,11.7472605,,,,,,,55.2163976,,yes,,Jægerhusets Tandklinik,,,,
dentist,,,,,,,,10.2499075,,,,,,,55.4902058,,yes,,Nordfyns Tandpleje - Søndersø,,yes,,
dentist,,,,,,,,8.4163398,,,,,,,56.7510426,,yes,,Sydthy Tandteknik,,,,
dentist,,,,,,,,9.2533214,,,,,,,56.9680754,,yes,,Tandklinik,,,,
dentist,,,,,,,,12.0744685,,,,,,,55.6404191,,yes,,Tandklinik Absalon Skole,,,dentist,
dentist,,,,,,,,12.0947160,,,,,,,55.6497032,,yes,,Tandklinikken Klostermarkskolen,,,,
dentist,,,,,,,+4538210260,12.5181161,,,,,tandlacoursvej@frederiksberg.dk,,55.6849908,,yes,,Tandklinikken Skolen på La Cours Vej,,,,
dentist,,,,,,,,10.6134652,,,,,,,55.0404046,,yes,,Tandklinikken Sydfyn,,,,
dentist,,,,Lars Runge Nielsen,,,,10.8858247,,,,,,,56.4131946,,yes,,Tandlægehuset Grenaa,,,dentist,
dentist,,,,,,,,10.6074490,,,,,,,55.0577624,,yes,,Tandlæger Møller & Lyngsaa,,,,
dentist,,,,,,,,10.0548959,,,,,,,56.4481083,,yes,,Tandlægerne Engboulevarden,,,,
dentist,,,,,,,,9.2529404,,,,,,,56.9667370,,yes,,Tandlægerne I/S,,,,
dentist,,,,,,,,9.8872658,,,,,,,56.8348356,,yes,,Tandlægerne Skørping,,,,
dentist,,,,,,,,10.1271144,,,,Tandlægerne Ved Stranden,,,56.7204086,,yes,,Tandlægerne Ved Stranden,,,dentist,
dentist,,,,,,,,9.0561590,,,http://www.tandigram.dk/,,,,55.2897369,,house,,Tandlægerne i Gram,,,,
dentist,,,,,,,,9.5023175,,,,,,,56.6165392,,yes,,Tandlægerne i Møldrup,,,dentist,
dentist,,,,,,,,8.4670373,,,http://infotand.dk/klinikker/esbjerg/,,,,55.4713149,,yes,,Tandprotese Klinikken Esbjerg,,,dentist,
dentist,,,,,,,,8.7728441,,,,,,,55.1559356,,yes,,dentist.dk,,,dentist,
