amenity,healthcare:speciality,contact:website,addr:unit,operator,addr:housenumber,building:levels,opening_hours,contact:phone,lon,addr:street,email,website,fax,description,barrier,contact:email,building:material,phone,lat,roof:shape,addr:city,building,building:colour,contact:facebook,name,level,addr:postcode,roof:material,addr:country,healthcare,wheelchair,name:es
dentist,,,,,,,,,0.3399760,,,,,,,,,,41.5239317,,,yes,,,"Beltran Llanes, Albert",,,,,dentist,,
dentist,,,,,175,,,,-8.1995084,Estrada da Palma,,,,,,,,+34 981300140,43.4556423,,Fene,house,,https://www.facebook.com/centrodentalmariasoto/,Centro Dental María Soto,,15520,,,dentist,,
dentist,general,,,,18,,,,-5.1418674,Calle Duque de Ahumada,,,,,,,,,38.4949394,,Hinojosa del Duque,yes,,,Clinica Dental Maria José Montenegro,,14270,,,dentist,,
dentist,,,,,,,,,-0.0087291,,,,,,,,,,38.6310021,,,hospital,,,Clinica Dental Mascarat,,,,,,,
dentist,,,,,,,,,-3.7066107,,,https://www.dentalnavarro.com/,,,,,,+34 91 3642872,40.4118271,,,,,,Clinica Dental Navarro,1,,,,,,
dentist,,,,,,,,,-3.9024547,,,,,,,,,,40.0423043,,,yes,,,Clínica Dental,,,,,,,
dentist,,www.clinicadentalavilesyroman.com,,,26,,,,-4.4022289,Paseo de Sancha,clinica@avilesyroman.com,,,,wall,,,,36.7214527,,,,,,Clínica Dental Avilés y Román,,29016,,,dentist,,
dentist,,,,,,,,,-8.1738925,,,,,,,,,,43.2858260,,,yes,,,Clínica Dental Paderne,,,,,dentist,,
dentist,,,,,15,1,,,-0.6848018,Calle Ramón Gallud,,,,,,,,,37.9772497,,,yes,,,Clínica Dental Roberto Freund - Dentista Torrevieja,,,,,dentist,,
dentist,,,,,12,,,,0.0118277,Partida Sorts de la Mar Carrer 5,,https://www.ruhnau-clinica.es/,,,,,,,38.8631158,,els Poblets,yes,,,Clínica Dental Ruhnau,,03779,,,,,
dentist,,,,,,,Mo-Fr 08:00-21:00; Sa 09:00-14:00,,-8.8902705,,info@clinicajuanatey.es,http://www.clinicajuanatey.com,+34 981842003,,,,,+34 981821450,42.7842196,,,yes,,,Clínica Juanatey,,,,,,,
dentist,,,,,,,,,-5.6770092,,,,,,,,,,40.9672032,,,university,,,Clínica Odontológica,,,,,,,
dentist,dentistry,,,,26,,,,-0.3622866,Avinguda de Blasco Ibáñez,,https://www.clinicaswissconcept.es/,,,,info@swissconcept.es,,,39.4775220,,València,yes,,,Clínica Swiss Concept,,46010,,,dentist,,
dentist,,,,,35,,,,-3.6303014,Calle de Albarracín,,,,,,,,,40.4318236,,Madrid,,,,Clínica Universitaria Odontológica. Universidad Alfonso X El Sabio,,28037,,ES,,yes,Clínica Universitaria Odontológica. Universidad Alfonso X El Sabio
dentist,,,,,,,,,-5.9388245,,,,,,,,,,37.4847856,,,yes,,,Clínica dental,,,,,dentist,,
dentist,,,1b,,53,,,,-3.6962444,Calle de Ríos Rosas,,,,,,,,,40.4418784,,Madrid,yes,,,Concepción Giménez Mestre,,28003,,,dentist,,
dentist,dental,,,Dental'Hospitalet,,,,,0.9234195,Carrer de l'Església,,,,"Dental Clinic ""Dental'Hospitalet""",,,,+34 977 82 31 06,40.9911941,,,,,,Dental'Hospitalet,,,,,dentist,,
dentist,,,,,,2,,,-3.7038376,,,,,,,,,,40.4490230,,Madrid,yes,,,Dentix,,,,,,,
dentist,,http://www.freshdent.es,,,,,,+34 96 545 06 49,-0.6928322,,,,,,,elche@freshdent.es,,,38.2688939,,,yes,,,Fresh Dent,,,,,,no,
dentist,,,,,,,,,-3.7072158,,,http://www.cmgranvia.com,,,,,,+34 913650565;+34 913650567,40.4116889,,,,,,Gran Vía Clinica Dental,1,,,,,,
dentist,dentistry,,,,6,,,,-1.8954871,Av. la Paz,,,,,,,,,42.3078270,,Azagra,yes,,,HH Clínicas dentales,,31560,,,dentist,,
dentist,,,,,,,,,-5.7993858,,,,,,,,,,36.6044834,,,yes,,,Medipreven,,,,,dentist,,
dentist,,,,,,4,,,-8.5396008,,,,,,,,plaster,,42.8817881,,,yes,white,,Pazos & Couto,,,roof_tiles,,dentist,,Pazos & Couto
dentist,,,,,,,,,-3.7005104,,,,,,,,,,40.4129686,,,,,,Vitaldent,0,,,,,,
dentist,,,,,,,,,2.0863969,,,,,,,,,,41.3757023,,,yes,,,Vitaldent,,,,,,,
