shop,health_facility:type,amenity,operational_status,office,healthcare:speciality,wall,lon,image,indoor,payment:mastercard,FIXME,ref:FR:FINESS,street,payment:cash,operator,payment:credit_cards,addr:housenumber,network,building:levels,opening_hours,contact:phone,addr:housename,layer,source,payment:cheque,contact:housenumber,contact:street,addr:street,start_date,website,noname,fax,description,source:amenity,building:material,ref:FR:SIREN,addr:full,payment:visa,ref:FR:SIRET,phone,construction,lat,healthcare:speciality_1,healthcare:speciality_2,addr:city,building,source:date,fixme,operator:type,name,ref:FR:NAF_1,level,type:FR:FINESS,addr:postcode,wheelchair,payment:coins,source:geometry,email,source:building,length,source:geometry:date,architect,healthcare,ref:FR:NAF,addr:country,building:part
,,dentist,,,,,2.8200690,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,,,,,,,,49.4076400,,,,yes,,,,Atelier Dentaire Pierre François,,,,,,,,,,,,,,,,
,,dentist,,,,,2.4270320,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,,,,,,,,,,,,,,,42.6208990,,,,yes,,,,Bergue et Marty,,,,,,,,,,,,,,,,
,,dentist,,,,,6.7906805,,,,,,,,,,4,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2012,,,,Rue de la Petite Fosse,,,,,,,,,,,,+33 3 29 51 40 50,,48.1484458,,,,yes,,,,Broglio Claude,,0,,,,,,,,,,,dentist,,,
,,dentist,,,,,4.8713050,,,,,,,yes,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,yes,,,,,,,,Chirurgiens-dentistes  Prise de rendez-vous possible par Doctolib,,,,,,,+33 4 72 27 85 38,,45.8516170,,,,yes,,,,COURTEL - MANOV,,,,,no,,,,,,,,dentist,,,
,,dentist,,,,,-1.4073890,,,,,,,,,,,,,,+33299391159,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,48.2600619,,,,yes,,,,Cabinet Dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,-0.4188573,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,46.3886911,,,,yes,,,,Cabinet Dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,2.3003124,,,,,,,,,,,,,,,Tournesols,,,,,,Port Van Gogh,,,,,,,,,,,,,,48.9107674,,,Asnières-sur-Seine,riverboat,,,,Cabinet Dentaire,,,,92600,,,,,,38.5,,,,,,
,,dentist,,,,,3.6131830,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,47.9932570,,,,yes,,,,Cabinet Dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,-0.2577640,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,43.3525070,,,,yes,,,,Cabinet Dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,5.8366530,,,,,,,,,,45,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,Rue de Lorraine,,,,,,,,,,,,,,48.3012870,,,Châtenois,yes,,,,Cabinet Dentaire,,,,88170,,,,,,,,,dentist,,,
,,dentist,,,,,-0.7292164,,,,,,,,,,183,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,Rue Nationale,,,,,,,,,,,,,,47.2108597,,,Chemillé,yes,,,,Cabinet Dentaire,,,,,,,,,,,,,,,,
,,dentist,,,,,2.4156560,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,49.3722550,,,,yes,,,,Cabinet Dentaire - Carnec Boix Dufossé,,,,,,,,,,,,,,,,
