shop,office,healthcare:speciality,building:part,payment:debit_cards,postal_code,private_treatment,smoking,addr:housenumber,source:addr:housenumber,description,addr:state,addr:terrace,source,ref:NPLG:UPRN:1,opening_hours:url,addr:village,building:color,fax,roof:colour,source:amenity,contact:facebook,former_amenity,height,wheelchair:description,addr:street,source:name,fixme,name:en,contact:fax,addr:city,designation,payment:cash,addr:postcode,roof:material,level,payment:credit_cards,payment:contactless,HE_ref,roof:orientation,source:footprint,payment:mastercard,addr:flats,amenity_1,cqc:location:id,payment:american_express,building_name,building:start_date,access,payment:cheque,check_date,email,contact:email,addr:province,roof:shape,building:use,contact:twitter,last_check,nhs_treatment,source:geometry,source:building,roof:direction,source:listed_status,old_website,diet:vegetarian,source:location,lon,contact:website,survey:date,layer,source:area,long_name,alt_name,nhs,source_1,operator,fee,source:building:start_date,wheelchair:description:en,area,opening_hours,contact:phone,addr:housename,name,heritage,website,addr:unit,source:height,listed_status,source:listed,phone,dentist,old_name,source:outline,opening_hours:signed,architect,dispensing,cqc:location_id,landuse,wheelchair,amenity,source:shape,building:flats,addr:suburb,building:min_level,lat,building:level,wikidata,source:postcode,addr:town,emergency,building:levels,image,website2,note,FIXME,source:addr,building:material,payment:visa,toilets,addr:county,source:addr:postcode,toilets:wheelchair,old_shop,building,building:colour,name:gd,url,roof:levels,addr:place,uri,healthcare,telephone,addr:country,heritage:operator
,,,,,,,,914,,,,,observation & OS OpenData StreetView,,,,,,,,,,,,Walsall Road,,,,,Birmingham,,,B42 1TG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.9318748,,,,,,,,,,,,,,,,Scott Arms Dental Practice,'DENTAL SURGERY',,,,,,,,,,,,,,,,,dentist,,,,,52.5443486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,18,,,,,,,,,,,,,,,,,Lodge Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.6652855,,,,,,,,,,,,,,,,,18 dental,,,,,,,,,,,,,,,,,dentist,,,,,55.1312926,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,1a,,,,,,,,,,,,,,,,,Freshford Street,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.1863170,,,,,,,,,,,,,,,,,1a Orthodontics,,,,,,,,,,,,,,,,,dentist,,,,,51.4365546,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.3224657,,,,,,,,,,,,,,,,,20/20 Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,51.3992037,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4550832,,,,,,,,,,,,,,,,,272 Dental Care,,,,,,,,,,,,,,,,,dentist,,,,,53.5612206,,,,,,,,,,,,,,,,,,,yes,,,,,,,dentist,,,
,,,,,,,,318,,,,,,,,,,,,,,,,,Erith Road,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1582058,,,,,,,,,,,,,,,,,318 Erith Road Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,51.4673379,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,57,,,,,Bing;survey,,,,,,,,,,,,Friar Gate,,,,,Derby,,,DE1 1DF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.4879760,www.57fg.co.uk,,,,,,,,,,,,,,+44 1332 344602,,57 Friar Gate Dental Practice,,www.57fg.co.uk,,,,,+44 1332 344602,,,,,,,,,,dentist,,,,,52.9248085,,,,,,,,,,,,,,,,,,,commercial,,,,,,,,,,
,,,,,,,,7,,,,,,,,,,,,,,,,,Palacefields Local Centre,,,,,"Runcorn, Cheshire",,,WA7 2NZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.6901536,,,,,,,,,,,,,,,,,7 Palacefields Dental Practice,,,,,,,,,,,,,,,,,dentist,,,,,53.3226508,,,,,,,,,,,,,,,,,,,house,,,,,,,,,,
,,,,,,,,112,,,,,Warwicks CC 2013 Aerial Imagery,,,,,,,,,,,,Coleshill Road,,,,,Water Orton,,,B46 1RD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.7352642,,,,,,,,,,,,,,,,,76 Dental,,https://www.76dental.com/,,,,,,,,,,,,,,,dentist,,,,,52.5159425,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.9424644,,,,,,,,,,,,,,,,,8to8 Dental,,https://www.8to8dental.co.uk/,,,,,,,,,,,,,,,dentist,,,,,57.5410703,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,
