roof:levels,amenity,healthcare:speciality,contact:website,operator,addr:housenumber,building:levels,opening_hours,contact:phone,lon,name,source,mapillary,email,website,fax,contact:email,building:material,roof:shape,lat,addr:street,building,building:colour,contact:facebook,addr:city,phone,addr:postcode,wheelchair,healthcare,toilets:wheelchair,addr:country
,dentist,,,,1,,,,19.0393985,Amelo Dental Center,,,,,,,,,47.4462511,Abádi tér,house,,,Budapest,,1116,,dentist,,
,dentist,,,,,,,,17.2521525,Cana-Dent fogászat,,,,,,,,,47.6141746,,yes,,,Csorna,,9300,,,,
1,dentist,,,,4,2,"Mo,We 16:00-20:00; Tu,Th 08:00-10:00; Fr 16:00-19:00,18:00-19:00",,19.1970902,Dr. Gönczi Bertalan fogszakorvos,,,,,,,,gabled,47.5088564,Aranyfürt utca,house,,,Budapest,,1165,,,,
,dentist,,,,,,,,18.9562187,Dr. Tamási Tamás fogorvosi magánrendelő,,,,,,,,,47.2316891,,yes,,,,,,,dentist,,
,dentist,,,,26,,Mo 09:00-18:00; Tu 08:30-20:00; We-Th 08:00-20:00; Fr 08:00-18:00; PH closed,,20.1531340,Easy-Dent 2000 Kft.,,,mail@easy-dent.hu,http://www.fogaszatirendeles.hu/,,,,,46.2614113,Pusztaszeri utca,yes,,,Szeged,+36 62 451 567,6721,,,,
,dentist,,,,123/1,,,,18.2137699,Eurodental,,,,,,,,,46.0492763,Megyeri út,yes,,,Pécs,,7632,,,,
,dentist,,,,3,,,,19.0402177,Felnőtt- és gyerekfogászat,,,,,,,,,47.4458056,Gyékényes utca,house,,,Budapest,,1116,,dentist,,
,dentist,,,,2B,,,,19.1971171,Fogorovosi rendelő,,,,,,,,,47.9988349,Eötvös Loránd út,yes,,,Érsekvadkert,,2659,,,,
,dentist,,,,28,3,,,17.4574364,Fogorvos,,,,,,,,,47.8320784,Fő út,yes,,,Hédervár,,9178,,,,
,dentist,,,,129,,,,17.7879094,Fogorvos,,,,,,,,,47.5669997,Fő utca,yes,,,Pázmándfalu,,9085,,,,HU
,dentist,,,,,,,,19.3549889,Fogorvos,,,,,,,,,47.9702826,,yes,,,,,,no,,,
,dentist,,,,28,,week 1-53/2 Tu 08:30-11:00; week 2-52/2 Th 13:00-18:00,,17.6742807,Fogorvosi Rendelő,Bing; survey,,,,,,,,46.9140315,Fő utca,yes,,,Szentantalfa,,8272,,,,
,dentist,,,,,,"Mo 13:00-19:00; Tu,Th,Fr 08:00-13:00; We 11:00-17:00 ""Iskolafogászat""",,19.6848171,Fogorvosi Rendelő,,,,,,,,,47.3628578,,residential,,,,,,,dentist,,
,dentist,,,,45,,,,19.5989917,Fogorvosi Rendelő,,,,,,,,,47.4496867,Deák Ferenc utca,yes,,,Tápiószecső,,2251,,,,
,dentist,,,,38,,,,19.2016214,Fogorvosi Rendelő Akasztó,,,,,,,,,46.6957573,Fő utca,yes,,,Akasztó,,6221,,,,
,dentist,,,Dr. Kasza Klára Fogorvos,67,,"Mo,Th 08:00-14:00; Tu-Fr 13:00-19:00",,16.5286142,Fogorvosi Rendelő Dr. Klara,,,,,,,,,46.6225925,Kossuth út,yes,,,Lenti,+36 92354419,8960,,,,
,dentist,,,,18,,,,17.7516887,Fogorvosi rendelő,,,,,,,,,47.1332775,Vasút utca,civic,,,Herend,,8440,,,,
,dentist,,,,37,,,,17.5031429,Fogorvosi rendelő,,,,,,,,,47.5185689,Fő utca,yes,,,Tét,,9100,,,,
,dentist,,,,,,,,18.3235366,Fogorvosi rendelő,,,,,,,,,47.5495881,,yes,,,,,,,dentist,,
,dentist,,,,15,1,,,19.0695939,Fogorvosi rendelő Homokmégy,,,,,,,,,46.4901605,Kossuth Lajos utca,yes,,,Homokmégy,,6341,,,,
,dentist,,,,11,,,,18.9114576,Fogorvosi-Védőnői rendelő,,,,,,,,,47.7631066,Szent István utca,yes,,,Dömös,,2027,,,,
,dentist,,,,,1,,,16.8553567,Fogtechnika,,,,,,,plaster,pyramidal,46.8445063,,commercial,white,,,+36304392077,,,,,
,dentist,,,,,,,,20.4368602,Fogászat,,,,,,,,,48.2904205,,yes,,,,,,,,,
,dentist,,,,1,,,,19.4862657,Fogászati rendelő,,,,,,,,,47.6364643,Hősök tere,yes,,,Bag,,2191,,dentist,,
,dentist,,,,,,"Mo,Fr 09:00-15:00; We 13:00-18:00",,18.3085726,Fogászati rendelő,,,,,,,,,47.5239289,,yes,,,,,,,dentist,,
,dentist,,,,,,,,19.3318553,Gyermek Fogorvosi Rendelő,,,,,,,,,47.4897946,,yes,,,,,,,dentist,,
,dentist,,,XVIII. kerület,52/a,,,,19.1843692,Gyermek fogászat,,,,http://www.18euszolg.hu/index.php?lyt=szakrendeles&szr_id=19&th_id=10&menu_id=3&menu_mappa_id=13,,,,,47.4098056,Ady Endre utca,yes,,,Budapest,+36 1 294 5126,1188,,dentist,,
,dentist,,,,10,,,,20.2029147,Gyermekfogászat (Dr.Szilágyi Edit),,,,,,,,,47.1860113,Bacsó Nándor utca,apartments,,,Szolnok,+36309381062,5000,,,,
,dentist,,,,51,,"Mo, We 18:00-20:00",,19.0451606,Gyermekmosoly Fogászat,,,,,,,,,47.5822942,Papírgyár utca,garage,,,Budapest,+36 70 398 7382,1038,,,,
,dentist,,https://fogorvosirendelo.info/,Happy-Dent Kft.,107,,Mo-Fr 08:00-20:00,+36 1 371 3070; +36 30 942 9825,19.0329267,Happy-Dent Fogászat,,,,,,fogorvos@happydent.hu,,,47.4550723,Tétényi út,commercial,,https://www.facebook.com/happydentfogaszat/,Budapest,,1119,,dentist,,
,dentist,,,,,,,,18.9226798,Hildent,MapBox,oFoM6bZ9XC3g1OsLRhZuVg,,,,,,,47.5893421,,yes,,,,,,,,,
,dentist,,,,43,,,,19.0052583,II. kerületi fogászat,,,,,,,,,47.5159147,Pasaréti út,yes,,,Budapest,,1026,,,,
,dentist,,,,22,1,,29/323-093,19.3491041,Jenei fogászat,,,,,,,,,47.3875117,Kossuth Lajos utca,yes,,,Üllő,,2225,,dentist,,
,dentist,,,,6a,,,,16.6202256,Kiss Gábor,,,,,,,,,47.2506989,Verseny utca,house,,,Szombathely,,9700,,,,
,dentist,,,,,,,,18.9401812,Liget Dental,Bing,,,,,,,,47.3960582,,yes,,,,,,,dentist,,
,dentist,,,Dr Ákos Nyárádi,6,,Mo-Fr 08:00-17:00,,17.1887992,Lotus Dental Hévíz,,,info@lotus-dental-heviz.com,,,,,,46.7913984,Attila utca,yes,,,Hévíz,,8380,,dentist,,
,dentist,,,,6,,,,17.9055844,Maya-Dent Kft.,,,,https://maya-dent.hu,,,,,47.0886302,József Attila utca,residential,,,Veszprém,,8200,,,,HU
,dentist,,,,8,,,,21.2558766,Nádor-Dent Bt. Dr. Nádor Gyöngyvér fogorvos,,,,,,,,,46.5286853,Kossuth Lajos utca,yes,,,Elek,,5742,,,,
,dentist,,,,37,,,,17.6310116,Solydent Fogorvosi Rendelő,,,,,,,,,47.6752921,Kálvária utca,yes,,,Győr,,9024,,,,
,dentist,dentistry,,Dr.Toldi Ferenc,20,,,,19.0576952,Toldi Fogászati Implantologia,Interspect ortofotó 2014,,,https://implantatum.biz/,,,,,47.5778012,Kalászi utca 20,yes,,,Budapest,,1039,,dentist,,
,dentist,,,Unident Fogtechnikai Kft.,22,,,,17.9010355,Unident,,,,,,,,,47.0900034,Kiskőrösi utca,yes,,,Veszprém,,8200,,,,HU
,dentist,,,,,,Mo-Fr 08:00-20:00;Sa 08:00-14:00,,19.2793582,Veres-Dent,,,fogaszat@veresdent.hu,http://www.veresdent.hu,+36-28-589-271,,,,47.6612141,,yes,,,,+36-28-589-280,,yes,,yes,
,dentist,,,,1/4,,,,18.8262538,Viadukt Medical Center-Fogászat,,,,,,,,,47.4845625,Szily Kálmán út,yes,,,Biatorbágy,,2051,,,,
,dentist,,,,57,,,,18.8132419,Vidám-Dent Bt.,,,,,,,,,47.5175000,Vörösmarty utca,yes,,,Páty,,2071,,,,
,dentist,,,,13,,,,19.0035312,Újbudai Fogászati Centrum,,,,,,,,,47.4634189,Rétkerülő út,yes,,,Budapest,+36-30-750-00-00,1112,,,,
