amenity,healthcare:speciality,house,contact:website,roof:colour,alt_name,building:roof:shape,operator,roof:angle,addr:housenumber,lon,building:levels,opening_hours,contact:phone,addr:housename,name,source,contact:mobile,check_date,email,website,fax,contact:email,phone,lat,opening_hours:signed,addr:street,building,name:en,addr:city,roof:shape,addr:postcode,wheelchair,roof:orientation,healthcare,addr:country
dentist,,,,,,,,,118,-6.3885988,,,,,Adrian M Loomes,,,,,,,,+353 1 8213851,53.3844204,,Clonsilla Road,house,,Blanchardstown,,,,,dentist,IE
dentist,,,,,,,,,6,-8.6347322,,,,,Alexandra Dental Practice,,,,,http://www.limerickdentist.com/,,,061 315228,52.6556707,,Alexandra Terrace,yes,,,,,,,dentist,
dentist,,,,,,,,,,-6.6536092,,,,,Ashgrove Dental,,,,,,,,,53.2243820,,,yes,,,,,,,dentist,
dentist,,,,,,,,,16,-6.2465111,,,,,Burlington Dental Clinic,,,,reception@burlingtondentalclinic.com,http://www.burlingtondentalclinic.ie/,+353 1 6603919,,+353 1 6684357,53.3307562,,Burlington Road,yes,,,,,,,dentist,
dentist,,,,,,,,,unit 2,-6.1512040,,,,,Cabinteely Dental Care,,,,,,,,,53.2613424,,Old Bray Road,yes,Dublin 18 Dental Rooms,,,,,,dentist,
dentist,,,,,,,,,10,-6.1509972,2,,,,Carne Dental Surgery,,,,,,,,,53.2921186,,Pakenham Road,house,,,,,,,,
dentist,,,,,,,,,,-6.3628254,,,,Village House,Castleknock Dental Practice,,,,,,,,,53.3735587,,,yes,,,,,,,dentist,
dentist,,,,,,,,,,-9.4861339,,,+353 64 6626999,,Clancy Dental,,,,,,,,,52.0606692,,Park Road,yes,,Killarney,,,,,dentist,
dentist,,,,,Clane Dental Surgery,,,,,-6.6849034,,,,,Clane Teeth Dental Practice,,,,,http://www.clanedental.ie/,,,,53.2890675,,,yes,,,,,,,dentist,
dentist,,,,,,,,,18,-6.2435679,,"Mo 09:00-18:00; Tu 09:00-19:00; We 08:30-19:00; Th 12:00-20:00; Fr 09:00-17:30; Sa ""by appointment""; Su off",,,Clifford Dental Care,,,,,http://www.clifforddentalcare.ie,,,+353 1 298 0843,53.2894938,,Pembroke Cottages,yes,,,,,,,dentist,
dentist,,,,,,,,,,-6.1967476,,,,,Clontarf Dental Practice,,,,,,,,,53.3594360,,,yes,,,,,,,,
dentist,,,,,,,,,,-6.2650327,2,,,,D11 Dental,,,,,,,,,53.3897730,,Ballymun Road,yes,,,,,,,dentist,
dentist,,,,,,,,,,-6.1069528,2,,,,Dalkey Clinic,,,,,,,,,53.2783461,no,,office,,,,,,,,
dentist,,,,,,,,,3,-7.2572034,,,,,Dean Street Dental Clinic,Bing,,,,,,,,52.6553750,,,house,,,,,,,dentist,
dentist,,,,,,,,,10,-6.3814335,,,,,Dental Surgery,,,,,,,,,53.3885634,,Clonsilla Road,yes,,,,,,,dentist,
dentist,,semi-detached,,,,pitched,,,86,-6.2383633,2,,,,Dr John Canavan,,,,,,,,+353 1 837 2054,53.3720485,,Griffith Avenue,house,,Dublin,,,,,dentist,
