health_facility:type,addr:city:it,amenity,health_specialty:periodontology,healthcare:speciality,contact:website,addr:street:it,health_specialty:oral_surgery,height,health_specialty:endodontics,room,operator,addr:hamlet:it,addr:housenumber,medical_system:western,area,building:levels,opening_hours,contact:phone,lon,contact:alt_phone,indoor,source,contact:mobile,addr:city:de,addr:hamlet:de,addr:street:de,it:fvg:ctrn:code,ref,email,website,addr:unit,addr:hamlet,contact:email,health_specialty:prosthodontics,phone,health_specialty:dentistry,lat,addr:street,building,payment:bitcoin,contact:fax,name,level,addr:postcode,wheelchair,addr:place,it:fvg:ctrn:revision,addr:city,health_specialty:orthodontics,healthcare,addr:country
,,dentist,,,,,,,,,,,,,,,,,8.6433194,,,,,,,,,,,,,,,,,,45.7128036,,yes,,,Ambulatorio dentistico Iorio,,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,14.1981205,,,,,,,,,,,,,,,,,,40.9844457,,yes,,,Arlotta & Sichel,,,,,,,,dentist,
,,dentist,,,,,,,,,,,,,,,,+39 0923907409,12.5871261,,,,,,,,,,,,,,,,,,37.6576711,,yes,,,Asaro Dr. Vito,,,,,,,,,
,,dentist,,,,,,7 m,,,,,,,,,,,12.7110006,,,,,,,,4AED,,,,,,,,,,45.8443901,,yes,,,Bressan Associati,,,,,1A0,,,,
,,dentist,,,,,,,,,,,18,,,,"Mo-Fr 09:00-20:00; Sa,Su off",,9.2694465,,,,,,,,,,,,,,,,031690346,,45.7460451,Via Luigi Cadorna,yes,,,CENTRO DENTISTICO D'ADDA,,23895,,,,Nibionno,,dentist,
,,dentist,,,,,,,,,,,,,,,,,14.1982840,,,,,,,,,,,,,,,,,,40.9681665,,yes,,,Cantelli,,,,,,,,dentist,
,,dentist,,,,,,,,amenity,,,,,,,Mo-Sa 09:00-20:00,,11.0142722,,room,,,,,,,,clinicarovereto1@care-dent.it,https://www.care-dent.it/,,,,,+39 0464 716886,,45.8692195,,,,,CareDent,0,,yes,,,,,,
,,dentist,,,,,,,,,,,23,,,,"Mo-Fr 09:00-12:00,14:00-19:00;Sa 09:00-12:00;PH closed",+39 039 9200803,9.3530705,,,,,,,,,,,,,,,,,,45.6889880,Via Alessandro Manzoni,yes,,,Centro dentistico Dental Protesi Srl,,,,,,,,dentist,
,,dentist,,,,,,,,,,,7/A,,,,,,10.6464351,,,,,,,,,,,,,,,,,,44.7082159,Via delle Ortolane,,,,Centro specialistico odontoiatrico AUSL RE,,42124,,,,Reggio nell'Emilia,,dentist,
,,dentist,,,,,,,,,,,,,,,,,12.5137459,,,,,,,,,,,,,,,,,,41.9084519,,yes,,,Clinica Odontoiatrica,,,,,,,,,
,,dentist,,,,,,,,,,,122,,,,,,8.5769856,,,,,,,,,,,,,,,,+39 0322 1950888,,45.7300311,Corso Camillo Benso Cavour,yes,,,Dental Care Clinic,,28040,,,,Dormelletto,,dentist,
,,dentist,,,,,,,,,,,1,,,,,,10.2320987,,,,,,,,,,,https://dentalhospital-brescia.it/,,,,,+39 030 7281408,,45.5598815,Piazza San Padre Pio da Pietrelcina,yes,,,Dental Hospital,,25123,,,,Brescia,,,
clinic,,dentist,yes,,http://www.dentievacanze.com,,yes,,yes,,,,,yes,,,"Mo 09:00-13:00; Tu,We,Fr 09:00-19:00; Th off",+39 0923944260,12.5872914,+39 0923999377,,,+39 3298271514,,,,,,,,,,dentalmedicalcenter@tiscali.it,yes,,yes,37.6514310,,yes,,+39 0923944260,Dental Medical Center s.r.l.,,,,,,,yes,,
,,dentist,,,,,,,,,,,,,,,,+39 039 9685148,9.4175124,,room,,,,,,,15,,,,,,,,,45.6895683,,,,,Dental Pro,1,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,8.2261680,,,,,,,,,,,,,,,,,,44.9054995,,yes,,,DentalBio,,,,,,,,dentist,
,,dentist,,,,,,,,,,,,,,,,,10.6373062,,room,,,,,,,,,,,,,,,,44.7156562,,,,,Denti e Salute,2,,,,,,,,
,,dentist,,,,,,,,,,,,,,,,,9.3909791,,,,,,,,,,,,,,,,,,45.4561230,,yes,,,Dottor DIno Dini,,,,,,,,,
