amenity,healthcare:speciality,addr:housename,contact:website,source_1,operator,addr:housenumber,lon,building:levels,opening_hours,ref:bag,name,source,roof:material,email,website,name:nl,description,emergency,contact:email,source:date,phone,lat,addr:street,building,addr:city,roof:shape,addr:postcode,wheelchair,start_date,healthcare,addr:country
dentist,,,,,,,-68.8971918,,,,Apolonia Dental Care,KG Ground Survey 2015 Curaçao,,,,,,,,,,12.1274375,SBN Doormanweg,yes,,,,,,,
dentist,,,,,,,4.5468124,,,489100000210546,"Bijnen en Bijnen-Degenkamp, mondzorg",BAG,,info@bijnen.com,http://www.bijnen.com/,,,,,2014-03-24,+31-180-618323,51.8534356,,house,,,,,1979,,
dentist,,,,,,,4.4978871,,,637100000150098,Bordeaux,BAG,,,,,,,,2013-11-26,,52.0601917,,yes,,,,,1998,,
dentist,,,,,,,4.6441297,,,499100002014439,Boskoopse Tandartsen,BAG,,,https://www.boskoopsetandartsen.nl/,,,,,2014-02-11,,52.0669031,,yes,,,,,1983,,
dentist,,,,,,,4.0975376,,,504100001641479,Buth CS,BAG,,,,,,,,2014-03-24,,51.7512506,,yes,,,,,1980,,
dentist,,,,,,,6.6519831,,,1680100000004458,Centrum Mondzorg Rolde,BAG,,,http://www.mondzorg-rolde.nl,,,,,2014-03-24,,52.9812753,,yes,,,,,2004,,
dentist,,,,,,,4.5140889,,,637100000155211,Darwinkliniek Integrale Tandheelkunde / Zoetermeer Tandtechnisch Laboratorium,BAG,,,,,,,,2013-11-26,,52.0541163,,yes,,,,,1987,,
dentist,,,,,,,5.6583290,,,935100000005898,De Drietand,BAG,,,,,,,,2014-03-24,,50.8417416,,yes,,,,,2003,,
dentist,,,,,,41,-68.9197908,,,,Dental Clinic,KG Ground Survey 2015 Curaçao,,,,,,,,,,12.1449398,Kaya Kazerne,yes,,,,,,,
dentist,,,,,,,-63.0527832,,,,Dental Clinic,KG Ground Survey 2015,metal,,,,,,,,,18.0248531,Front Street,yes,Philipsburg,,,,,,
dentist,,,,,,,6.8949603,,,153100000273318,Dental Clinics,BAG,,,https://www.dentalclinics.nl/,,,,,2014-03-24,053-4351707,52.2109715,,yes,,,,,1950,,
dentist,,,,,,,6.0916745,,,193100000017764,Dental Clinics Zwolle,BAG,,,,,,,,2014-01-22,,52.5075132,,commercial,,,,no,1869,,
dentist,,,,,,,4.4825155,,,637100000153520,Dental Luxe,BAG,,,,,,,,2013-11-26,,52.0411959,,commercial,,,,,1993,,
dentist,,,,,,,-68.9019158,,,,Denti Arte,KG Ground Survey 2015 Curaçao,,,,,,,,,,12.1143389,,yes,,,,,,,
dentist,,,,,,,4.3374387,,,518100000221684,F.W. Widijanto,BAG,,,,,,,,2014-02-11,,52.0833259,,house,,,,,1917,,
dentist,,,,,,,4.2708869,,,518100000212404,Gezondheidscentrum Morgenstond,BAG,,,,,,,,2014-02-11,,52.0496407,,yes,,,,,1996,,
dentist,,,,,,,4.7041986,,,513100011128311,Greenline,BAG,,,http://www.greenline.info/,,,,,2014-02-11,,52.0191456,,yes,,,,,1968,,
dentist,,,,,,,4.4522994,,,611100000409360,H. van der Sluis,BAG,,,,,,,,2014-03-24,,51.7487439,,yes,,,,,1998,dentist,
dentist,,,,,,,6.0549666,,,1507100000028563,Heldens in 't Zandt tandartsen,BAG,,,https://heldens.tandartsennet.nl,,,,,2014-03-24,,51.4463030,,yes,,,,,2000,,
dentist,,,,,,33,4.3494045,,,603100000013923,"Hof van Hoornwijck, kliniek voor tandheelkunde",BAG,,,https://www.hoornwijck-kliniek.nl/,,,,,2014-02-11,+31703952244,52.0502579,Laan van Zuid Hoorn,yes,Rijswijk,,2289DC,,2002,,
dentist,,,,,,,4.4869224,,,637100000129117,J.C.J. Groeneweg,BAG,,,,,,,,2013-11-26,,52.0705224,,yes,,,,,1990,,
dentist,,,,,,,-68.8700546,,,,Klinika Dental Santa Rosa,KG Ground Survey 2015 Curaçao,,,,,,,,,,12.1222245,Kaminda Rignald S. Recordino,yes,,,,,,,
dentist,,,,,,,-70.0168411,,,,Lasodent,KG Ground Survey 2015,,,,,,,,,,12.5068755,Fergusonstraat,yes,Oranjestad,,,,,,
dentist,,,,,,,4.6543745,,,392100000077694,Mondig,BAG,,,,,,,,2014-02-11,,52.3536865,,yes,,,,,1973,,
dentist,,,,,,,5.3243927,,,796100000256567,Mondmedicentrum,BAG,,,,,,,,2018-10-27,,51.7297092,,yes,,,,,1952,dentist,
dentist,,,,,,,5.8020874,,,268100000083978,Mondzorg024,BAG,,,,,,,,2014-07-05,,51.8297167,,yes,,,,,2012,,
dentist,,,,,,,4.4166311,,,584100001272870,Mondzorgkliniek Oud-Beijerland,BAG,,,,,,,,2014-03-24,,51.8152743,,yes,,,,,2007,,
dentist,,,,Central Bureau of Statistics Aruba,,211E,-70.0200640,,,,N. S. Djoehari,KG Ground Survey 2015,,,,,,,,,,12.5209759,Caya G.F. Betico Croes,yes,,,,,,,AW
dentist,,,,,,1,5.2099134,,,34100000053970,Noverraz Orthodontie,BAG,,,,,,,,2014-03-24,,52.3746177,Kroonprinsstraat,yes,Almere,,1312BE,,1987,,
dentist,,,,,,,-68.9016841,,,,Orthodontic and Dental Clinic,KG Ground Survey 2015 Curaçao,,,,,,,,,,12.1297275,Kaya Rooi Katochi,yes,,,,,,,
dentist,,,,,,,4.4169709,,,584100001286818,Orthodontie Oud-Beijerland,BAG,,,,,,,,2014-03-24,,51.8156347,,yes,,,,,2009,,
dentist,,,,,,209,-63.0532384,2,,,Orthodontist,KG Ground Survey 2015,concrete,,,,,,,,,18.0249433,Front Street,yes,Philipsburg,,,,,,
dentist,,,,,,,5.6382419,,,228100000056804,Orthodontist Binda,BAG,,,,,,,,2014-03-24,,52.0429396,,yes,,,,,1994,,
dentist,,,,,,,4.4912226,,,637100000171393,Praktijk voor orthodontie en implantologie,BAG,,,,,,,,2013-11-26,,52.0653856,,yes,,,,,1989,dentist,
dentist,,,,,,,4.5275959,,,1655100000506743,Samenwerkende Tandartsen,BAG,,,,,,no,,2014-03-24,,51.5936814,,yes,,,,,1953,,
dentist,,,,,Samenwerkende Tandartsen Nederland,,5.9918468,,,200100000713509,Samenwerkende Tandartsen,BAG;survey,,maten@samenwerkendetandartsen.nl,https://www.samenwerkendetandartsen.nl/praktijken/apeldoorn-de-maten,,,,,2014-02-11,055 5396587,52.1990863,,yes,,,,,1980,,
dentist,,,,,,,4.1560966,,,1783100000005368,Sweelinckhof,BAG,,,,,,,,2014-03-24,,52.0038335,,yes,,,,,1970,,
dentist,,,,,,,6.9881316,,,0168100000211988,Tandarts,BAG,,,,,,,,2020-01-25,,52.3141877,,yes,,,,,1965,,
dentist,,,,,,,5.5307741,1,,50100000381662,Tandarts praktijk de Elementen,BAG,,,,,,,,2014-05-07,,52.3441377,Telluur,yes,Zeewolde,flat,,,2013,,
dentist,,,,,,27,5.9309377,,,917100000006687,Tandartsenpost Hoensbroek,BAG,,,https://tandartsenposthoensbroek.nl/,,,,,2014-03-24,045 521 8076,50.9248923,Monseigneur Nolensstraat,yes,Hoensbroek,,6431JL,,1959,dentist,
dentist,,,,,,15,6.3065315,,,1876100000013014,Tandartsenpraktijk Boersma,BAG,,,,,,,,2013-11-26,,52.1073414,het Jebbink,industrial,Vorden,,7251BJ,,1989,,
dentist,paediatrics,,,,,48,-68.9024967,,,,Tandartsenpraktijk J.M. Bet en T. Bierman,,,,,,,,,,+5999 465 6818,12.1087795,Oude Caracasbaaiweg,yes,Willemstad,,,,,,CW
dentist,,,,,,7,5.2983144,,,214100000010380,Tandartsenpraktijk Maatschap C. Bakker en A. Verhoeff,BAG,,,,,,,,2017-10-23,,51.9484783,Belvédèrelaan,yes,Beusichem,,4112NX,,1980,,
dentist,,,,,,,4.4737427,,,637100000127002,Tandartsenpraktijk Meerzicht Zoetermeer,BAG,,,,,,,,2013-11-26,,52.0501431,,yes,,,,,1976,,
dentist,,,,,,4,5.6284615,,,1685100000132424,Tandartsenpraktijk Schaijk,BAG,,,,,,,,2014-06-13,,51.7481079,Bossestraat,yes,Schaijk,,5374 HT,,1979,,NL
dentist,,,,,,,5.2163442,,,797100000008328,Tandartsenpraktijk Schoonus,BAG,,,https://www.tandartsschoonus.nl/,,,,,2014-06-02,,51.6957417,,yes,,,,,2003,dentist,
dentist,,,,,,,6.0985975,,,90100000587954,Tandartspraktijk Fennepark,BAG,,,,Tandartspraktijk Fennepark,,,,2014-07-06,,53.1194460,,yes,,,,,2005,,
dentist,,,,,,14,5.2355486,,,216100000001310,Tandartspraktijk Goudriaan,BAG,,,https://www.tandartspraktijkgoudriaan.nl/,,,,,2014-03-24,0345 513706,51.9574099,Fonteijnstraat,yes,Culemborg,,4101HZ,,2007,,
dentist,,,,,,,4.4926266,,,1674100001031476,Tandartspraktijk J.W. Willemsen,BAG,,,,,,,,2014-03-24,,51.5302821,,yes,,,,,1980,,
dentist,,Tandartspraktijk Middenpolder,,,,,4.6993775,,,590100000000438,Tandartspraktijk Middenpolder,BAG,,,https://binda-huyts.tandartsennet.nl/,,,yes,,2014-05-07,+31 78 6412201,51.8318742,,yes,,,,,2007,,
dentist,,,,,,,5.2913095,,,34100000015998,Tandartspraktijk Prisma,BAG,,,https://tandartspraktijkprisma.nl/,,,,,2017-11-13,,52.3980423,,yes,,,,,2002,,
dentist,,,http://www.tandartspraktijksubliem.nl/,,,2a,4.3961649,,Mo 08:00-17:00; Tu 08:00-17:00; We 08:00-17:00; Th 08:00-17:00; Fr 08:00-12:00,1926100000488626,Tandartspraktijk SubLiem,BAG,,,,,,,info@tandartspraktijksubliem.nl,2014-01-22,015-3108580,52.0427199,Dominee C. Spoorlaan,yes,Nootdorp,,2631DC,,1975,,
dentist,,,,,,,4.4850632,,,637100000153310,Tandartspraktijken Nesciohove 117,BAG,,,,,,,,2013-11-26,,52.0654987,,yes,,,,,1978,,
dentist,,,,,,,4.2851066,,,748100000010172,Tanders,BAG,,,,,,,,2014-03-24,,51.5358587,,yes,,,,,2007,,
dentist,,,,,,,5.2241975,3,,34100000050214,Tandstad,BAG,,,,,,,,2014-03-24,,52.3774986,,yes,,,,,1995,,
dentist,dental_technology,,,,,,4.4494809,,,611100000409380,Van Aalst Tandtechniek,BAG,,,,,,,,2014-03-24,,51.7476806,,yes,,,,,1993,dentist,
dentist,dentistry,,,,,30,-70.0314395,,,,Van Trikt Dental Clinic,,,,,,,,,,,12.5132903,Beatrixstraat,yes,,,,,,dentist,
dentist,,,,,,9,6.5669124,,,1586100000011769,Verhagen Waanders,BAG,,,,,,,,2014-02-11,,51.9939404,Eschpark,yes,Lichtenvoorde,,7131TG,,2004,,
