roof:levels,amenity,features,healthcare:speciality,building:part,addr:place,contact:website,roof:colour,telephone,official_name,WroclawGIS:building:ID,alt_name,operator,name:pl,building:fireproof,source:addr,addr:housenumber,building:levels,opening_hours,image,contact:phone,lon,name,note,source,mapillary,roof:material,addr:street:sym_ul,email,website,description,emergency,building:material,phone,facebook,lat,addr:city:simc,addr:street,building,building:colour,name:en,addr:city,roof:shape,url,addr:postcode,wheelchair,source:geometry,building:usage:pl,building:use:pl,building:levels:underground,healthcare,addr:country
,dentist,,dentistry,,,,,,,,,,,,,4,,Mo-Fr 7:30-20:30; Sa 8:00-15:00,,,15.5560871,"ADENT - Aneta Cieśla, Gabinet stomatologiczny",,,,,,,,,,,,,51.2717483,,Nadrzeczna,yes,,,Bolesławiec,,,59-700,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,4,,,,,20.8508499,AMADENT Niepubliczny Zakład Opieki Zdrowotnej,,,,,,,,,,,+48 41 2531597,,51.1115254,,Jesionowa,residential,,,Skarżysko-Kamienna,,,26-110,,,,,,,
,dentist,,,,,,,,,,,,,,,36D,,,,,18.5905080,AMO-DENT,,,,,,amotorun@poczta.onet.pl,http://www.amodent.com.pl,,,,+48 56 655-33-88,,53.0144936,,Józefa Ignacego Kraszewskiego,yes,,,Toruń,,,87-100,,,,,,,
,dentist,,,,,,,,,,,,,,nowydwormazowiecki.e-mapa.net,14B,,,,,20.7190577,AS&AS,,,,,,,,,,,,,52.4283431,,Ignacego Paderewskiego,yes,,,Nowy Dwór Mazowiecki,,,,,,,,,,
,dentist,,,,,,,,,,,,,,,2,,,,,18.0482081,ASDent,,http://sdi.opolskie.pl/mapa_bazowa/request.aspx,,,,,,,,,+48 77 418 86 81,,51.0190352,,Plac Partyzantów,residential,,,Wołczyn,,,46-250,,,,,,dentist,
,dentist,,,yes,,,,,Agmadent Studio Stomatologiczne Agata Machowska,,,,,,,,1,,,,19.9599840,Agmadent,,,,,,,http://www.agmadent.pl/,,,,+48 12 4123203,,50.0882336,,,,,,,,,,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,6,,,,,15.2335572,Alergicus-Dent Gabinet Stomatologiczny - Paśnicka Elżbieta,,,,,,,,,,,+48 68 321 73 50,,51.7988109,,Pocztowa,yes,,,Nowogród Bobrzański,,,66-010,,,,,,,
,dentist,,,,,,,,,,,,,,,11A,,"Mo,We,Th 14:00-19:00; Tu,Fr 10:00-14:00",,,18.2467865,Andrzej Kozłowski,,,,,,,,,,,+48632428618,,52.2109198,,Tadeusza Kościuszki,residential,,,Konin,,,62-500,,,,,,dentist,
,dentist,,,,,,,,,,,,,,swidnik.e-mapa.net,53,,,,,22.6951646,Arete,,,,,25107,,,,,,,,51.2102637,0957146,Kardynała Stefana Wyszyńskiego,yes,,,Świdnik,,,21-040,,,,,,,
,dentist,,,,,,,,,,,,,,,,,,,,19.5646340,Art-Dental,,,,,,,http://www.art-dental.eu/,,,,,,51.7444291,,Piasta Kołodzieja,yes,,,Łódź,,,,,,,,,,
,dentist,,,,,,,,,,,,,,mapa.um.warszawa.pl,2,,,,,20.9812423,Awodent,,,,,05769,,http://www.awodent.pl/,,,,,,52.2624132,0918123,Łukasza Gołębiowskiego,retail,,,Warszawa,,,01-504,,,,,,,
,dentist,,,,,,,,,,,,,,,92,,Mo-Fr 13:00-20:00,,,21.8042390,Bazo-Dent,,,,,,,,,,,,,49.8734416,,Juliusza Słowackiego,yes,,,Strzyżów,,http://www.bazodent.idl.pl/,38-100,,,,,,,
,dentist,,,,,,,,,,,,,,zielonagora.e-mapa.net,7,,,,,15.5560393,Bogna Jaśkiewicz,,,,,47431,,,,,,,,51.9949175,0988313,Zawada-Agrestowa,residential,,,Zielona Góra,,,65-001,,,,,,,
,dentist,,,,,,,,,,,,,,,81,,,,,18.2313504,Centrum Medyczne,,UM Racibórz,,,,,http://www.ortodoncja-raciborz.pl/site/start.html,,,,+48 32 419 03 59,,50.1020072,,Rudzka,yes,,,Racibórz,,,47-400,,,,,,dentist,
,dentist,,,,,,,,,,,,,,,,,,,,18.8534848,Centrum Stomatologii DENT-Team,,,,,,,,,,,,,50.4450326,,,yes,,,,,,,,,,,,,
,dentist,,,,,,,,,,,,,,,60,,,,,18.0462007,Centrum Stomatologii Dentus,,,,,,,http://dentus.com.pl,,,,,,53.1261638,,Marii Skłodowskiej-Curie,yes,,,Bydgoszcz,,,,,,,,,,
