amenity,contact:website,roof:colour,contact:phone:mobile,loc_name,operator,brand:wikipedia,addr:housenumber,source:address,building:levels,opening_hours,contact:phone,lon,name,source,brand:wikidata,email,website,wheelchair,fax,contact:email,building:material,brand,phone,lat,smoking,addr:street,building,building:colour,addr:city,roof:shape,addr:postcode,roof:material,healthcare,addr:country
dentist,,,,,,,,,,,,16.1856896,Druvan,,,,,,,,,,,58.5951890,,,yes,,,,,,,
dentist,,,,,,,,,,,,14.1501995,Folktandvården,,,,,,,,,,,57.7399096,,,yes,,,,,,,
dentist,,,,,,,,,,,,12.7362603,Folktandvården,,,,,,,,,,,56.8198102,,,yes,,,,,,dentist,
dentist,,,,,,sv:Folktandvården,26,,,,,16.7132468,Folktandvården,Survey,Q10497476,,,,,,,Folktandvården,,60.8888177,,Sjöängsvägen,yes,,Ockelbo,,816,,dentist,SE
dentist,,,,,,,26,,,,,17.4158285,Folktandvården Alnö,,,,,,,,,,,62.4265116,,Raholmsvägen,yes,,,,865 31,,,SE
dentist,,,,,,,16,,,,,15.5368018,Folktandvården Blekinge,,,,,,,,,,,56.2017105,,Kyrkvägen,yes,,Nättraby,,37024,,,SE
dentist,,,,Folktandvården,,,,,,,,15.8101670,Folktandvården Fagersta,,,,,,,,,,,59.9967540,,,yes,,,,,,,
dentist,,,,,,,1,,,,,12.9754762,Folktandvården Höllviken,,,,,,,,,,,55.4149523,,Skolgången,yes,,Höllviken,,,,,SE
dentist,,,,,,,2,,,,,13.0359344,Folktandvården Kirseberg,,,,,,,,,,,55.6109982,,Norra Bulltoftavägen,yes,,Malmö,,212 43,,,SE
dentist,,,,,,,,,,,,12.9377734,Folktandvården Linne,bing,,,,,,,,,,55.5814913,,,yes,,,,,,,
dentist,,,,,,,4,,,,,13.8034767,Folktandvården Mariestad,,,,,,,,,,,58.6951330,no,Bråtenvägen,yes,,Mariestad,,54242,,,SE
dentist,,,,,,,,,,,,12.7944634,Folktandvården Sandared,,,,,,,,,,,57.7118276,,,yes,,,,,,dentist,
dentist,,,,,,,79,Helsingborgs kommun,,Mo-Tu 07:15-17:15; We-Fr 07:15-16:15,,12.7078804,Folktandvården Södra Stenbocksgatan,Bing,,folktandvarden.helsingborg.s.stenbocksgatan@skane.se,,,+46 42 4067100,,,,+46 42 4067300,56.0465426,,Södra Stenbocksgatan,yes,,Helsingborg,,252 47,,,SE
dentist,,,,,Folktandvården,,21,,,,,12.2924896,Folktandvården Västra Götaland,,,,,,,,,,,58.2829680,,Djupebäcksgatan,yes,,,,46132,,dentist,SE
dentist,,black,,,,,121,,,,,18.1494309,Specialistkliniken för Dentala Implantat KB,,,,https://nacka.specialisttandlakarna.se/,,,,brick,,+46 8-718 30 50,59.3072908,,Värmdövägen,yes,yellow,Nacka,hipped,131 37,metal,dentist,SE
dentist,https://anderssundh.se/,,+46 73 847 44 77,,Anders Sundh,,29,,,,+46 913 102 40,20.5088253,Tandkliniken Stjärnan,,,,,no,,kontakt@anderssundh.se,,,,64.2944096,,Storrödningsberg,yes,,,,91592,,,SE
dentist,,,,,,,6,,,,,15.8150710,Tandläkare Berglund,,,,,,,,,,,61.3739770,,Fallrisgatan,yes,,Edsbyn,,82831,,dentist,SE
dentist,,,,,,,7,,,,,11.2501849,Tandläkare Peter Tynelius,,,,,,,,,,,58.3622521,,Bäckeviksgatan,yes,,,,45631,,,SE
dentist,,,,,,,3,,,,,13.5035215,Tandläkarhuset,,,,,,,,,,,55.6320985,,Vildrosvägen,yes,,Veberöd,,,,,SE
dentist,,,,,,,,,,,,20.5507632,Tandvård,,,,,,,,,,,63.8979203,,,yes,,,,,,,
dentist,,,,,,,,,,,,15.5400260,Tanläkare/Sjukgymnastik,,,,,,,,,,,56.6315890,,,yes,,,,,,,
