health_facility:type,health_specialty:skin,amenity,health_specialty:general,payment:payconiq,office,healthcare:speciality,building:part,ref:bag,contact:website,roof:colour,addr:suburb,height,payment:cash,health_specialty:children_medicine,building:roof:shape,smoking,operator,source:geometry:lbltype,payment:debit_cards,addr:housenumber,note,payment:maestro,medical_system:western,lon,building:levels,opening_hours,health_specialty:family_medicine,contact:phone,addr:housename,ref:OnroerendErfgoed,heritage:website,name,access,source,old_name,name:fr,start_date,building:roof,source:geometry:ref,general_medicine,doctors:specialism,image,website,wheelchair,fax,name:nl,description,emergency,contact:email,building:material,health_specialty:neurology,home_visit,medical_system,specialty,source:date,phone,doctors,historic,source:geometry,building:roof:orientation,addr:province,building:use,lat,health_specialty:internal_medicine,OnroerendErfgoed:criteria,payment:visa,payment:BC,addr:street,building,ref:UrbIS,fixme,addr:city,roof:shape,url,addr:postcode,roof:material,addr:place,email,roof:orientation,source:geometry:date,health_person:type,healthcare,addr:country,heritage:operator
,,doctors,,,,,,,,red,,,,,,,,,,7,,,,4.7000642,3,,,,,,,A.M. Spaey,private,Bing,,,,,,,,,,no,,,,,,brick,,,,,,,,,,,,residential,50.8652806,,,,,Jozef Eerdekensstraat,house,,,Heverlee,gabled,,3001,roof_tiles,,,across,,,,BE,
,,doctors,,,,general,,,,,,,,,,,Dr. Annick COMPES;Dr. Marc DISTEXHE;Dr. Ludivine LEONET;Dr. Romain BAUS,,,78,,,,5.0946532,,,,,,,,Accords Santé ASBL,,,,,,,,,,,http://www.accords-sante.be,yes,,,"Dr. Annick COMPES;
Dr. Marc DISTEXHE;
Dr. Ludivine LEONET;
Dr. Romain BAUS",,,,,,,,,,,,,,,,50.6750331,,,,,Rue Joseph Wauters,yes,,,Hannut,,,4280,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,26,,,,4.4638228,,,,,,,,Adams L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1433967,,,,,Jozef Mattheessensstraat,yes,,,Hove,,,2540,,,,,,,doctor,BE,
,,doctors,,,,general,,,,,,,,,,,,,,97,,,,3.7787828,,,,,,,,Alexandre Czaplicki (Médecine générale),,,,,,,,,,,http://www.fr.docvadis.be/alexandre-czaplicki/member/upgSOGQwQg585I5LGCu4yA.html,,,,"Cabinet du Dr Alexandre Czaplicki
avenue du haut pays 97
7387 Athis

tél. :  065 600 930
fax :  065 980 442

Horaires d'ouverture du secrétariat :

 

Pour les résultats médicaux, veuillez appeler après 17h.

 

Après 18h, les jours fériés et les WE merci",,,,,,,,,,,,,,,,50.3612365,,,,,Avenue du Haut-Pays,yes,,,Athis,,,7387,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,4,,,,4.9813780,,,,,,,,Alexia Caulier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3377722,,,,,Rue de Mianoye,yes,,,Durnal,,,5530,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,1,,,,4.8226467,,,,,,,,Ama Vitam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.1767004,,,,,Madrigaalstraat,apartments,,,Herentals,,,2200,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,8,,,,2.9182359,,,,,,,,Artsenhuis De Linde,,,,,,,,,,,https://www.artsenhuisdelinde.be/,,,,,,,,,,,,,,,,,,,,50.9141437,,,,,Markt,yes,,,Langemark,,,8920,,,,,,,doctor,,
,,doctors,,,,,,,,,,,,,,,,,,81,,,,3.1458485,,,,,,,,Artsenhuis Egelantier,,,,,,,Gbg/4453835,,,,https://www.artsenhuisegelantier.be/,,+32 50 42 40 79,,,,,,,,,,,+32 50 41 48 77,,,,,,,51.3073600,,,,,Zeebruggelaan,detached,,,,,,,,,,,2013-11-19,,,,
,,doctors,,,,,,,,,,,,,,,,,,96,,,,4.3819320,,,,,,,,Artsenpraktijk Het park,,,,,,,,,,,http://www.artsenpraktijkhetpark.be/,,,,,,,,,,,,,+32 3 888 83 73,,,,,,,51.1035136,,,,,'s Herenbaan,yes,,,Reet,,,2840,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,43,,,,4.9518242,,,,,,,,Aurélien Claes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.3979376,,,,,Rue Isabelle Brunell,yes,,,Sart-Bernard,,,5330,,,,,,,,,
