amenity,roof:colour,roof:height,addr:housenumber,note:cadastre:id,note:cadastre:building_use,building:levels,opening_hours,lon,source,source:geometry:ref,emergency,building:material,roof:shape,check_date,lat,addr:street,building,name:en,name,addr:postcode,roof:material,source:geometry,addr:city,source:geometry:date,healthcare,wheelchair
doctors,,,,,,,24/7,27.7078961,,,,,,,42.3710904,,,,Medical Center,,,,,,,
doctors,,,1,,,,,23.4818133,,,,,,,41.8407849,Стефан Караджа,yes,,Д-р Кадева,2770,,,Банско,,,
doctors,,,8,,,,,23.4831915,,,,,,,41.8424738,Цар Симеон,yes,,Д-р Русков,2770,,,Банско,,,
doctors,,,,,,,,25.6330486,,,,,,,42.4311039,,yes,,"ДКЦ ""Сано""",,,,,,,yes
doctors,,,,,,,,24.9966499,,,,,,,43.6026639,ул Борис Ганев,yes,,Здравна Служба,5954,,,Лозица,,,
doctors,,,,,,,,23.1112708,,,,,,,42.5966307,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,26.0402902,,,,,,,43.7129223,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,26.8181364,,,,,,,42.3867859,,yes,Healthcare Office,Здравна служба,,,,,,,
doctors,,,,,,,,27.6460609,,,,,,,43.7334450,,,,Здравна служба,,,,,,,
doctors,,,,,,,,25.8147453,,,,,,,42.5882801,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.8373469,,,,,,,42.3557489,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.1978523,,,,,,,42.6553347,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.2324496,,,,,,,42.6344162,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.3361453,,,,,,,42.7098543,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.4097293,,,,,,,42.6677717,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.4484959,,,,,,,42.5412520,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.5436462,,,,,,,42.5729499,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.6728534,,,,,,,42.3101636,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.2386977,,,,,,,42.4205541,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.1827112,,,,,,,42.5726651,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.3451851,,,,,,,42.4074300,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,24.8642757,,,,,,,42.1822315,,,,Здравна служба,,,,,,,
doctors,,,,,,,,26.6274623,,,,,,,42.2586880,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.4151622,,,,,,,42.5604865,,yes,,Здравна служба,,,,,,,
doctors,,,,,,,,25.3059614,,,yes,,,,42.8704334,,,MBAL D-r Tota Venkova,МБАЛ Д-р Тота Венкова,,,,,,,
doctors,,,,,,,,25.5446831,,,,,,,42.6089136,,yes,,Медицински център,,,,,,,
doctors,,,,,,,,25.2050212,,,,,,,42.5967489,,yes,,Медицински център,,,,,,,
doctors,,,,,,,,23.2352920,,,,,,,42.5978597,,yes,,ПСС база Офелиите,,,,,,,
doctors,,,13,,,,,25.3921341,"knowledge, aerial photography",,,,,,42.6207001,Ул. Д-р Христо Баев,civic,,Частна многопрофилна болница,6100,,,,,,
doctors,,,,,,,,27.8292060,,,,,,,43.5734395,,yes,,д-р Галина Горанова,,,,,,,
doctors,,,,,,,,25.8808742,,,,,,,43.4079053,,,,здравна служба,,,,,,,
