building:ruian:type,health_facility:type,amenity,healthcare:speciality,lon,contact:website,roof:colour,building:flats,uir_adr:ADRESA_KOD,addr:streetnumber,height,source:position,is_in,addr:housenumber,addr:conscriptionnumber,building:levels,opening_hours,description,addr:housename,layer,name:de,note,source,addr:street,ref:ruian:building,start_date,website,source:addr,emergency,building:colour,phone,name:en,lat,addr:city,building,ref:ruian:addr,ref,name,addr:postcode,wheelchair,addr:place,email,dispensing,healthcare,landuse,addr:country
,,doctors,,18.3030871,,,,,,,,,,,,,,,,,,,,,,https://www.brc.cz/,,,,,,49.5397160,,,,,Beskydské rehabilitační centrum,,,,info@brc.cz,,,recreation_ground,
7,,doctors,,17.0998021,,,1,,,,,,1644,1644,2,"Mo,We-Fr 07:00-13:00, Tu 10:00-12:00,13:00-18:00",,,,,,cuzk:ruian,U Zdravotního střediska,25737830,,,,,,,,48.9166089,,house,26240441,,Dětská ambulance,69603,yes,Dubňany,,,,,CZ
7,,doctors,,18.2100338,,,,,,,,,1034,1034,1,,,,,,,cuzk:ruian,Záhuní,8381801,,,,,,,,49.5458367,Frenštát pod Radhoštěm,house,8431744,,Dětský lékař,74401,,Frenštát pod Radhoštěm,,,,,CZ
3,,doctors,,16.0152295,,,2,,,,,,,,1,,,,,,,cuzk:ruian,,3463737,,,,,,,,49.3560284,,residential,,,Dům zdraví,,,,,,,,
5,,doctors,,15.5732236,,,,,,,,,,,4,,,,,,,cuzk:ruian,,12285331,,,,,,,,49.3965890,,civic,,,Dům zdraví,,yes,,,,doctor,,
5,,doctors,,17.6800623,,,,,,,,,,,1,,,,,,,cuzk:ruian,,30636370,,,,,,,,49.2220399,,civic,,,Klinika oční a estetické chirurgie,,,,,,,,
15,,doctors,,15.0664775,,,1,,,,,,,,,,,,,Ursulinenkloster,,cuzk:ruian,,23395231,,,,,,,Ursuline Monastery,50.7685603,,civic,,,Klášter voršilek,,,,,,,,
,,doctors,,18.3554738,,,,,,,,,,,,,,,,,,cuzk:km,,,,,,,,,,49.6835826,,yes,,,Krevní centrum,,,,,,,,
6,,doctors,,14.4344507,,,3,,,5 m,,,,,1,,,,,,,cuzk:ruian,,21788090,,,,,,+420 241 401 514,,50.0513182,,residential,,,"LIMA, spol. s r.o.",,,,,,,,
5,,doctors,,14.3196483,,,,,,,,,223,,,,"Provoz ordinace klinické logopedi pro děti a dospělé. Péči nabízíme dětem a dospělým s narušenou komunikační schopností, s poruchami poznávacích funkcí či s poruchami vývoje řeči. Vystavujeme potvrzení studentům hlásícím se na vysoké školy.",,,,,cuzk:ruian,Za Nádražím,26304180,2006-04-27,,,,,,,48.8212648,Český Krumlov,civic,,,"Logopedická ambulance, s.r.o.",38101,,,,,doctor,,
3,,doctors,,15.8189588,,,3,,,,,,78,,3,,,,,Ärztehaus,MUDr. Pavel Petrů - praktický lékař (Praktischer Arzt) MUDr. Eva Hančilová - praktický lékař pro děti a dorost (Kinderärztin),,Třída Josefa II.,2311542,,,,,,,,50.6591424,Horní Maršov,yes,,,Lékařská péče,54226,,,,,centre,,
19,,doctors,,16.5783408,,,,,,,,,,,2,,,,,,,cuzk:ruian,,18984894,,,,,,,,49.1912044,,yes,,,Lékařský dům Hlinky,,,,,,doctor,,
5,,doctors,,15.3843678,,,,,,,,,,,2,,,,,,,cuzk:ruian,,1735934,,,,,,,,50.4733931,,civic,,,MUDr. Ivana Šmejcová,,,,,,,,
19,,doctors,,14.5514388,,,1,,,,,,,,2,,,,,,,cuzk:ruian,,13032372,,,,,,,,50.7581245,,yes,,,MUDr. Lenka Šepsová,,,,,,,,
,,doctors,,18.3390222,http://www.olum.cz/,,,,,,,,,,,,,,,,,,,,,,,,,,,49.6085462,,yes,,,"Odborný léčebný ústav Metylovice, Moravskoslezské sanatorium",,,,,,,,
5,,doctors,,14.5176136,,,,,,,,,,,1,,,,,,,cuzk:ruian,,21833605,,,,,,,,50.0258051,,civic,,,Poliklinika,,yes,,,,,,
5,,doctors,,14.7210619,,,,,,,,,,,5,,,,,,,cuzk:ruian,,17273013,,,,,,,,49.2581032,,civic,,,Poliklinika,,,,,,,,
5,,doctors,,17.6548594,,,1,,,,,,,,4,,,,,,,cuzk:ruian,,4211804,,,,,,,,49.2209193,,civic,,,Poliklinika,,,,,,,,
15,,doctors,,13.5360448,,,,,,,,"Blovice, Plzeňský kraj, CZ",259,259,2,Mo-Fr 07:00-15:00,,,,,,cuzk:ruian,Palackého,20517025,,,mvcr:adresa,,,,,49.5823810,Blovice,civic,,,Poliklinika Blovice,33601,,,,,,,CZ
15,,doctors,,16.6817273,,,1,,,,,,,,3,,,,,,,cuzk:ruian,,19253214,,,,,,,,49.2133465,,civic,,,Poliklinika Horníkova,,,,,,,,
15,,doctors,,12.9267737,,,,,,,,,,,4,,,,,,,cuzk:ruian,,6707661,,,,,,,,49.4399601,,civic,,,Poliklinika I,,,,,,,,
15,,doctors,,12.9238931,,,,,,,,,,,1,,,,,,,cuzk:ruian,,6842640,,,,,,,,49.4409052,,civic,,,Poliklinika II,,,,,,,,
,,doctors,,14.3075333,,,,,18,,,,686/18,686,,,,,,,,cuzk:km,Nerudova,,,,,,,,,50.2391171,,yes,6226141,,Poliklinika Kralupy nad Vltavou ALTES s.r.o.,27801,,Kralupy nad Vltavou,,,,,CZ
15,,doctors,,16.5833135,,,,,,,,,,,,,,,,,,cuzk:ruian,,26233363,,,,,,,,49.2360183,,civic,,,Poliklinika Medivita,,,,,,,,
5,,doctors,,14.5539342,,,,,,,,,,,4,,,,,,,cuzk:ruian,,13032283,,,,,,,,50.7598337,,civic,,,Poliklinika Nový Bor,,,,,,,,
15,,doctors,,12.7466733,,,,,,,,,,,1,,,,,,,cuzk:ruian,,15541681,,,,,,,,49.8678315,,civic,,,Poliklinika Planá,,,,,,,,
,,doctors,,14.4171935,,,,,,,,,755,755,,,,,,,,,Sakařova,,,,,,,,,49.2260341,,,20045263,,Poliklinika Týn nad Vltavou,37501,,Týn nad Vltavou,,,,,CZ
5,,doctors,,16.5945150,,,,,,,,,,,,Mo-Fr 06:00-18:00,,,,,,cuzk:ruian,,19009704,,,,,,,,49.2060979,,civic,,,Poliklinika Zahradníkova,,,,,,doctor,,
3,,doctors,,13.7241565,,,,,,,,,,,1,"Mo-Fr 07:00-12:00; Mo 14:30-18:00; Th 14:30-17:00; Sa,Su off",,,,,,cuzk:ruian,,14884321,,,,,,,,50.6586071,,residential,,,Praktický Lékař Sedláková Vlasta MUDr.,,,,,,,,
,,doctors,general,16.7517069,,,,,,,,,,,,,,,,,,survey;uhul:ortofoto;cuzk:km;mvcr:adresa,,,,,,,,,,49.2199934,,yes,,,Praktický lékař,,,,,,,,
5,,doctors,,17.1127563,,,,,,,,,,,,,,,,,,cuzk:ruian,,24770264,1995-10-01,,,,,,,49.4813951,,civic,,,"ProMedica, spol. s r.o.",,,,,,,,
