health_facility:type,shop,office,healthcare:speciality,building:part,photo,description:de,addr:housenumber_1,health_specialty:occupational_therapy,note:de,health_specialty:ophthalmology,unimainz:buildingId,guest_house,contact:yelp,headframe:speciality,building:type,addr:housenumber,toilets,user_defined_other,man_made,seamark:type,opening_hours:note,TODO,created_by,healthcare:speciality:TCM,addr:state,name:de,source,payment:girocard,opening_hours:url,image,bdouble,fax,survey:date,emergency,building:roof,contact:facebook,historic,check_date:opening_hours,building:roof:material,tourism,wikimedia_commons,addr:street,source:name,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,roof:material,ref:bldam,lastcheck,roof:orientation,name:1,source:outline,health_specialty:psychosomatic_medicine,elevator,health_specialty:psychiatry,amenity_1,designation,roof:height,operator,name:it,parking,loc_name,phone_1,est_height,lon,seamark:building:function,wikipedia,asb,access,health_specialty:gastroenterology,check_date,language:en,is_in,ref,email,building:height,contact:email,addr:source,roof:shape,doctors,building:use,healthcare:speciality:alternative,healthcare:speciality_1,min_level,name:hsb,health_specialty:general,addr:inclusion,country,atm,source:geometry,addr:city,source:building,language:de,disused:building,name:3,health_person:type,toilets:wheelchair,internet_access,health_specialty:diagnostic_radiology,telecom,ref:witten,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,healthcare:counselling,ele,short_name,area,opening_hours,contact:phone,addr:housename,heritage:website,indoor,contact:mobile,health_specialty:chiropractic,heritage,emergency_service,roof:ridge:direction,start_date,website,addr:hamlet,phone,official_name,changing_table,old_name,smoking,heritage:ref,opening_hours:signed,max_level,room,type,health_specialty:sports_medicine,healthcare:speciality:de,health_speciality:physiotherapy,wheelchair:description:de,buildingpart,architect,healthcare:for,dispensing,wikipedia:de,contact:phone_1,source:addr,wheelchair,amenity,speciality,operator:type,addr:place,name:2,building:flats,addr:suburb,generator:source,building:min_level,short_name:de,wikidata,addr:street_1,specialization,addr:district,doctor,building:levels,language:ar,health_facility,note,kvl_hro:type,specialisation,branch,doctors:de,FIXME,disused:amenity,description,healthcare:speciality:acupuncture,building:material,year_of_construction,health_specialty:family_medicine,kvl_hro:amenity,health_specialty:orthopaedics,building:architecture,lat,capacity,fax:2,medical_system:western,building,building:colour,url,roof:levels,floor,health_specialty:gynaecology,building:levels:underground,healthcare,onkz,addr:country,heritage:operator
,,,,,,,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,9.7337501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4250995,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1b - San-Kompane,,,,,,,,,,,,,,,,,,,,,,12.8634791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7246223,,,,yes,,,,,,,doctor,,,
,,,,,,,,,,,,,,,,21,,,,,,,,,,,Maps4BW,,,,,,,,,,,,,,,Bahnhofstraße,,,,,AGZ Alpirsbacher Gesundheitszentrum,,,72275,,,,,,,,,,,,,,,,,,,8.3976500,,,,,,,,,,,,,,,,,,,,,,,,,,Alpirsbach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.3426092,,,,yes,,,,,,,,,DE,
,,,ophthalmology,,,,,,,,,,,,,59,,,,,,,,,,,,,,,,,,,,,,,,,,Darmstädter Straße,,,,,ARTEMIS,,,65428,,,,,,,,,,,,,Augenarztpraxis Rüsselsheim Dr. Tröber & Dr. Wanner,,,,,,8.4121359,,,,,,,,,,,,,,,,,,,,,,,,,,Rüsselsheim am Main,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,49.9893875,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,Angerweg,,,,,ARZT Hans-Christoph Pahl,,,37170,,,,,,,,,,,,,,,,,,,9.6573576,,,,,,,,,,,,,,,,,,,,,,,,,,Uslar,,,,,,,,,,,,,,,,gabled,,,,,"Mo 08:00-12:00; Tu 08:00-12:00, 17:00-19:00; We-Th 08:00-12:00; Fr 08:00-12:00, 17:00-19:00",,,,,,,,,,,http://www.aerzte-im-uslarer-land.de/,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Schoningen,,,,,,,,,,,,,,,,,,,,,,,,,,,51.6333064,,,,yes,,,,,,,,,DE,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASB Gesundheitszentrum,,,,,,,,,,,,,,,,,,,,,,13.7948993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4996857,,,,yes,,,,,,,centre,,,
,,,,,,,,,,,,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,Haferweg,,,,,AescuLabor Hamburg GmbH,,,22769,,,,,,,,,,,,,,,,,,,9.9374384,,,,,,,,,,,,,,,,,,,,,,,,,,Hamburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5722356,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,Industriestraße,,,,,"Ahmedia, Sabire",,,27619,,,,,,,,,,,,,,,,,,,8.7178236,,,,,,,,,,,,,,,,,,,,,,,,,,Schiffdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.5171859,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,,Hauptstraße,,,,,Aina Seyfert Fachärztin für Allgemeinmedizin,,,76689,,,,,,,,,,,,,,,,,,,8.5201493,,,,,,,,,,,,,,,,,,,,,,,,,,Karlsdorf-Neuthard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.praxis-seyfert.de/,,+49 7251 6187272,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.1274739,,,,,,,,,,,doctor,,,
,,,,shop,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,Hans-Löffler-Straße,,,,,Alexander Klostermeier Privatpraxis für Physiotherapie,,,97074,,,,,,,,,,,,,Alexander Klostermeier,,,,,,9.9571326,,,,,,,,,,,,,,,,,,,,,,,,,,Würzburg,,,,,,,,,,,http://www.alexanderklostermeier.de/,,,,,,,,,,,+49 931 32079944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,phyisio_therapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.7748640,,,,,,,,,,,physiotherapist,,,
,,,general,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allg. Arzt,,,,,,,,,,,,,,,,,,,,,,9.4210942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.7913437,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,Rudolf-Breitscheid-Straße,,,,,Allg.-Arzt,,,08371,,,,,,,,,,,,,Dr.med. Sybil Kittler Fachärztin f. Allgemeinmedizin,,,,,,12.5488922,,,,,,,,,,,,,,,,,,,,,,,,,,Glauchau,,,,,,,,,,,,,,,,,,,,,"Mo,We 08:00-11:00; Tu 08:00-11:00,15:00-17:00; Th 15:00-18:00; Fr 08:00-10:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.8190561,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,111,,,,,,,,,,,,,,,,,,,,,,,,,,Duisburger Straße,,,,,Allgemein - Dr.Benecke,,,45479,,,,,,,,,,,,,,,,,,,6.8621503,,,,,,,,,,,,,,,,,,,,,,,,,,Mülheim an der Ruhr,,,,,,,,,,,,,,,,,,,,,"Mo-Fr 07:30-11:30, Mo,Tu,Th 14:30-16:30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.4265258,,,,yes,,,,,,,,,DE,
,,,dentist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allgemein-/Zahnarzt,,,,,,,,,,,,,,,,,,,,,,13.7577378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.5290289,,,,yes,,,,,,,doctor,,,
,,,general;paediatrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Allgemein-Praktiker + Kinderarzt,,,,,,,,,,,,,,,,,,,,,,11.7965872,,,,,,,,,,,,,,,,,,,,,,,,,,Tangerhütte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4333053,,,,yes,,,,,,,doctor,,DE,
,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,Hauptstraße,,,,,Allgemeinartzpraxis Langnickel,,,38685,,,,,,,,,,,,,,,,,,,10.3186876,,,,,,,,,,,,,,,,,,,,,,,,,,Langelsheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,Wolfshagen im Harz,,,,,,,,,,,,,,,,,,,,,,,,,,,51.9097355,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,Ahornweg,,,,,Allgemeinarzt,,,38554,,,,,,,,,,,,,,,,,,,10.7155662,,,,,,,,,,,,,,,,,,,,,,,,,,Weyhausen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.4669418,,,,yes,,,,,,,doctor,,DE,
,,,general,,,,,,,,,,,,,57,,,,,,,,,,,,,,,,,,,,,,,,,,Bayerweg,,,,,Allgemeinarzt Dr. René Jones,,,94379,,,,,,,,,,,,,,,,,,,12.8268911,,,,,,,,,,,,,,,,,,,,,,,,,,Sankt Englmar,,,,,,,,,,,,,,,,,,,,,"Mo,Tu 08:00-12:00,15:00-18:00; We 08:00-12:00; Th 08:00-12:00,15:00-18:00; Fr 08:00-12:00; Sa ""nach Vereinbarung""; PH off",,,,,,,,,,,,,+499965577,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.0036704,,,,yes,,,,,,,doctor,,,
,,,general,,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,,no,,,,,,,,Ruderatshofener Straße,,,,,Allgemeinarzt Dr. Wanner,,,87616,,,,,,,,,,,,,,,,,,,10.6158019,,,,,,,,,,,,,,,,,,,,,,,,,,Marktoberdorf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,limited,doctors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7885850,,,,yes,,,,,,,doctor,,DE,
