shop,health_facility:type,office,healthcare:speciality,indoor,payment:cash,source:addr:housenumber:ref,ref:FR:FINESS,roof:orientation:compass,addr:housenumber,name:de,source,location,building:roof:colour,fax,roof:colour,contact:postcode,emergency,ref:FR:SIREN,ref:FR:SIRET,historic,FID,addr:street,bmo:type,source:name,fixme,name:en,contact:fax,addr:city,wheelchair:description,payment:debit_cards,type:FR:FINESS,addr:postcode,roof:material,level,payment:credit_cards,roof:orientation,source:geometry:date,payment:mastercard,amenity_1,amenity_2,payment:american_express,wheelchair:step_height,source:addr,payment:maestro,operational_status,access,payment:cheque,ref,email,barrier,contact:email,name:br,roof:shape,building:use,wall,source:geometry,source:building,health_person:type,health_specialty:radiology,toilets:wheelchair,massage,source:ref:FR:FINESS,lon,contact:website,survey:date,layer,height,alt_name,building:roof:shape,contact:country,operator,railway:historic,contact:city,short_name,area,opening_hours,contact:phone,addr:housename,name,whc:inscription_date,heritage,type,start_date,website,noname,contact:housenumber,source:date,phone,health_specialty:allergology,official_name,old_name,smoking,opening_hours:signed,room,source:version,disused:name,buildingpart,dispensing,ref:FR:NAF,wheelchair,amenity,operator:type,addr:unit,ref:whc,payment:notes,source:addr:version,medical_system:western,doctor,building:levels,note,name:fr,contact:street,description,building:material,note:fr,addr:full,payment:visa,lat,reservation,building,building:colour,payment:coins,roof:levels,addr:place,healthcare,disused:railway,addr:country,heritage:operator,ref:FR:LaPoste
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2639749,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.1793353,,,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,Rue du Logis,,,,,,La Remaudière,,,,44430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.2432910,,,,,,,,,,,,,,,,8h à 9h infirmiere /9h à 19h cabinet de kiné,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.2373240,,yes,,,,,doctor,,,,
computer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.2926417,,,1,,,,,,,,,,,,,A.D.I.I Informatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21.0230814,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.1387068,,,,,Centre Universitaire de Promotion Santé,,,,,,,,,,,A10 SIUMPPS,,,,,https://www.univ-lille.fr/vie-des-campus/centre-de-sante-des-etudiants/,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.6083299,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,private,,,,,,,,,,,,,,,,,1.3517580,,,,,,,,,,,,,,,,A34,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,43.6188430,,hospital,,,,,,,,,
,,,,,,,,,56,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Rue de Kra Douar,,,,,,Lannion,,,,22300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4626130,,,,,,,,,,,,,,,,AB Santé,,,,,,,,,,,,,,,,,,,,,yes,doctors,,,,,,,,,,,,"4 infirmiers/infirmières 
1 kinésiologue énergéticienne 
1 orthophoniste 
1 ostéopathe 
2 psychologues psychothérapeutes ",,,,,48.7405680,,yes,,,,,,,,,
,,,occupational,,,,,,3,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7169446,,,,,,,,,,,,,,,,AIMT 37,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.3705141,,yes,,,,,,,,,
,,,,,,,,,,,KG Ground Survey 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.5910919,,,,,,,,,,,,,,,,Allo Docteur,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,16.1911343,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9431251,,,,,,,,,,,,,,,,Angiologue,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,47.7199705,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,+33 3 85 42 28 06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9029220,,,,,,,,,,,,,,,,Arthus Hervé,,,,,,,,,+33 3 85 96 74 30,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.7502860,,yes,,,,,,,,,
,,,general;sport,,,,,,60,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,Rue d'Ohlungen,,,,,,Schweighouse sur Moder,,,,67590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.7320988,,,,,,,,,,,,,,,,Association Des Docteurs Walter-Meyer Françoise Et Wolff Danièle,,,,,,,,,+33 3 88 72 76 26,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,48.8189555,,yes,,,,,doctor,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.9497530,,,,,,,,,,,,,,,,Aubertin,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,ophtalmologiste,,,,,,,,45.6923875,,yes,,,,,,,,,
,,,,,,,,,27,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2011,,,,,,,,,,,Allée des Genêts,,,,,,Olonne-sur-Mer,,,,85340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,medical,,-1.7695982,,,,,,,,,,,,,,,,Belle Olivier - Masseur kinésithérapeute,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,46.5132145,,yes,,,,,,,,,
,,,,,,,,,9,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,Rue Roger Salengro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2805810,,,,,,,,,,,,,,,,Benoit Mordacq Généraliste,,,,,,,,,+33 3 21 38 04 83,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,50.7179530,,yes,,,,,,,,,
,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2014,,,,,,,,,,,Rue Nationale,,,,,,La Châtre,,,,36400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9855970,,,,,,,,,,,,,,+33 2 54 06 16 16,,Bio Medi Qual Centre,,,,,,,,,,,,,,,,,,,,,,doctors,,168,,,,,,,,,,,,,,,46.5801670,,yes,,,,,doctor,,,,
