health_facility:type,amenity,int_name,healthcare:speciality,contact:website,operator,addr:housenumber,emergency,building:levels,opening_hours,contact:phone,lon,source,contact:mobile,email,website,fax,short_name,contact:email,phone,lat,addr:street,building,name,addr:postcode,wheelchair,addr:city,addr:postbox,healthcare,addr:country
,doctors,,,,,,,,,,23.0004145,,,,,,,,,41.2608164,,yes,"""ΙΑΣΙΣ"" Πολυϊατρείο",,,,,,
,doctors,,,,,,,,24/7,,19.6519456,,,,,,,,,39.7436375,Arillas,yes,Dr I. Papadopoulos,,,,,,
,doctors,,diagnostic_radiology,,,40,,,Mo-Th 08:30-20:00; Fr 08:30-17:00,,24.3902855,,,,,,,,+302510440080,40.9273744,Τενέδου,yes,Euromedica,65404,,Καβάλα,,,
,doctors,,,,,,,,,,23.7554014,,,,,,,,,37.8805924,Σάκη Καράγιωργα,yes,Health Aid,,,,,doctor,
,doctors,,,,,,,,,,20.2651886,,,,,,,,,39.4912894,,yes,IKA,,,,,doctor,
,doctors,,,,,,,1,,,23.8474414,,,,,,,,,35.5232421,,industrial,Maleme medical house,,,,,,
,doctors,,general,,,75,,,,,24.5436904,,,info@rma.gr,http://www.rethymnomedicalassistance.com,+302831071770,,,+302831071300,35.3727710,Adelianos Kampos,yes,Rethymno Medical Assistance,74100,,"Rethymno, Crete",219,doctor,
,doctors,,,,Ίδρυμα Κοινωνικών Ασφαλίσεων - Ενιαίο Ταμείο Ασφάλισης Μισθωτών,80,,,,,23.7611747,internet,,,,,Ι.Κ.Α.,,,37.9800973,Παπαδιαμαντοπούλου,yes,Ίδρυμα Κοινωνικών Ασφαλίσεων,15772,,Αθήνα,,doctor,GR
,doctors,,,,,,,,,,20.8459217,,,,,,,,,39.5981416,Διακλάδωση Πεδινής,yes,ΑΓΡΟΤΙΚΟ ΙΑΤΡΕΙΟ,,,,,,
,doctors,,,,,,,,,,23.0015114,,,,,,,,,41.2600838,,yes,Αποστολίδης Στ.,,,,,,
,doctors,,,,,131,,,,,23.7496952,,,,https://koinonikoiatreionfnx.espivblogs.net/,,,,,38.0484045,Ελευθερίου Βενιζέλου,yes,Αυτοδιαχειριζόμενο Κοινωνικό Ιατρείο - Φαρμακείο Νέας Φιλαδέλφειας - Νέας Χαλκηδόνας,,,Νέα Φιλαδέλφεια,,doctor,
,doctors,,,,,,,,,,22.9289408,,,,,,,,,40.6539667,,yes,Δημοτικό Πολυιατρείο,,,,,,
,doctors,,,,,,,,,,23.0039820,,,,,,,,,41.2591987,,yes,Ε.Σ.Υ. ΡΟΔΟΠΟΛΗΣ,,,,,,
,doctors,,,,,,,,,,23.7241266,,,,,,,,,38.0081558,,yes,ΕΟΠΥΥ (ΙΚΑ),,,,,doctor,
,doctors,,,,,,,,,,24.1480224,,,,,,,,,41.1519595,,yes,ΕΦΚΑ,,,,,,
,doctors,,,,,,,,,,23.7083317,,,,,,,,,37.9736700,,yes,Ελληνική Αστυνομία: Διεύθυνση Υγειονομικού & Κεντρικό Ιατρείο Αθηνών,,,,,doctor,
,doctors,,,,,,,,,,27.2703177,,,,,,,,,36.8839964,ASKLIPIOU,yes,ΙΚΑ ΚΩ,,,,,,
,doctors,,,,,,,,,,21.4108870,,,,,,,,,40.7799535,,yes,Ιατρεία ΙΚΑ,,,,,doctor,
,doctors,,,,,,,,,,21.2713044,,,,,,,,,39.0682013,,yes,Ιατρείο,30017,,Θύαμος,,,
,doctors,,,,,,,,,,23.2520142,,,,,,,,,41.2646889,,yes,Ιατρείο Βυρώνειας,,,,,doctor,
,doctors,,,,,49,,,,,23.7302827,,,,,,,,,37.9884141,28ης Οκτωβρίου,yes,Ιατρικές Υπηρεσίες Παπανδρέου,,,Αθήνα,,doctor,
,doctors,,,,,,,,,,22.7669831,,,,,,,,,39.1868865,,,Κέντρο Υγείας Αλμυρού,,,,,doctor,
,doctors,,,,,11,,,,,23.7067398,,,,,,,,+30 2109516400,37.9514904,Δαβάκη,yes,Κέντρο Υγείας Καλλιθέας,17672,,Καλλιθέα,,doctor,
,doctors,,,,,,,,,,23.0013210,,,,,,,,,41.2596845,,yes,"Καρδιολογικό Κέντρο ""Προιονίδης""",,,,,,
,doctors,,,,,,,,,,21.8256336,,,,,,,,,39.0885832,,yes,Κοινοτικό,,,,,,
,doctors,,,,,,,,,,20.9850002,,,,,,,,,39.1603272,Νόρμαν,yes,Κοινωνικό Ιατρείο-Φαρμακείο Αλληλεγγύης Άρτας,,,Άρτα,,,
,doctors,,,,,,,,,,22.9991293,,,,,,,,,41.2599378,,,Λίλος,,,,,,
,doctors,NIMA,healthcare:speciality,https://www.nhmacenter.gr/,,66,,,,2410533737,22.4122509,,,,,,,nhma@otenet.gr,,39.6373009,Παπακυριαζή & Φαρμακίδου,office,Νήμα Center,41222,,Λάρισα,,,GR
,doctors,,paediatrics,,,73,,,,,24.4784597,,,,,,,,,35.3662108,Γερακάρη,yes,Νίκος Βαράκης,74100,no,Ρέθυμνο,,doctor,
,doctors,,,,,,,,,,23.0037340,,,,,,,,,41.2594839,,yes,ΟΦΘΑΛΜΙΑΤΡΟΣ-ΠΑΘΟΛΟΓΟΣ,,,,,,
,doctors,,,,,,,,,,22.9997510,,,,,,,,,41.2598835,,yes,ΠΑΠΛΑΣ,,,,,,
