roof:levels,amenity,office,healthcare:speciality,lon,contact:website,addr:suburb,email_1,free_refill_note,name:it,operator,addr:housenumber,barrier,area,building:levels,opening_hours,contact:phone,addr:housename,note,source,mapillary,email,website,fax,description,emergency,contact:email,source:date,phone,lat,name:hu,addr:street,building,fixme,name,roof:shape,url,addr:postcode,wheelchair,level,free_refill,addr:city,healthcare,toilets:wheelchair,addr:country,alt_name
,doctors,,,21.6930005,,,,,,,,,,2,,,,,,,,,,,,,,,47.9492526,,,yes,,3. sz. körzet orvosi rendelő,,,,,,,,doctor,,,
,doctors,,,17.1485199,,,,,,,,,,,,,,,,,,,,,,,,,47.2574424,,,yes,,Ady Endre utcai Körzeti Orvosi rendelő,,,,,,,,doctor,,,
,doctors,,urology,18.9990273,https://www.affidea.hu/formen/,,,,,,184,,,,Mo-Th 08:00-20:00; Fr 08:00-16:00,+36 1 599 9399,,,,,,,,,,men@affidea.hu,,,47.4808426,,Sasadi út,yes,,Affidea for men,,,1112,,,,Budapest,doctor,,,
,doctors,,,17.1390845,,,,,,,,,,,,,,,,,,,,,,,,,47.2356646,,,yes,,Alsósági Orvosi Rendelő,,,,,,,,,,,
,doctors,,,19.0770494,,,,,,,,,,,,,,,,,,,,,,,,,47.4926071,,,,,Auróra utcai rendelőintézet,,,,yes,,,,,,,
,doctors,,,17.7431560,,,,,,,,,,,,,,,buildings area: Bing; other information: survey,,,,,,,,,,46.9779021,,,house,,Barnag Orvosi rendelő,,,8291,,,,Barnag,,,HU,
,doctors,,,19.0334647,,,,,,Thaimex Kft.,16,,,,"Tu,Th 16:00-18:00",+36 1 208-1059;+36 30 944-5865,,,,,,,,,,,,,47.4496504,,Sáfrány utca,house,,Belgyógyászati szakrendelés,,,1116,,,,Budapest,doctor,,,
,doctors,,,18.2155336,,,,,,,76,,,,,,,,,,,,,,,,,,46.0472268,,Keszüi út,commercial,,Borostyán Gyógyközpont,,,7632,,,,Pécs,,,,
,doctors,,dermatology,20.7631365,,,,,,,,,,,,,,,,,,,,,,,,,47.6151439,,,yes,,Bőrgyógyász,,,,,,,,doctor,,,
,doctors,,,18.6132711,,,,,,,,,,,,,,gyermek.: +36 20 935 4273,,,,,,,,,,+36 30 444 7755,47.5190384,,,yes,,Csabdi orvosi rendelő,,,,,,,,,,,
,doctors,,,18.4008469,,,,,,,,,,,,,,,,,,,,,,,,,47.5844303,,Béla király körtér,yes,,Csecsemő és Gyermekorvosi Rendelő,,,2800,,,,,,,,
,doctors,,,18.9207697,,,,,,,39-41,,,,,,,,,,,,,,,,,,47.3734125,,Felső utca,yes,,Dr. Romics László Egészségügyi Intézmény,,,2030,,,,Érd,,,HU,
,doctors,,,20.1639920,,,,,,Csongrád Városi Önkormányzat,5,,yes,,,,,,,,,http://csongradrendelo.hu,,,,,,,46.7051945,,Gyöngyvirág utca,,"hiányzó telephelyek a városban, Felgyőn és Bokroson.",Dr. Szarka Ödön Egyesített Egészségügyi és Szociális Intézmény,,,6640,,,,Csongrád,centre,,,
,doctors,,,20.4938237,,,,,,,,,,,,,,,,cEN8vhi88ozEFFCzCvrMYA,,,,,,,,,48.1550061,,,yes,,Dr. Szelekovszky Sándor Egészségház,,,,yes,,,,,,,
,doctors,,,20.1012680,,,,,,,,,,,,,,,,,,,,,,,,,46.3615049,,,yes,,Dr. Sümegi Sándor rendelője,,,,,,,,,,,
,doctors,,,18.9253433,,,,,,,4,,,,Mo-Fr 15:00-19:00,,,,,,,https://egeszseghazerd.hu/,,,,,,,47.3852316,,Ádám utca,house,,Dr. Ádám EgészségHáz,,,2030,,,,Érd,,,HU,
,doctors,,,19.0382418,http://budafokteteny.hu/intezmenyek/egeszsegugy.php?mid=151390ac68136b&from=0&name=,,,,,,5-9,,,,,+36 1 4820048,,,,,,,,,,igazgatosag@xxiieukht.hu,,,47.4296809,,Káldor Adolf utca,yes,,Dél-budai Egészségügyi Szolgálat Nonprofit Kft.,,,1221,,,,Budapest,,,HU,
,doctors,,,20.0891912,,,,,,,92,,,,,,,,,,,,,,,,,,47.3746895,,Fő út,yes,,Egészségház,,,5054,,,,Jászalsószentgyörgy,,,,
,doctors,,,20.4142902,,,,,,,53,,,,,,,,,,,,,,,,,,47.9728777,,II. Rákóczi Ferenc út,yes,,Egészségház,,,3324,,,,Felsőtárkány,,,,
,doctors,,,17.3903020,,,,,,,42,,,,,,,,,,,,,,,,,,47.7356669,,Iskola utca,yes,,Egészségház,,,9155,,,,Lébény,,,,
,doctors,,,16.8566019,,,,,,,,,,,,,,,,,,,,,,,,,46.6695501,,,,,Egészségház,,,,,,,,,,,
,doctors,,,18.4868475,,,,,,,,,,3,,,,,,,,http://labatlan.hu/egeszseghaz,,,,,,+3633517567,47.7495419,,Dr. Tulassay József tér,civic,,Egészségház,,,2541,yes,,,Lábatlan,,,,
,doctors,,,20.4370869,,,,,,,,,,,,,,,,,,,,,,,,,48.2943434,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,17.8867289,,,,,,,,,,,,,,,Bing,,,,,,,,,,47.3623964,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,18.9363373,,,,,,,,,,,,,,,,,,,,,,,,,46.9591961,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,18.3516911,,,,,,,,,,,,,,,,,,,,,,,,,47.2497207,,Béke tér,yes,,Egészségház,,,8051,,,,,,,,
,doctors,,,17.3530376,,,,,,,,,,,,,,,,,,,,,,,,,46.7547037,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,19.2269941,,,,,,,,,,,,,,,,,,,,,,,,,47.2932014,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,17.9699916,,,,,,,,,,,,,,,,,,,,,,,,,47.0574256,,,residential,,Egészségház,,,,,,,,,,,
,doctors,,,19.3856518,,,,,,,26,,,,,,,,,,,,,,,,,,47.2195281,,Fő utca,yes,,Egészségház,,,2367,,,,Újhartyán,,,,
,doctors,,,19.4775388,,,,,,,,,,,,,,,,,,,,,,,,,46.1177651,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,22.6788841,,,,,,,,,,,,,,,,,,,,,,,,,47.8367942,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,19.4401091,,,,,,,46,,,,,,,,,,,,,,,,,,47.9463904,,Arany János út,yes,,Egészségház,,,2696,,,,Terény,,,,
,doctors,,,21.8629346,,,,,,,,,,,,,,,,,,,,,,,,,47.7719911,,,yes,,Egészségház,,,,,,,,,,,
,doctors,,,19.1582489,,,,,,,80,,,,,,,,,,,,,,,,,,46.1246526,,Széchenyi István utca,yes,,Egészségház,,,6453,,,,Bácsbokod,,,HU,
,doctors,,,18.7854216,,,,,,,21,,,,,,,,,,,,,,,,,,47.3174225,,Brunszvik utca,yes,,Egészségház,,,2462,,,,Martonvásár,,,HU,
,doctors,,,16.8413522,,,,,,,,,,,,,,,,,,,,,,,,,46.6361970,,,,,Egészségház,,,,,,,,,,,
,doctors,,,18.7925223,,,,,,,5,,,,,,,,,,,,,,,,,,45.9832127,,Ifjúság tér,yes,,Egészségház,,,7716,,,,Homorúd,,,HU,
,doctors,,,18.8639077,,,,,,,,,,,,,,,,,,,,,,,,,47.1215204,,,hospital,,Egészségház,,,,,,,,doctor,,,
,doctors,,,18.8257085,,,,,,,14,,,,,,,,,,,,,,,,,,47.5154249,,Árpád utca,yes,,Egészségház,,,2071,,,,Páty,,,,
,doctors,,,17.8700820,,,,,,,,,,,,,,,,,,,,,,,,,47.0552401,,,residential,,"Egészségház, orvosi rendelő",,,,,,,,,,,
,doctors,,,19.2228536,,,,,,,,,,,,,,,,,,,,,,,,,46.2635905,,,yes,,Egészségügyi központ,,,,,,,,,,,
,doctors,,,18.7101116,,,,,,,16,,,3,,,,,,,,,,,,,,,46.3386092,,Tartsay Vilmos utca,yes,,Ergonom Kft.,,,7100,,,,Szekszárd,,,HU,
,doctors,,,20.3670313,,,,,,,,,,,,,,,,,,,,,,,,,47.9372796,,,yes,,Felnémeti orvosi rendelők,,,,,,,,,,,
,doctors,,,19.0799700,,,,,,,,,,,,,,,Bing,,,,,,,,,,47.5474864,,,yes,,Felnőtt háziorvosi rendelő,,,,,,,,,,,
,doctors,,,19.2038458,,,,,,,19,,,,,,,,,,,,,,,,,+3612611446,47.4848657,,Hárslevelű utca,yes,,Felnőtt háziorvosi rendelő,,,1106,,,,Budapest,doctor,,,
,doctors,,,19.1837328,,,,,,,24,,,,,,,,,,,http://www.szakrendelo16.hu,,,,,,+36 1 403-37-64,47.5169562,,Centenáriumi sétány,yes,,Felnőtt háziorvosi rendelő,,,1165,,,,Budapest,doctor,,,
,doctors,,,19.6642603,,Újhatvan,,,,,4/A,,,,,,,,,,,,,,,,,,47.6642954,,Bajcsy-Zsilinszky Endre út,yes,,Felnőtt orvosi rendelő,,,3000,,,,Hatvan,,,HU,
,doctors,,,16.8435316,,,,,,,,,,,,,,,,,,,,,,,,,46.8381436,,,yes,,Felnőtt- és gyermekorvosi ügyelet,,,,,,,,,,,
,doctors,,,19.2569454,,,,,,,81,,,,,,,,,,,,,,,,,,47.4810820,,Ferihegyi út,yes,,Ferihegyi úti háziorvosi rendelő,,,1173,,,,Budapest,doctor,,,
,doctors,,paediatrics,16.6257198,,,,,,,6,,,,,,,,,,,,,,,,,,47.2175314,,Fogaras utca,,,Fogaras utcai gyermekorvosi rendelő,,,9700,,,,Szombathely,,,,
,doctors,,,19.0300482,,,,,,,,,,,,,,,,,,,,,,,,,47.3392108,,,yes,,Fogászat,,,,,,,,doctor,,,
,doctors,,,22.3189039,,,,,,,,,,,,,,,,,,,,,,,,,47.9539037,,,yes,,Gyerekorvosi rendelők,,,,,,,,,,,
,doctors,,,19.6636562,,Újhatvan,,,,,11,,,,,,,,,,,,,,,,,,47.6639145,,Bajcsy-Zsilinszky Endre út,yes,,Gyermek orvosi rendelő,,,3000,,,,Hatvan,,,HU,
,doctors,,,17.7544012,,,,,,,73,,,,,,,,,,,,,,,,,,47.5812476,,Országút utca,yes,,Gyermek és nővédelmi szolgálat,,,9084,,,,Győrság,doctor,,,
,doctors,,,18.8252416,,,,,,,16/A,,,,,,,,,,,,,,,,,,47.5039006,,Torbágyi út,yes,,Gyermekgyógyász,,,2071,,,,Páty,,,,
,doctors,,,21.8626953,,,,,,,,,,,,,,,,,,,,,,,,,47.7712735,,,yes,,Gyermekorvos,,,,,,,,,,,
,doctors,,,19.1173254,,,,,,,23,,,,,,,,,,,,,,,,,,47.4635998,,Csengettyű utca,hospital,,"Gyermekorvos, gyermekfogászat, védőnő",,,1098,,,,Budapest,doctor,,,
,doctors,,,18.8882398,,,,,,,,,,,,,,,Bing; survey,,,,,,,,,,47.4095068,,,yes,,Gyermekorvosi rendelő,,,2030,,,,Érd,,,HU,
,doctors,,,18.9024184,,,,,,,47,,,,,,,,Bing;survey,,,,,,,,,,47.4002073,,Bajcsy-Zsilinszky Endre utca,yes,,Gyermekorvosi rendelő,,,2030,,,,Érd,,,HU,
,doctors,,,19.0721390,,,,,,,,,,,,,,,,,,,,,,,,,47.6720503,,,yes,,Gyermekorvosi rendelő,,,,,,,,,,,
,doctors,,,18.9134483,,,,,,,,,,,,,,,,,,,,,,,,,47.4358433,,,yes,,Gyermekorvosi rendelő,,,,,,,,,,,
,doctors,,paediatrics,19.0279142,,,,,,,2,,,,,,,,,,,,,,,,,,47.6444131,,Jankovich Gyula utca,public,,Gyermekorvosi rendelő,,,2013,yes,,,Pomáz,doctor,,HU,
,doctors,,,18.3280254,,,,,,,,,,1,,,,,,,,,,,,,,,47.5475194,,,public,,Gyermekorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,19.5989258,,,,,,,45,,,,,,,,,,,,,,,,,,47.4498732,,Deák Ferenc utca,yes,,Gyermekorvosi rendelő,,,2251,,,,Tápiószecső,,,,
,doctors,,,17.7515737,,,,,,,18,,,,,,,,,,,,,,,,,+36 88 260254,47.1333438,,Vasút utca,civic,,Gyermekorvosi rendelő,,,8440,,,,Herend,,,,
,doctors,,,19.1913289,,,,,,,,,,,,,,,,,,,,,,,,,47.4070523,,,yes,,Gyermekorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,19.9136230,,,,,,,2,,,,,,,,,,,,,,,,,,46.3188774,,Honvéd utca,yes,,Gyermekorvosi rendelő,,,6795,,,,Bordány,,,,
,doctors,,,19.6200279,,,,,,,,,,,,,,,,,,,,,,,,,47.2416404,,,yes,,Gyermekorvosi rendelő,,,,,,,,,,,
,doctors,,,21.4981732,,,,,,,,,,,,,,,,,,,,,,,,,47.8167062,,,yes,,Gyermekorvosi rendelő,,,,,,,,,,,
,doctors,,,20.9643992,,,,,,,,,,,,,,,,,,,,,,,,,47.0289838,,,yes,,Gyermekorvosi rendelő,,,,,,,,,,,
,doctors,,,20.6306648,,,,,,,,,,,,,,,,,,,,,,,,,48.2554766,,,yes,,Gyógyszertár - Orvosi rendelők,,,,,,,,,,,
,doctors,,,17.5128491,,,,,,,117,,,,,,,,,,,,,,,,,,47.5149685,,Fő utca,yes,,Gyógyítóház,,,9100,,,,Tét,,,,
,doctors,,,19.1254776,,,,,,Pesterzsébet Önkormányzatának Humán Szolgáltatások Intézménye,3,,,,,,,,,,,http://www.hszi20.hu,,,,,,,47.4359570,,Bácska tér,yes,,Haziorvos es gyógyszertár,,,1202,,,,Budapest,doctor,,,
,doctors,,,18.8284736,,,,,,,1,,,,,,,,,,,,,,,,,,47.5151538,,Széchenyi István utca,yes,,Helios Egészségcentrum,,,2071,,,,Páty,,,,
,doctors,,,19.2206129,,,,,,,,fence,,,,,,,,,,,,,,,,,47.4814421,,525. tér,,,Házi felnőttorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,19.2700797,,,,,,,40,,,,,,,,,,,,,,,,,,47.4938888,,Diadal utca,yes,,Házi felnőttorvosi rendelő,,,1172,,,,Budapest,doctor,,,
,doctors,,,18.8756787,,,,,,,3,,,,,,,,,,,,,,,,,,47.7835501,,Köztársaság tér,public,,Házi orvosi rendelő,,,2028,,,,Pilismarót,,,,
,doctors,,,20.1592254,,,,,,,5,,,,,,,,https://www.szegedvaros.hu/haziorvosok/,,,,,,,,,,46.2470093,,Korondi utca,yes,,Házi- és Szakorvosi Rendelő Intézet,,,6726,,,,Szeged,,,,
,doctors,,,17.8100008,,,,,,,10,,,,Tu 08:30-12:00; We 12:30-15:30; PH closed,,,,,,,,,,,,,+36 96 470355,47.5431346,,Rákóczi út,yes,,Háziorvos,,,9096,,,,Nyalka,,,,
,doctors,,,18.8829936,,,,,,,4,,,,,,,,,,,,,,,,,,47.5755276,,Száva utca,yes,,Háziorvos,,,2094,,,,Nagykovácsi,doctor,,HU,
,doctors,,,17.6967182,,,,,,,17,,,,,,,,Bing,,,,,,,,,,47.3841243,,Markovics út,yes,,"Háziorvos, védőnő, fogászat",,,8556,,,,Pápateszér,,,,
,doctors,,,19.6847175,,,,,,,,,,,"Mo,Tu,We,Fr 8:00-12:00; Th 12:00-16:00",,,,,,,,,,,,,,47.3629833,,,yes,,Háziorvosi Rendelők,,,,,,,,doctor,,,
,doctors,,general,20.0062609,,,,,,Dr. Gráf Zsuzsanna,2,,,,,,,,,,,,,,,,,,47.1865481,,Arany János utca,yes,,Háziorvosi rendelő,,,2740,,,,Abony,doctor,,,
,doctors,,,17.9269827,,,,,,,,,,,,,,,,,,,,,,,,,46.9771651,,,,,Háziorvosi rendelő,,,,,,,,,,,
,doctors,,,17.6818513,,,,,,,17-19,,,,"Mo 07:30-09:30, We 07:30-09:30, Th 11:30-12:30",,,,,,,,,,,,,,47.7495525,,Arany János utca,yes,,Háziorvosi rendelő,,,9062,yes,,,Kisbajcs,,,,
,doctors,,,18.9126798,,,,,,,42/2,,,,,,,,Bing;survey,,,,,,,,,,47.3841361,,Kossuth Lajos utca,house,,Háziorvosi rendelő,,,2030,,,,Érd,,,HU,
,doctors,,,18.8199948,,,,,,,,,,,,,,,,,,,,,,,,,47.6768865,,,yes,,Háziorvosi rendelő,,,,,,,,,,,
,doctors,,,18.9354851,,,,,,,,,,,,,,,Bing,,,,,,,,,,47.3566705,,,house,,Háziorvosi rendelő,,,2030,,,,Érd,,,HU,
,doctors,,,19.1970727,,,,,,,2,,,,,,,,,,,,,,,,,,47.9986310,,Eötvös Loránd út,yes,,Háziorvosi rendelő,,,2659,,,,Érsekvadkert,,,,
,doctors,,,17.4232186,,,,,,,4,,,,,,,,,,,,,,,,,,47.7318381,,Táncsics Mihály utca,yes,,Háziorvosi rendelő,,,9154,,,,Mosonszentmiklós,,,,
,doctors,,,19.3949307,,,,,,,4,,,,,,,,,,,,,,,,,,47.4307239,,Erzsébet utca,yes,,Háziorvosi rendelő,,,2230,,,,Gyömrő,doctor,,,
,doctors,,,18.8933694,,,,,,,,,,,,,,,Bing,,,,,,,,,,47.3770800,,,yes,,Háziorvosi rendelő,,,2030,,,,Érd,,,HU,
,doctors,,,17.7516887,,,,,,,18,,,,,,,,,,,,,,,,,+36 88 261118,47.1332775,,Vasút utca,civic,,Háziorvosi rendelő,,,8440,,,,Herend,,,,
,doctors,,,22.1545581,,,,,,,,,,,,,,,,,,,,,,,,,48.3626191,,,yes,,Háziorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,19.8704381,,,,,,,,,,,"Tu,Th 08:00-09:00",,,,,,,,,,,,,,47.9265329,,,yes,,Háziorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,18.2141530,,,,,,,,,,,,,,,,,,,,,,,,,46.0444575,,,yes,,Háziorvosi rendelő,,,,,,,,,,,
,doctors,,,17.4988278,,,,,,,,,,,,,,,,,,,,,,,,,47.5210633,,,yes,,Háziorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,17.0446153,,,,,,,,,,,,,,,,,,,,,,,,,47.1654581,,,residential,,Háziorvosi rendelő,,,,,,,,,,,
,doctors,,,19.0189007,,,,,,,20-22,,,6,,,,,,,,,,,,,,,47.4945031,,Böszörményi út,public,,Háziorvosi rendelő,,,1126,,,,Budapest,,,,
,doctors,,,19.0265812,,,,,,,6,,,,"Mo,We,Fr 08:00-12:00; Tu,Th 16:00-20:00",,,,Bing,,,http://www.szentkristofrendelo.hu/csaladorvosok_felnott.php,,,,,,+36 1 466 8257,47.4760857,,Vágfarkasd utca,yes,,Háziorvosi rendelő,,,1113,,,,Budapest,,,,
,doctors,,,19.0365094,,,,,,,3,,,,,,,,,,,,,,,,,,47.4486641,,Albertfalva utca,yes,,Háziorvosi rendelő,,,1116,limited,,,Budapest,doctor,,,
,doctors,,,19.1523505,,,,,,,,,,,,,,,,,,,,,,,,,47.4554361,,,yes,,Háziorvosi rendelő,,,,,,,,doctor,,,
,doctors,,,19.5980361,,,,,,,12,,,,,,,,,,,,,,,,,,47.4519395,,Honvéd utca,yes,,Háziorvosi rendelő,,,2251,,,,Tápiószecső,,,,
,doctors,,,19.6172007,,,,,,,73,,,,,,,,,,,,,,,,,,47.4486811,,Kátai út,yes,,Háziorvosi rendelő,,,2251,,,,Tápiószecső,,,,
,doctors,,,19.1273631,,,,,,,5,,,,,,,,,,,,,,,,,,47.5686812,,Kossuth utca,yes,,Háziorvosi rendelő,,,1151,,,,Budapest,,,,
,doctors,,,17.7859096,,,,,,,105,,,,Mo 12:30-15:30; We 08:30-12:30; Fr 08:30-12:00,,,,,,,,,,,,,,47.5687087,,Fő utca,yes,,Háziorvosi rendelő,,,9085,yes,,,Pázmándfalu,doctor,no,HU,
,doctors,,,18.9534800,,,,,,,,,,,Mo-Fr 08:30-20:00,,,,,,,,,,,,,,47.5490009,,,yes,,Háziorvosi rendelő,,,,yes,,,,,,,
,doctors,,,18.8883557,,,,,,,143,,,,,,,,Bing; survey,,,,,,,,,,47.4095698,,Bajcsy-Zsilinszky Endre utca,house,,Háziorvosi rendelő,,,2030,,,,Érd,,,HU,
,doctors,,,19.0746720,,,,,,,27,,,,,,,,,,,https://szei.szentendre.hu/,,,,,,,47.6667426,,Bükkös part,yes,,Háziorvosi rendelők,,,2000,,,,Szentendre,,,,
,doctors,,pulmonology;allergology,19.0100867,,,,,,"Észak-Közép-budai Centrum, Új Szent János Kórház és Szakrendelő",1,,,,,,,,Bing,,,http://www.janoskorhaz.hu/tudogondozo-intezet.html,,,,,,+3613558322,47.5080672,,Pethényi köz,yes,,I-XII. kerületi Tüdőgondozó Intézet,,,1122,,,,Budapest,doctor,,HU,
,doctors,,,20.2948368,,,,,,,2,,,,Mo-Fr 08:00-12:00; We 13:00-16:00,,,,,,,,,,,,,,47.1747933,,Mátyás király út,public,,I. számú Háziorvosi szolgálat és Védőnői szolgálat,,,5081,yes,,,Szajol,,,,
,doctors,,,19.0330938,,,elojegyzes@kapas.hu,,,,22,,,,,,,,Bing,,euszolgig@kapas.hu,,,,no,,,+3614887500;+36 1 488 7522,47.5094198,,Kapás utca,yes,,Kapás Utcai Szakorvosi Rendelőintézet,,,1027,,,,Budapest,,,,
