building:material,health_facility:type,amenity,office,healthcare:speciality,building:part,addr:housename,club,roof:colour,social_facility,official_name:sl,official_name,height,phone:mobile,long_name,name:it,social_facility:for,operator,source:addr,addr:housenumber,use,short_name,barrier,lon,building:levels,opening_hours,contact:phone,wikipedia,rer_edi_id:ref,addr:state,name:de,note,source,medical_system:western,official_name:it,roof:material,it:fvg:ctrn:code,addr:street,ref,email,website,ref:vatin,fax,name:sl,description,emergency,payment:bitcoin,addr:province,fence_type,addr:unit,leisure,accessibility,contact:website,phone,surface,contact:email,old_name,lat,addr:city,building,building:colour,landuse,name,roof:shape,addr:postcode,wheelchair,addr:place,it:fvg:ctrn:revision,source:geometry,healthcare,operator:wikidata,addr:country,health_specialty:addiction_medicine,alt_name
,,doctors,,,,,,,,,,,,,,,,,,,,,14.7007395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.7020741,,,,,A.S.L.,,,,,,,doctor,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,12.6206651,,,,,,,,,,,,,,Via della Tenuta di Torrenova 138,,,,,,,,,,,,,,,,,,,,41.8587992,Roma,yes,,,A.S.L. RMB,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,9.1376305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.4604519,,yes,,,ASL,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,16.5593175,,,,,,,,"uffici asl, non sono molto sicuro del tag da utilizzare",,,,,,,,,,,,,,,,,,,,,,,,,,40.8188389,,yes,,,ASL,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,12.5235667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9283584,,yes,,,ASL,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,15.3257620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1587615,,,,,ASL,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,13.3396986,,,,it:Real Casa dei Matti di Palermo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.1105097,,,,,ASL (ex Ospedale Psichiatrico),,,,,,,doctor,,,,
,,doctors,government,,,,,,,,,,,,,,,,7,,,,9.5878808,,,,,,,,,,,,,,Via Giovanni Battista Caironi,,,http://www.asl.bergamo.it/servizi/menu/dinamica.aspx?idArea=16864&idCat=47370&ID=17367,,,,,,,,,,,,,+39 035 603319,,,,45.6973019,Ponte San Pietro,office,,,ASL - Distretto Socio Sanitario Isola Bergamasca,,,,,,,,,IT,,
,,doctors,,,,,,,,,,,,,,,,,,,,,8.4727946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3040556,,,,,ASL 2,,,yes,,,,,,,,
,,doctors,,,,,,,,,,5,,,,,,,,,,,8.6407608,1,,,,,,,,,,,,,Via Rio Mogoro,,,,,,,,,,,,,,,,,,,,39.7221258,Terralba,public,,,ASL 5 - Poliambulatorio,,09098,,,,,doctor,,,,
,,doctors,,,,,,,,,,15.69,,,,,,,,,,,11.8837015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4603715,,residential,,,ASL 8 Distretto di Arezzo,,,,,,,,,,,
,,doctors,,,,,,,,,,7.22,,,,,,,,,,,11.8838741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4602966,,residential,,,ASL 8 Distretto di Arezzo,,,,,,,,,,,
,,doctors,,,,,,,,,,18 m,,,,,,,,,,,13.3412021,,,,,,,,,,,,,4AED,,,,,,,,,,,,,,,,,,,,,45.8206412,,yes,,,ASL Bassa Friulana,,,,,1A0,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,18.2766418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.2546213,,yes,,,ASL Calimera,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,9.3581824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.5202872,,yes,,,ASL Cassina de' Pecchi,,,,,,,,,,,ASL
,,doctors,,,,,,,,,,,,,,,,,,,,,15.5603335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.4448235,,,,,ASL Foggia,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,ASL Lecce,,,,,,18.1780045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.3472940,,,,,ASL Lecce,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,12.4150526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9206517,,,,,ASL RME,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,12.4271107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.9148504,,,,,ASL RME - Dipartimento salute mentale,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,12.5463981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8635738,,yes,,,ASL Roma B,,,,,,,,,,,
,,doctors,,,,ASL Roma B Cartagine,,,,,,,,,,,,,85,,,,12.5510157,,Mo-Fr 7:45-18:30; Sa 7:45-12:00,,,,,,,,,,,,Via Cartagine,,,,,,,,,,,,,,,,,,,,41.8597672,Roma,yes,,,ASL Roma B Cartagine,,00174,,,,,,,IT,,
,,doctors,,,,,,,,,,,,,,,,,,,,,18.3543897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.9388047,,yes,,,ASL Tricase,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,8.9002646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.5566612,,yes,,,ASL di Sanluri,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,8.0642209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.8349446,,,,,ASL19 - Ambulatori,,,,,,,,,,,
,,doctors,,,,,,,,Podjetje za zdravstvene storitve št. 1 Triestina - Okraj 1 - Sedež v Nabrežini,Azienda per i Servizi Sanitari nº 1 Triestina - Distretto 1 - Sede di Aurisina,7 m,,,ASS1 - Distretto 1 - Sede di Aurisina,,,,108/D,,,,13.6709119,,,,,,,,,,,Azienda per i Servizi Sanitari nº 1 Triestina - Distretto 1 - Sede di Aurisina,,4AED,,,,http://www.ass1.sanita.fvg.it/,,+39 040 200611,ASS1 - Okraj 1 - Sedež v Nabrežini,,,,,,,,,,+39 040 3997920,,,,45.7506902,Duino Aurisina / Devin - Nabrežina,yes,,,ASS1 - Distretto 1 - Sede di Aurisina,,34011,,Aurisina / Nabrežina,1A0,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,13.0285192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8362510,,yes,,,ASUR 3 - Ambulatorio di terapia fisica,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,9.8742422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1682840,,yes,,,ATS Montagna ( ASL ),,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,10.5912273,2,,,,,,,,,,,,,Via XXV Luglio,,,,,,,,,,,,,,,,,,,,43.5650595,Lari,,,,Abulatorio di Lari,,56035,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,18.3720160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0583908,,yes,,,Alfa Analisi,,,,,,,,,,,
,,doctors,,,,,,,,,,,,,,,,,,,,,11.2962602,,,,,,,,,Regione Emilia Romagna,,,,,,,,,,,,,no,,,,,,,,,,,,44.6825425,,yes,,,Ambulatori medici,,,,,,,,,,,
