amenity,contact:website,alt_name,name:ru,addr:housenumber,addr:district,building:levels,opening_hours,contact:phone,lon,ele,source,email,website,fax,name,contact:email,addr:subdistrict,phone,lat,addr:street,building,addr:city,addr:postcode,wheelchair,healthcare,addr:country
doctors,,,,,,,,,23.2793890,,Dobeles novada teritorijas plānojums 2013. - 2025. gadam.,,,,1. doktorāts,,,,56.6255093,,yes,,,,,
doctors,,,,,,,,,25.1678222,,,,,,"Amatas Novada Domes Dienas Aprupes Centrs ""Ieriķi""",,,,57.2032294,,yes,,,,,
doctors,,,,5,,,,,21.0669666,,Nīcas novada teritorijas plānojumu 2013.-2025. gadam,,,,Ambulance,,,,56.3455003,Skolas iela,yes,Nīca,LV-3473,yes,doctor,
doctors,,,Даугавпилсский центр Детского здоровья,,,,Mo-Fr 08:00-19:00; Sa 09:00-14:00,,26.5240416,,,,,,Daugavpils Bērnu veselības centrs,,,,55.8669328,,yes,,,,,
doctors,,,,,,,,,23.7697098,,Jūrmalas Domes Pilsētplānošanas nodaļa,,,,Dubultu poliklīnika,,,,56.9665019,,yes,,,,,
doctors,,,,,,,,,23.2358053,,,,,,Dziedniece Natālija,,,26421495,56.3778775,,yes,,,,,
doctors,,,,1D,,,,,24.4080920,,,,,,Garkalnes doktorāts,,,,57.0437408,Vidzemes šoseja,yes,Garkalne,LV-2137,,,
doctors,www.mcjugla.lv,,,2,,,,+371 67521270;+371 67528961,24.2440869,,,,,,Juglas medicīnas centrs,jmc@balticom.lv,,,56.9887679,Juglas iela,yes,Rīga,LV-1024,yes,,LV
doctors,,,,6,Ogres novads,,,,24.5791495,,,,,,Kardiodoktorāts,,,65022506,56.8207697,Oskara Kalpaka iela,yes,Ogre,LV-5001,,,LV
doctors,,,,,,,,,23.6106239,,Jūrmalas Domes Pilsētplānošanas nodaļa,,,67736355,Kauguru veselības centrs,,,67736355,56.9574201,,yes,,,,,
doctors,,Jelgavas bērnu poliklīnika,,,,,,,23.7117610,,,,,,Medicīnas sabiedrība Optima-1,,,,56.6462303,,,,,,,
doctors,,,,15,,,,,24.1815204,,,,http://www.mfd.lv/,,"Medicīniskā firma ""Dziedniecība""",,,,56.9126946,Rušonu iela,public,,,,doctor,
doctors,,,,2a,,,,,21.6719679,,,,,,Piltenes ārstu prakse,,,,57.2228323,Lielā iela,yes,Piltene,LV-3620,,,
doctors,,,,6A,Limbažu novads,,,,24.7170989,,,,,,Poliklīnika,,,,57.5144878,Klostera iela,clinic,Limbaži,LV-4001,yes,,LV
doctors,,,,,,,Mo-Fr 08:00-20:00; Sa 08:00-14:00; Su off,,24.1341639,,,info@vc3.lv,http://www.vc3.lv/,,Veselības centrs 3,,,67333367,56.9412377,,,,,,,
doctors,,,"Центр здоровья ""Бикерниеки""",68 k-1,,5,Mo-Fr 07:00-22:00,,24.1981641,,,,,,Veselības centrs Biķernieki,,,,56.9684382,Biķernieku iela,hospital,,,,,
doctors,,,,5,,7,,,24.1779253,,,,,,"Veselības centru apvienības poliklīnika ""Aura""",,,,56.9579930,Nīcgales iela,yes,Rīga,LV-1035,,,LV
doctors,,,,27,Jelgavas novads,,,,23.6070645,,,,,,Veselības un sociālās aprūpes centrs,,Kalnciema pagasts,,56.8024369,Lielupes iela,hospital,Kalnciems,LV-3016,,,
doctors,,,,46a,,2,,,24.3954178,,,,,,Ā.Ancānes ģimenes ārsta prakse,,,,56.7421828,Rīgas iela,yes,Baldone,,,doctor,
doctors,,,,6,,,,,24.3615478,,,,,,Ārsta prakse,,,,57.8628776,Brīvības iela,house,,,,,
doctors,,,,3A,,,Mo 11:00-19:00; Tu-Fr 08:00-16:00,,26.5939166,,,,,,Čiekuru doktorāts,,,,55.8905664,Čiekuru iela,yes,,,,,
