old_name:1934-2016,amenity,healthcare:speciality,building:part,addr:housename,contact:website,roof:colour,email,operator,addr:housenumber,lon,building:levels,opening_hours,contact:phone,ref:bag,name:de,note,source,name:fr,ref,start_date,website,emergency,contact:email,source:date,phone,lat,addr:street,building,building:colour,name:en,contact:fax,name,url,addr:postcode,wheelchair,source:geometry,addr:city,architect,healthcare,note:BAG,addr:country
,doctors,,,,,,,,,4.6814638,,,,513100011129019,,,BAG,,,1999,,,,2016-11-23,,52.0216565,,commercial,,,,Arbo Unie,,,,,,,,,
,doctors,,commercial,,,,,,,4.3375891,,,,,,,,,,,,,,,,52.0851435,,,,,,ArtsEnZorg,,,,,,,,,
,doctors,,,,,,,,,4.4870382,,,,599100000331919,,,BAG,,,1988,,,,2014-03-24,,51.8858285,,yes,,,,Bavo Europoort | PsyQ | Indigo | Lucertis | i-psy | Ster-MDC,,,,,,,,,
,doctors,,,,,,,,,4.2163620,,,,,,,,,,,,,,,,51.9904496,,,,,,Behandelcentrum Westland,,,,,,,,,
,doctors,,,,,,,,,4.3559138,,,,1916100000102965,,,BAG,Centre Médicale Francophone,,1936,,,,2014-02-11,,52.0634596,,house,,International Medical Centre,,Centre Médicale Francophone,,,,,,,,,
,doctors,,,,,,,,47,-68.8983687,,,,,,,,,,,,,,,,12.1303164,SBN Doormanweg,yes,,,,Centro Medico Aesculapius,,,,,Willemstad,,doctor,,
,doctors,,,,,,,,,-68.9609362,,,,,,,,,,,,,,,,12.1465031,,yes,,,,Centro Medico De Savaan,,,,,,,,,
,doctors,,,,,,,,28,-68.9499803,,,,,,,KG Ground Survey 2015,,,,,,,,,12.1188003,Weg naar Welgelegen,yes,,,,Clinic,,,,,Willemstad,,,,CW
,doctors,,,,,,,,,4.2870094,,,,0518100000346746,,,BAG,,,1912,,,,2013-09-01,,52.1020516,,yes,,,,Clinic 28,,,,,,,,,
,doctors,general,,,,,,general,193,-68.8911670,,,,,,,,,,,,,,,,12.1055085,Caracasbaaiweg,yes,,,,DR. Henriquez,,,,,Willemstad,,doctor,,
,doctors,,,,,,,,,5.1044741,,,,420100000009222,,,BAG,,,2004,http://www.huisartsendecompagnie.nl/,,,2014-03-24,,52.7666842,,yes,,,,De Compagnie,,,,,,,,,
,doctors,,,,,,,,,6.0690781,,,,285100000124330,,,BAG,,,2013,,,,2014-06-13,,52.1691085,,civic,,,,De Mölle,,,,,,,,,
,doctors,,,,,,,,,6.2868373,,,,148100000025213,,,BAG,,,2009,,,,2018-07-18,,52.5839544,,yes,,,,Dokterspost,,,,,,,,,
,doctors,,,,,,,,,4.6315586,,,,,,,,,,,,,,,,52.5627458,,,,,,Dokterspost,,,,,,,,,
,doctors,general,,,,,,Dr. Carrega,1,-68.8853301,,,,,,,,,,,,,,,,12.1375230,Ronde Klipweg,yes,,,,Dr. Carrega,,,,,Oost Jongbloed,,doctor,,
,doctors,,,,,,,,,5.0494517,,,,809100000018553,,,BAG,,,1969,,,,2015-09-05,,51.6516055,,yes,,,,EHBO,,,,,,,,,
,doctors,,,,,,,,,6.0633278,,,,213100000039378,,,BAG,,,1986,,,,2014-05-07,,52.0935873,,yes,,,,Fabels,,,,,,,,,
,doctors,,,,,,,,,6.5548443,,,,14100010928545,,,BAG,,,1986,,,,2014-03-24,,53.2090136,,yes,,,,Fisio centrum,,,,,,,,,
,doctors,,,,,,,,,4.7097139,,,,513100011129021,,,BAG,,,1993,,,,2017-10-09,,52.0217301,,office,,,,GGD Midden Holland,,,yes,,,,,,
,doctors,,,,,,,,,4.7423385,,,,513100011121226,,,BAG,,,1994,,,,2014-03-24,,52.0108764,,yes,,,,Gezondheidscentrum,,,yes,,,,,,
,doctors,,,,,,,,,4.2427507,,,,518100000344364,,,BAG,,,1986,,,,2014-02-11,,52.0601978,,yes,,,,Gezondheidscentrum,,,,,,,,,
