health_facility:type,shop,office,healthcare:speciality,building:part,payment:debit_cards,ref:addr,addr:housenumber,emergency,contact:youtube,ele,source,opening_hours:url,image,fax,short_name,fixme,historic,facebook,name:uk,wikimedia_commons,addr:street,colour,contact:facebook,name:en,contact:fax,name,designation,level,addr:postcode,roof:material,ref:nid,WroclawGIS:addr:postcode:id,payment:credit_cards,roof:orientation,source:user,internet_access,name_1,WroclawGIS:addr:layer,roof:height,WroclawGIS:building:ID,ewmapa:warstwa,WroclawGIS:addr:date,payment:cash,loc_name,phone_2,building:usage:pl,phone_1,3dr:type,source:address,mapillary,boundary,addr:street:sym_ul,ref,email,barrier,contact:email,addr:province,roof:shape,contact:twitter,health_specialty:internal_medicine,addr:city:simc,WroclawGIS:addr:id,building:buildyear,source:geometry,addr:city,source:building,source_ref,building:type:pl,drive_through,health_specialty:dermatology,lon,contact:website,roof:colour,layer,height,alt_name,building:roof:shape,operator,name:pl,old_name:de,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,admin_level,source:height,survey:url,is_in:suburb,addr:subdistrict,delivery,phone,WroclawGIS:building:date,old_name,smoking,OBJECTID_height_lidar,WroclawGIS:addr:postcode:layer,nat_name,source:note,note:pl,buildingpart,architect,dispensing,source:addr,landuse,wheelchair,amenity,operator:type,health_specialty:gynaecology,telephone,official_name,addr:last_update,building:use:pl,medical_system:western,addr:district,building:levels,health_specialty:family_medicine,contact:instagram,note,collection_times,building:fireproof,disused:amenity,description,building:material,takeaway,levels,lat,building,building:colour,url,roof:levels,addr:place,building:levels:underground,healthcare,addr:country,heritage:operator,health_specialty:dentistry
,,,,,,,121,,,,,,,,,,,,,,Krakowska,,,,,"""All-Med""s.c",,,30-199,,,,,,,,,,,,,,,,,,,,,,,09796,,,,,,,,,0343912,,,,Rząska,,,,,,19.8364646,,,,,,,,,,,,,,,,,,,,,,,+48 12 63 76 282,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,50.0992028,yes,,,,,,,,,
,,,,,,,46,,,,,,,,,,,,,,Koskowicka,,,,,"""Aurimed"" Niepubliczny Zakład Opieki Zdrowotnej Przychodnia Specjalistyczna",,,59-220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",Legnica,,,,,,16.1962821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,51.2018530,yes,,,,,,,,,
,,,,,,,15,,,,,,,,,,,,,,Galicyjska,,,,,"""FamiMed"" Sp. z o.o. NZOZ",,,32-087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hipped,,,,,,,Zielonki,,,,,,19.9262808,,,,,,,,,,"""By appointment""",,,,,,,,,,,,,,,,,,,,,,,,,EMUiA (emuia.gugik.gov.pl),,,doctors,,,,,,,,,2,,,,,,,,,,,50.1188512,apartments,,,1,,,,,,
,,,physiatry,,,,47,,,,,,,,,,,,,,Północna,,,,,"""Gki Zdrowie"" Gabinet Rehabilitacji",,,99-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kutno,,,,,,19.3643617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,2,,,,,,,,,,,52.2407571,yes,,,,,,,,,
,,,,,,,32,no,,,,,,,,,,,,,Poligonowa,,,,,"""HIT - MEDICA"" sp. z o.o. Niepubliczny Zakład Opieki Zdrowotnej",,,04-051,,,,,,,,,,,,,,,,,,,,,,,16995,,,,,,,,,0918123,,,,Warszawa,,,,,,21.0880580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mapa.um.warszawa.pl,,,doctors,,,,,,,,,,,,,,,,,,,,52.2351985,yes,,,,,,,,,
,,,,,,,17,,,,Ortofotomapa UM Ruda Śląska,,,,,,,,,,Osiedlowa,,,,,"""Lux-Med"" NZOZ",,,41-710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ruda Śląska,,,,,,18.8590552,,,,,,,,,,,,,,,,,,,,,,,+48 32 242 04 71,,,,,,,,,,,,,,yes,doctors,,,,,,,,,2,,,,,,,,,,,50.2740502,yes,,,,,,,,,
,,,,,,,14,,,,,,,,,,,,,,Aleja Prymasa Stefana Wyszyńskiego,,,,,"""Stepamed"" Przychodnia S.C.",,,62-420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0296621,,,,Strzałkowo,,,,,,17.8197879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,strzalkowo.e-mapa.net,,,doctors,,,,,,,,,,,,,,,,,,,,52.3099316,yes,,,,,,doctor,,,
,,,,,,,16,,,,,,,,,,,,,,Ignacego Paderewskiego,,,,,"""TAMED"" NZOZ Przychodnia Lekarska",,,86-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0929285,,,,Koronowo,,,,,,17.9387829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,emuia.gugik.gov.pl,,,doctors,,,,,,,,,,,,,,,,,,,,53.3121357,yes,,,,,,,,,
,,,pathology,,,,,,,,,,,,,,,,,,,,,,,1 - Zakład Patomorfologii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5550891,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,,,,,,,,,,,,54.4895179,civic,,,,,,,,,
,,,,,,,,,,,gis.um.szczecin.pl,,,,,,,,,,,,,,,"3: Chirurgia, Izba przyjęć",,,,,,,,,,,,,,,,,,,,Szpital lub zakład opieki medycznej,,,,,,,,,,,,,,,,,,,,,,,,,14.5926425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,doctors,,,,,,,,,3,,,,,,,,,,,53.4690016,healthcare,,,,,,,,,
