amenity,source_dat,healthcare:speciality,amenity_1,contact:website,wikidata,alt_name,operator,addr:housenumber,building:levels,opening_hours,contact:phone,lon,source,addr:street,email,website,name:sl,emergency,source:date,phone,lat,addr:city,building,name:en,name,roof:shape,addr:postcode,wheelchair,addr:place,addr:country,healthcare,roof:material,name:it
doctors,,,,,,,,84A,,,,15.6677249,,Zagrebška cesta,,,,,,,46.5283858,Maribor,yes,,Ambulanta,,2000,,,,,,
doctors,,,,,,,,30a,,,,15.9427518,,Cerkvenjak,,,,,,+386 8 2056340,46.5653323,Cerkvenjak,yes,,Ambulanta Cerkvenjak,,2236,,,,,,
doctors,,,,,,,,50,,,,15.7284403,,Cirkovce,,,,,,,46.3945820,Cirkovce,yes,,Ambulanta Cirkovce,,2326,,,,,,
doctors,,,,,,,,24A,,,,16.2867838,,Šafarsko,,,,,,,46.5200713,Razkrižje,yes,,Ambulanta Razkrižje,,9246,,,,,,
doctors,,dermatology,,,,,,13,,,,15.1613005,,Košenice,,http://dermis.si/,,,,+386 7 334 71 70,45.7849341,Novo mesto,yes,,Dermis specialistična Dermatološko Alergološka ambulanta d.o.o.,,8000,,,,doctor,,
doctors,,,,,,,,17,,,,16.2165497,,Levstikova ulica,,,,,,,46.6858384,Moravske Toplice,yes,,Medico - Kirurški center,,9226,,,,,,
doctors,,,,,,,,35,,,,16.1928880,,Noršinska ulica,,,,,,+386 2 5211991,46.6645490,Murska Sobota,yes,,Nacionalni verinarski inštitut MS,,9000,,,,,,
doctors,,,,,,,,28,,,,13.6599219,,Ulica Vinka Vodopivca,,,,,,,45.9581313,Nova Gorica,yes,,Postaja Sprostitve,,5000,,,,doctor,,
doctors,,,,,,,,22,,,,16.0417079,,Gubčeva cesta,,,,,,,46.6394690,Radenci,yes,,Psihiatrična ambulanta,,9252,,,SI,,,
doctors,,,,,Q30260653,,,,,,,16.1429273,GURS,,,,,,20020401,,46.4072052,,yes,,Psihiatrična bolnišnica Ormož,,,,,,,,
doctors,,,,,,,,,,,,13.6375986,,,,,,,,,45.5042136,,,,"Resona, ambulanta za bioresonanco, Neva Furlan s.p.",,,,,,,,
doctors,,,,,,,,127,,,,15.8389029,,Zgornja Hajdina,,,,,,02 788 30 40,46.4084642,Hajdina,yes,,Simonič Marta Specialistična internistična in Diabetološka ambulanta,,2288,,,,,,
doctors,,,,,,,,,,,,16.0176652,,,,,,,,+3862 540 90 20,46.7191007,,yes,,Splošna ambulanta Cankova,,,,,,,,
doctors,,,,,,,,,,,,15.8284192,,,,,,,,,46.5769552,,yes,,Urgenca,,,,,,,,
doctors,,,,,,,,,,,,15.2608183,,,,,,,,,46.2338298,,yes,,Urgentni Center Celje,,,,,,,,
doctors,,,,,,,,48,,,,15.6672241,,Ptujska cesta,,,,,,,46.3923505,Pragersko,yes,,ZD Pragersko,,2331,,,SI,,,
doctors,,,,,,,,7,,,,15.6480504,,Bohovska cesta,,,,,,,46.5009144,Hoče pri Mariboru,yes,,ZD dr. Adolfa Drolca,,2311,,,,,,
doctors,,,,,,,,5,,,,15.6738588,,Nova ulica,,,,,,,46.4538579,Rače,yes,,ZD dr. Adolfa Drolca,,2327,,,,,,
doctors,,,,,,,,,,,,14.7258607,,,,,,,,,45.7428023,,yes,,ZD dr. Janeza Oražma,,,,,,,,
doctors,,,,,,,,2B,,,,16.1706947,,Ulica arhitekta Novaka,,,,,,,46.6592857,Murska Sobota,yes,,"Zavod za zdravstveno varstvo Murska Sobota, Mikrobiološki laboratorij",,9000,,,,,,
doctors,,,,http://zdravsplet.si,,,,,,,,15.6107394,,,,,,,,,46.5393228,,yes,,Zdrav Splet,,,,,,,,
doctors,,general,,,,Splošna ambulanta Beltinci,,1,,,,16.2339155,,Cvetno naselje,,https://www.zd-ms.si/,,,,,46.6095690,Beltinci,yes,,Zdravstvena postaja Beltinci,,9231,,,,doctor,,
doctors,,,,,,,,186C,,,,16.0918080,,,,,,,,,46.8004631,Grad,public,,Zdravstvena postaja Grad,,9264,,Grad,,,,
