roof:levels,amenity,healthcare:speciality,building:part,addr:suburb,addr:streetnumber,source:street,operator,addr:conscriptionnumber,addr:housenumber,building:levels,opening_hours,lon,name,note,source,import,is_in,source:conscriptionnumber,website,wheelchair,FIXME,source:amenity,phone,source:streetnumber,lat,centrum,addr:street,building,building:colour,addr:city,roof:shape,addr:postcode,medical,addr:place,healthcare,addr:country
,doctors,,,,9,,,9,9/9,2,,17.7225026,BARI group,,kapor2,budovy201004,,,,,,,,,48.1868332,,29. augusta,yes,,Galanta,,,,,,SK
,doctors,,,,7,,,,980/7,,,18.1686557,BEA MED s.r.o.,,kapor2,budovy201004,,,,,,,,,48.5608116,,Moyzesova,yes,,Topoľčany,,95501,doctor,,doctor,SK
,doctors,,,Staré mesto - Prievidza I,44,,Bozpo,2776,2776/44,2,,18.6160609,Bozpo - ambulancia pracovného lekárstva,,kapor2,EvidenciaBudovPD,,,,,,,,,48.7727344,,Šumperská,retail,,Prievidza,flat,97101,,,,SK
,doctors,,,,6,,,491,491/6,,,18.3986105,Chirurgia,,kapor2,budovy201004,,,,,,,,,48.3832847,,Bernolákova,hospital,,Zlaté Moravce,,,,,,SK
,doctors,,,,17,,,,17,,,17.1023003,Chirurgické centrum,,kapor2,budovy201004,,,,,,,,,48.1465988,,Kozia,yes,,Bratislava,,,,,,SK
,doctors,,,,,,,,,,,19.0148572,Horská služa,,kapor2,,,,,,,,,,48.7355937,,,yes,,,,,,,,
,doctors,,,,8,,,502,502/8,,,18.3994125,Infekčné oddelenie,,kapor2,budovy201004,,,,,,,,,48.3834244,,Bernolákova,hospital,,Zlaté Moravce,,,,,,SK
,doctors,,,,,,,,,,,17.1450418,Medicínske centrum,,kapor2,budovy201004,,,,,,,,,48.1620679,,,yes,,,,,,,,
1,doctors,,,,,,,,,1,,17.7379799,Medicínske centrum KrasMedika,,kapor2,budovy201004,,,,,,,,,48.2926996,,,yes,,,gabled,,,,,
,doctors,,,,3,,,,3,,,17.1187515,Medicínske centrum Retia,,kapor2,,,,http://www.retia.sk/?page=medicinske-centrum,yes,,,,,48.1486153,Retia,Cukrová,yes,,Bratislava,,811,,,,SK
,doctors,,,,,,,,,5,,18.1734425,Mestská poliklinika,,Bing,,Dubnica nad Váhom,,,,,,,,48.9568342,,,yes,,,flat,,,,,
,doctors,,,,23,,,1120,1120/23,,,21.9195071,Neštátne zdravotnícke zariadenie Antes Plus,,kapor2,budovy201004,,,http://zdravotnictvo.antesplus.sk/,,,,,,48.7515671,,Fr. Kráľa,yes,,Michalovce,,07101,,,,SK
,doctors,,,,25,,,4260,25,,Mo 08:00-14:00; Tu 14:00-19:00; Th 14:00-19:00; Fr 08:00-12:00,18.9185327,OrtoRei,,kapor2,,,,,,,,,,49.0586677,,Kollárova,yes,,Martin,,,,,,SK
