old_name:fr,roof:levels,amenity,building:colour,maxstay,health_specialty:psychiatry,healthcare:speciality,addr:housename,contact:website,parking,social_facility,layer,surface,lon,access:employee,loc_name,wikidata,alt_name,social_facility:for,operator,name:de,alt_name:fr,addr:housenumber,access,fee,capacity,short_name,source:geometry:entity,area,building:levels,ref:OnroerendErfgoed,hospital,contact:phone,wikipedia,heritage:website,name,note,source,name:fr,heritage,opening_hours:url,name:etymology:wikidata,website,destination:symbol,fax,abandoned,name:nl,description,emergency,contact:email,addr:province,capacity:disabled,opening_hours,phone,addr:street:nl,old_name,lat,OnroerendErfgoed:criteria,alt_name:nl,wheelchair:description,addr:street:fr,addr:street,building,disabled,name:en,operator:type,addr:city,designation,roof:shape,addr:postcode,wheelchair,source:geometry,phone:emergency,email,ref:UrbIS,old_name:nl,healthcare,toilets:wheelchair,landuse,disused,addr:country,heritage:operator,internet_access
,,hospital,,,,,,,,,1,,4.4190125,,,,,,,,,,,,,,,,,,,,,,A.Z. Jan Portaels,,,,,,,,,,,,,yes,,,,,,,,50.9275154,,,,,,yes,,,,,,,1830,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.4190545,,,,,,,,,42,,,,,,,,,,,,,A.Z. Jan Portaels,,,,,,,,,,,,,yes,,,,,,,,50.9274072,,,,,Vaartstraat,hospital,,,,,,,1830,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,4.4189690,,,,,,,,,65,,,,,,,,,,,,,A.Z. Jan Portaels,,,,,,,,,,,,,yes,,,,,,,,50.9274896,,,,,Gendarmeriestraat,hospital,,,,,,,1830,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.7198579,,,Q13427644,AZ Sint-Lucas,,,,,1,,,,,,,,,,,,,A.Z. Sint-Lucas campus Sint-Lucas,,,,,,,,,,,,,yes,,,,,,,,51.0640750,,,,,Groenebriel,,,,,,,,9000,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.7212564,,,,Volkskliniek,,,,,1,,,,,,,,,,,,,A.Z. Sint-Lucas campus Volkskliniek,,,,,,,,,,,,,,,,,,,,,51.0606214,,,,,Tichelrei,,,,,,,,9000,,,,,,,hospital,,,,,,
,,hospital,,,,,,,,,,,3.8771583,,,,,,,,,,,,,,,,,,,,,,ASZ Campus Geraardsbergen,,,,,,,,,,,,,,,,,,,,,50.7705536,,,,,,yes,,,,,,,,yes,,,,,,hospital,yes,,,,,
,,hospital,,,,,,,,,,,3.8977137,,,,,,,,,,,,,,,,,,,,,,ASZ Wetteren,,,,,,,,,,,,,yes,,,,,,,,51.0117280,,,,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.5358218,,,,,,,,,15,,,,,,,,,,,,,AZ Alma- campus Ringlaan,,,,,,,https://www.azalma.be/,hospital,,,,,,,,,,,,,51.1916682,,,,,Ringlaan,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,2.9352914,,,,,,,,,,,,,,,,,,,,,,AZ Damiaan,,,,,,Q232785,,,,,,,,,,,,,,,51.2178487,,,,,,,,,,,,,,yes,,,,,,,,,,,,
,,hospital,,,,,,,,,,,3.1226568,,,,,,,,,,,,,,,,,,,,,,AZ Delta Menen,,,,,,,,,,,,,yes,,,,,,,,50.7923928,,,,,,yes,,,,,,,,,,,,,,,,,,,,
