building:ruian:type,amenity,contact:phone,healthcare:speciality,addr:conscriptionnumber,addr:housename,contact:website,roof:colour,building:flats,layer,addr:streetnumber,internet_access:ssid,email,wikidata,alt_name,surface,source:position,operator,name:ru,parking,short_name,is_in,addr:housenumber,addr:housename:de,barrier,lon,building:levels,opening_hours,fenced,wikipedia,name:de,note,source,source:addr,heritage,ref:ruian:building,start_date,website,fax,loc_name,description,emergency,addr:housename:cs,name:cs,fence_type,leisure,addr:suburb,phone,historic,official_name,old_name,lat,smoking,ref:ruian:addr,contact:databox,addr:street,building,building:colour,fixme,name:en,contact:fax,name,designation,ref:NPU,url,addr:postcode,wheelchair,addr:place,addr:city,height,internet_access:fee,heritage:operator,healthcare,toilets:wheelchair,landuse,addr:country,contact:email,internet_access
16,hospital,,,,,,,,,,,,,,,,,,,,,,,,13.3760559,4,,,,,,cuzk:ruian,,,78153301,2014-05-30,,,,,,,,,,,,,,,49.7623657,,,,,industrial,,,Biochemistry,,Biomedicínské centrum,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,18.3349987,,,,,,,,,,,,,,,,,,,,,,,,,,49.9174390,,,,,,,,,,Bohumínská městská nemocnice,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.6990382,,,,,,,,,,,,http://www.jirny.com,,,,,,,,,,,,,,50.1156539,,,,,,,,,,Centrum zdravotní péče,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,14.6398659,,,,,,,,,,,,,,,,no,,,,,,,,,,50.7845254,,,,,,,,,,Dětská léčebna Cvikov,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,"Lázně Poděbrady, a.s.",,,,,,,,15.1191849,,,,,,,,,,,,,,,,,,,,,,,,,,50.1468174,,,,,,,,,,Dětská léčebna Dr. Filipa,,,,,,,,,,,hospital,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,17.0880731,,,,,,,cuzk:ruian,,,48099155,,,,,,,,,,,,,,,,49.4749904,,,,,civic,,,,,"Dětské ""D""",,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,15.8893403,,,,,,,,,,,,,,,,,,,,,,,,,,49.2129208,,,,,yes,,,,,Emergency / Pohotovost,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.6017390,,,,,,,uhul:ortofoto,,,,,http://www.fnusa.cz/,,,,,,,,,,,,,klášter dominikánek,49.1888688,,,,,,,,,,FN u sv. Anny,,,,,,,,,,,,,,,,
15,hospital,,,,,,,,,,,,,,,,,,,,,,,,16.5605009,1,,,,,,cuzk:ruian,,,19297106,,,,,,,,,,,,,,,,49.1836666,,,,,civic,,,,,FN u sv. Anny - Doléčovací a rehabilitační oddělení,,,,,,,,,,,,,,,,
,hospital,,,,,https://www.fnhk.cz/,,,,,,,,,,,,,,,,,,,15.8250963,,,,,,,,,,,,,,,,yes,,,,,,,,,,50.2018747,,,,,,,,,,Fakultní nemocnice,,,,,,,,,,,hospital,,,,,
