amenity,name:da,fvst:navnelbnr,uuid:building,lon,contact:website,layer,loc_name,wikidata,alt_name,operator,emergency,contact:phone,wikipedia,name:de,source,smokefree,healthcare:speciality,type,email,website,description,short_name,phone,old_name,lat,smoking,smoking:outside,name:lt,building,name:en,operator:type,name,fvst:name,wheelchair,healthcare,toilets:wheelchair
hospital,,,,9.9091295,,,,Q2757508,,,yes,,,,,,,,,,,,,,57.0360687,,,,,,,Aalborg Universitetshospital,,,,
hospital,,,,9.9146357,,,,,,,,,,,,,,,,,,,,,57.0490521,,,,,,,Aalborg Universitetshospital Nord,,,,
hospital,,,,8.6952335,,,,,,,,,,,,,,,,https://aalborguh.rn.dk/afsnit-og-ambulatorier/afdelinger-fordelt-paa-lokaliteter/thisted,,,,Sygehus Thy-Mors,56.9566536,,,,,,,Aalborg Universitetshospital Thisted,,,,
hospital,,,,9.3350686,,,Farsø Sygehus,Q12311101,,,yes,,,,,,,,,,,,,,56.7772698,,,,,,,"Aalborg Universitetshospital, Farsø",,,,
hospital,,,,9.7963359,,,,,,Region Nordjylland,yes,,,,,,internal;cardiology;general;radiology;nephrology;rehabilitation,,aalborguh@rn.dk,https://aalborguh.rn.dk/afsnit-og-ambulatorier/afdelinger-fordelt-paa-lokaliteter/afdelinger-hobro,,,+4597652000,,56.6337890,,,,,,public/government,"Aalborg Universitetshospital, Hobro",,,hospital,
hospital,,,,9.9775413,,,,,,,no,,,,,,,,,https://psykiatri.rn.dk/da/Afsnit-og-ambulatorier/Her-findes-de-psykiatriske-sygehuse-sengeafsnit-og-ambulatorier/Aalborg-Universitetshospital---Psykiatrien/Ambulatorier-og-sengeafsnit-Brandevej,,,,,57.0255492,,,,,,,"Aalborg Universitetshospital, Psykiatrien",,,,
hospital,,,,10.1703464,,,,Q12300343,Skejby Sygehus,,yes,,da:Aarhus Universitetshospital,,,,,,,http://www.auh.dk,,,,,56.1859328,,,,,,,Aarhus Universitetshospital,,yes,,yes
hospital,,,,12.6071067,,,,,,,,,,,,,,,,,,,,,55.6541722,,,,,,,Amager Hospital - Hans Bogbinders Allé,,yes,,
hospital,,,,12.6189881,,,,Q4739127,,,no,,da:Amager Hospital,,,,,,,,,,,,55.6542578,,,,,,,Amager Hospital - Italiensvej,,yes,,
hospital,,,,12.0697530,,,,,,,,,,,,,,,,,,,,,55.6513281,,,,,,,Amtssygehuset Fjorden,,,hospital,
hospital,,100368016,,12.0311619,,,,Q4795936,,,,,da:Arresødal,,,,,,,http://www.arresoedal-hospice.dk/,,,,,55.9768259,,,,manor,,,Arresødal Hospice,,,,
hospital,,,,12.5369548,,,,Q3374802,BBH,,yes,,da:Bispebjerg Hospital,,,,,,,https://www.bispebjerghospital.dk/,,,,Bispebjerg Sygehus,55.7153074,,,,,,,Bispebjerg Hospital,,yes,hospital,
hospital,,,,14.7077031,,,,Q1877820,,,yes,,da:Bornholms Hospital,,,yes,,,,https://www.bornholmshospital.dk/,,,,Bornholms Centralsygehus,55.0896987,no,no,Bornholmo ligoninė,,,,Bornholms Hospital,,yes,,
hospital,,112741,,12.5211849,,,,Q10470404,,,,,da:Diakonissestiftelsen,,,,,,,,,,,,55.6792541,,,,,,,Diakonisse-stiftelsen,,,,
hospital,,,,12.5243674,,,,Q1135057,Frederiksberg Sygehus,,yes,,,,,no,,,,https://www.frederiksberghospital.dk/,,FRH,,,55.6884734,no,no,,,,,Frederiksberg Hospital,,yes,,
hospital,,,,12.5444273,,,,Q5533764,,,yes,,,,,,,multipolygon,,,,,,,55.7379509,,no,,,,,Gentofte Hospital,,yes,hospital,
hospital,,,,10.8652361,,,,Q12314281,,Regionshospitalet Randers,,,da:Grenaa Sundhedshus,,,,,,,,,,,,56.4175999,,,,,,,Grenaa Sundhedshus,,,,
hospital,,,,12.4396485,,,,Q3375948,,,yes,,da:Herlev Hospital,,,,,,,https://www.herlevhospital.dk/,,,,Herlev Sygehus,55.7339037,,,,,,,Herlev Hospital,,yes,,
hospital,,,,8.9723046,,,,Q12333112,Herning Sygehus,,yes,,da:Regionshospitalet Herning,,,,,,,,,,,,56.1412346,,,,,,,Herning Centralsygehus,,,,
hospital,,28056,,9.0279286,,,,Q66311139,,,,,da:Hospice Limfjord,,,,,,,http://www.hospicelimfjord.dk/,,,+45 96148700,,56.5731485,,,,yes,,,Hospice Limfjord,,,,
hospital,,,,12.1314631,,,,,,,,,,,,,,,,,,,,,55.6608189,,,,hospital,,,Hospice Sjælland,,,,
hospital,,,,12.3223073,,,,,,,no,,,,,,,,,http://www.ok-hsg.dk/,,,,,55.7438115,,,,,,,Hospice Søndergård,,,,
hospital,,78447,,9.4450703,,,,,,,,,,,,,,,,,,,,,55.2460761,,,,yes,,,Hospice Sønderjylland,,,,
hospital,,,,12.4625794,,,,Q3374772,,,,,da:Hvidovre Hospital,,,,,,,,,,,,55.6467807,,,,,,,Hvidovre Hospital,,yes,,
hospital,,130466,,10.1906436,,,,,,,,,,,,,,,,https://www.molholm.dk/,,,,,56.1180120,,,,yes,,,Mølholm,PRIVATHOSPITALET MØLHOLM - AARHUS,,,
hospital,,,,12.0827222,,,,,,,yes,,,,,,,,,https://www.nordsjaellandshospital.dk/,,Nordsjællands Hospital,,Frederikssund Hospital,55.8469813,,,,,,,Nordsjællands Hospital – Frederikssund,,yes,,
hospital,,,,12.3230106,,,,Q12329226,,,yes,,da:Nordsjællands Hospital,,,,,,,https://www.nordsjaellandshospital.dk/,,Nordsjællands Hospital,,Hillerød Hospital,55.9311993,,,,,,,Nordsjællands Hospital – Hillerød,,yes,hospital,
hospital,,,,11.7602795,,,,Q24293719,,,,,da:Næstved Sygehus,,,,,,,https://www.regionsjaelland.dk/sundhed/geo/naestvedsygehus,,,,,55.2398539,,,,,,,Næstved Sygehus,,,,
