amenity,maaamet:ETAK,operator:type,addr2:street,wikipedia,height,addr2:housenumber,wikidata,alt_name,operator,name:ru,addr:housenumber,lon,building:levels,healthcare:speciality,addr:housename,name,source,email,website,addr2:housenumber2,fax,name:1960-1992,source:addr,emergency,name:1992-2001,addr:full,phone,old_name,lat,addr:street,building,name:en,addr:city,url,addr:postcode,start_date,building:levels:underground,healthcare,maaamet:orig_tunnus,addr:country
hospital,,,,,,,,,,,63,26.6843180,,,,Elite,Tartu City Government,info@elitekliinik.ee,http://www.elitekliinik.ee/elite,,+372 7409931,,,,,Sangla 63,+372 7409930,,58.3700810,Sangla,yes,,Tartu,,50407,,,,,EE
hospital,660348,,,,,,,,,,19,26.4091948,,,,Elva haigla,,,,,,,Maa-amet 2019,,,,,,58.2300372,Supelranna,yes,,Elva,,61505,,,,,EE
hospital,,,,,,,,,Regionaalhaigla Grupp,,2,22.7548126,,,,Hiiumaa Haigla,,info@haigla.hiiumaa.ee,https://haigla.hiiumaa.ee/,,,,,yes,,,,,58.9995925,Rahu,,,Kärdla,,92414,,,hospital,,
hospital,,,,,,,,Keskhaigla,,,18,24.7552877,,,,Ida-Tallinna Keskhaigla,,,,,,,,yes,,,,,59.4280322,Ravi,,East-Tallinn Central Hospital,Tallinn,http://www.itk.ee/,,,,hospital,,EE
hospital,,,,,,,,,,,,25.5828945,,,,Jämejala Psühhiaatriakliinik,,,http://www.vmh.ee/psuhhiaatriakliinik,,,,,,,,,,58.3889134,,,,,,,,,,,
hospital,,public,,,,,,,AS Ida-Tallinna Keskhaigla,,8,24.7133450,,,,Järve haigla,,,,,,Tallinna Raudteehaigla,,no,Eesti Onkoloogiakeskuse Järve Haigla,,,Tallinna Raudteehaigla,59.3965488,Energia,,,Tallinn,,11316,1960,,hospital,,
hospital,391751,,,,,,,,,,2,26.3826230,,,,Jõgeva Haigla,,,http://www.jogevahaigla.ee/,,,,Maa-amet 2012,,,,,,58.7471490,Piiri,yes,,Jõgeva,,,,,,,EE
hospital,31375,,,,,,,,,,2,25.0197410,,,,Kallavere Haigla,,,,,,,Maa-amet 2012,,,,,,59.4760970,Haigla,yes,,Maardu,,,,,hospital,,EE
hospital,,,,,15,,,,,,27,24.7568930,4,,,Kesklinna Lastepolikliinik,,,,,,,,,,,,,59.4288590,Ravi,yes,,Tallinn,,,,,hospital,,EE
hospital,465155,,,,,,,,,,36,26.9807230,,,,Kiviõli polikliinik,,,,,,,Maa-amet 2013,,,,,,59.3553890,Keskpuiestee,yes,,Kiviõli,,,,,,,EE
hospital,623453,,,,,,,,,,29,25.1856905,,,,Kose Haigla,,,,,,,Maa-amet 2019,,,,,,59.1857728,Ravila mnt,yes,,Kose alevik,,75101,,,,,EE
hospital,456252,,,,,,,,,,66,24.6950825,4,,,LTK nakkuskliinik,,,,,,,Maa-amet 2012,,,,,,59.4302497,Paldiski mnt,yes,,Tallinn,,,,,hospital,,EE
hospital,,,,,,,,,,,,24.6912499,,,,Lääne-Tallinna Keskhaigla,,,,,,,,,,,,,59.4326859,,,,,,,,,hospital,,
hospital,73194,,,,,,,,,,,26.9978984,,,Võrumaa haigla,Lõuna-Eesti Haigla,,,,,,,Maa-amet 2019,,,,,,57.8087664,,hospital,,Meegomäe küla,,65526,,,hospital,,EE
hospital,638147,,,,,,,,,,1,28.1930900,6,,,Narva Haigla,,,,,,,Maa-amet 2012,,,,,,59.3626423,Haigla,yes,,Narva,,,,,,,EE
hospital,,,,,,,,,,,,24.7113685,,,,Pelgulinna Haigla,,,,,,,,,,,,,59.4364760,,,,,,,,,hospital,,
hospital,,,,,,,,,,,3,27.4116850,,,,Poliklinnik,,,,,,,Maa-amet 2012,,,,,,59.3618360,Nooruse,yes,,Jõhvi,,,,,hospital,25301:005:0027,EE
hospital,,,,,,,,,,,1,24.5446338,,general,,Pärnu Haigla,,,,,,,,,,,,,58.3873926,Ristiku,,Pärnu hospital,Pärnu,,,,,hospital,,
hospital,,,,,,,,,Pärnu Haigla,,2,24.5340338,,,,Pärnu Haigla Õendus-ja hoolduskeskus,,,,,,,,no,,,,,58.3726492,Ravi,,,Pärnu,,,,,hospital,,
hospital,,public,,,,,,Mustamäe haigla,SA Põhja-Eesti Regionaalhaigla,Северо-эстонская региональная больница,19,24.7021120,,,,Põhja-Eesti Regionaalhaigla,,info@regionaalhaigla.ee,,,+372 617 1200,,,yes,,,+372 617 1300,,59.3998370,Juhan Sütiste tee,,North Estonia Medical Centre,Tallinn,http://www.regionaalhaigla.ee/,13419,,,hospital,,
hospital,,,,,,,,Mustamäe haigla,,,,24.6975188,,,,Põhja-Eesti Regionaalhaigla,,,,,,,,,,,,,59.3971642,,,North Estonia Medical Centre,,http://www.regionaalhaigla.ee/,,,,hospital,,
hospital,,,,,,,,,,,,24.6913100,,,,Põhja-Eesti Regionaalhaigla psühhiaatriakliinik,,,,,,,,,,,,,59.4328923,,,,,,,,,hospital,,
hospital,311261,,,,,,,,,,1,26.3766666,4,,,Rakvere Haigla,,,,,,,Maa-amet 2012,,,,,,59.3365180,Lõuna põik,yes,,Rakvere,,,,,,,EE
hospital,273957,,,,,,,,,,1/2,26.3764032,,,,Rakvere haigla,,,,,,,Maa-amet 2019,,,,,,59.3354194,Lõuna põik,yes,,Rakvere,,44316,,,,,EE
hospital,267416,,,,,,,,,,1/3,26.3760099,,,,Rakvere haigla,,,,,,,Maa-amet 2019,,,,,,59.3350030,Lõuna põik,yes,,Rakvere,,44316,,,,,EE
hospital,276344,,,,,,,,,,1/1,26.3774700,,,,Rakvere haigla,,,,,,,Maa-amet 2019,,,,,,59.3352603,Lõuna põik,yes,,Rakvere,,44316,,,,,EE
hospital,25967,,,,,,,,,,1,24.7928732,,,,Rapla Haigla,Maa-amet,,,,,,Maa-amet 2019,yes,,,,,59.0074186,Alu tee,yes,,Rapla,,79515,,,,,EE
hospital,,,,,,,Q12376166,,SA Tallinna Lastehaigla,Таллинская Детская больница,28,24.7055012,,,,Tallinna Lastehaigla,,,http://www.lastehaigla.ee,,,,,yes,,,,,59.3986599,Tervise,,Tallinn Children's Hospital,Tallinn,,13419,,,hospital,,
hospital,,,,,,,,,,,,25.9630216,,,,Tapa Haigla,,,,,,,,,,,,,59.2696363,,,,,,,,,,,
hospital,,,,et:Tartu Ülikooli Kliinikum,,,Q7686870,Maarjamõisa haigla,,,8,26.6979120,,,,Tartu Ülikooli Kliinikum,,,,,,,,yes,,,,,58.3702668,Ludvig Puusepa,,Tartu University Hospital,Tartu,http://www.kliinikum.ee/,50406,,,hospital,,EE
hospital,215194,,Kase tee,,,8,,,,,3,25.5763861,,,,Viljandi haigla,,,http://www.vmh.ee,10,,,Maa-amet 2013,,,,,,58.3831279,Pärna tee,yes,,Jämejala küla,,,,1,,,EE
hospital,,,,,,,,,SA Viljandi Haigla,,,25.5755153,,,,Viljandi haigla,,,http://www.vmh.ee,,,,,,,,,,58.3815496,,,,,,,,,,,
hospital,574123,,,,,,,,,,15,24.7327250,,,,Wismari haigla,,,,,,,Maa-amet 2019,no,,,,,59.4321970,Wismari,yes,,Tallinn,,10136,,,hospital,,EE
