shop,seasonal,healthcare:speciality,building:part,postal_code,rooms,educamadrid:codigo_postal,name:ca,addr:housenumber,educamadrid:transporte,ele,source,emergency_telephone_code,educamadrid:cod_centro,contact:website,fax,short_name,sorting_name,material,educamadrid:nombre_via,wheelchair:description,addr:street,colour,fixme,name:en,contact:fax,name,designation,addr:postcode,roof:material,roof:orientation,educamadrid:horario_amp,name:eu,name:es,internet_access,name:ar,educamadrid:url,parking,loc_name,phone_1,wikipedia,educamadrid:comedor,ine:municipio,access,religion,ref,email,highway,barrier,contact:email,addr:province,denomination,educamadrid:numero_portal,ref:cadastre:building,roof:shape,emergency,b5m:urlOrto,addr:city,b5m:id,supervised,military,toilets:wheelchair,educamadrid:telefono,health_facility:type,wall,lon,educamadrid:bilingue,roof:colour,layer,height,indoor:level,educamadrid:tipo,alt_name,operator,fee,area,opening_hours,contact:phone,addr:housename,stars,catastro:ref,educamadrid:publico_bilingue,start_date,website,addr:unit,lanes,nohousenumber,source:date,phone,construction,old_name,name:zh,abandoned:building,source:url,landuse,roof:levels,amenity,educamadrid:municipio,operator:type,addr:hamlet,official_name,wikidata,addr:neighbourhood,medical_system:western,building:levels:underground,building:levels,note,b5m:url,description,building:material,fence_type,educamadrid:fax,source:date:pnoa,lat,local_code,building,building:colour,addr:city:es,url,wheelchair,addr:place,name:gl,educamadrid:tipo_via,healthcare,addr:country
,,,,,,,,,,,b5m,,,,,,,,,,,,,,,Aita Menni ospitalea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5290782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.0631319,,hospital,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Almacén General,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1636974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9305622,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio Vallobin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,Uviéu/Oviedo,,,,,,,,-5.8660012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.3687426,,yes,,,,,,,,,
,,,,,,,,2,,,,,,,,,,,,,Calle la Lila,,,,,Ambulatorio de La Lila,,33002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oviedo,,,,yes,,,,-5.8479926,,,,,,,,,,,,,,,,,,,,,,,+34 985 10 89 00,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.3647752,,hospital,,,,yes,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de La Luz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9084077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,43.5408570,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de Nueva Andalucia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.9748914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,36.5011759,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorio de la luisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.2460505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.5268029,,,,,,,,,,hospital,
,,,,,,,,,,,,,,,,,,,,,,,,,,Anatomía Patológica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1618989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.9337437,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Antiguo Hospital Militar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-5.9721625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,37.3465475,,yes,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Antiguo Hospital del Carmen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.9345188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,38.9908042,,yes,,,,,,,,,
