short_name:sv,amenity,source:location,healthcare:speciality,addr:housename,contact:website,roof:colour,addr:unit,official_name,lon,email,wikidata,alt_name,operator,name:ru,old_name:sv,is_in,addr:housenumber,old_name:fi,short_name,operator:wikipedia,building:levels,name:fi,operator:type,wikipedia,note,source,old_name,start_date,website,alt_name:fi,fax,emergency,source:name,opening_hours,phone,old_name:en,building:use,lat,name:sv,alt_name:sv,addr:street,building,colour,fixme,name:en,name,wheelchair:description,level,url,addr:postcode,wheelchair,area,addr:city,healthcare,toilets:wheelchair,operator:wikidata,addr:country,internet_access
,hospital,,,,,,,,22.8509886,,,,,,,,5,,,,,,,,,,,,,,,no,,,,,,63.2452453,,,Kanttorintie,,,,,Alahärmän terveysasema,,,,62300,,,Härmä,hospital,,,,
,hospital,,,,,,,,23.8269042,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,62.9963989,,,,yes,,,,Alajärven terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,27.6664430,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,62.8867831,,,,,,,,Alavan sairaala,,,,,,,,hospital,,,,
,hospital,,general,,,,,,23.6258106,,,,Pihlajalinna,,,,10,,,,,,,,,MML,,,,,,yes,,,,,,62.5865728,,,Salmentie,hospital,,,,Alavuden pääterveysasema,,,,63300,yes,,Alavus,,,,FI,
,hospital,,,,,,,,24.9276243,,Q11853546,,,,,,,,,,,Auroran sairaala,,,,,,,,,,,,,,,,60.1953508,Aurorasjukhuset,,,,,,Aurora hospital,Auroran sairaala,,,,,,,Helsinki,,,,,
,hospital,,,,,,,,21.4013514,,,,,,,"Kristinestad, Finland",,,,,,Selkämeren sairaala,,,,,,,,,,,,,,,,62.2711631,Bottenhavets sjukhus,,,,,,,Bottenhavets sjukhus,,,,,,,,,,,,
,hospital,,,,,,,,24.9102208,,,,,,,,2,,,,,,,,,,,,https://www.docrates.com/en/,,,,,,+358107732000,,,60.1600741,Docrates Cancersjukhus,,Saukonpaadenranta,,,,Docrates Cancer Center,Docrates Syöpäsairaala,,,,00180,,,Helsinki,,,,,
,hospital,,,,,,,,24.9421429,helpdesk@eiransairaala.fi,Q3068461,,,,,,29,,,,,Eiran sairaala,,,,,,,https://www.eiransairaala.fi/,,+35891620579,,,,+35891620570,,,60.1578506,Eira sjukhus,,Laivurinkatu,,,,Eira Hospital,Eiran sairaala,,,,00150,,,Helsinki,hospital,,,,
,hospital,,,,,,,,30.1550859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.8013526,,,,,,,,Enon terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,25.9277463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.7955369,,,,,,,,Ensiapu,,,,,,,,hospital,,,,
,hospital,,,,,,,,24.6854098,,Q62023330,,,,,,6,,,,,,,,,,,,https://www.espoo.fi/fi-FI/Sosiaali_ja_terveyspalvelut/Terveyspalvelut/Sairaalahoito/Espoon_uusi_sairaala,,,,,,,,,60.2216861,,,Karvasmäentie,hospital,,,,Espoon sairaala,,,,02740,,,Espoo,,,,,
,hospital,,,,,,,,24.6886105,,,,,,,,,,,,,Espoon sairaala päivystysosasto,,,,,,,,,,,,,,,,60.2225734,Esbo sjukhus jouravdelning,,,hospital,,,Espoo hospital emergency,Espoon sairaala päivystysosasto,,,,,,,,,,,,
,hospital,,,,,,,,24.6608261,,,,,,,,,,,,,Espoonlahden terveysasema,,,,,,,,,,,,,,,,60.1492004,Esbovikens hälsostation,,,yes,,,Espoonlahti helth station,Espoonlahden terveysasema,,,,,,,,,,,,
,hospital,,,,,,,,23.4709993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.3668362,,,,yes,,,,Evijärven terveyskeskus,,,,,,,,,,,,
,hospital,,,,,,,,23.6357557,,Q55095758,,,,,,,,,,,Forssan sairaala,,,,,,,,,,yes,,,,,,60.8206204,,,,,,,,Forssan sairaala,,,,,,,,hospital,,,,
