health_facility:type,maxspeed,source:name:oc,healthcare:speciality,contact:postcode,social_facility,name:co,payment:cash,postal_code,CLC:code,ref:FR:FINESS,capacity:parent,children,is_in,addr:housenumber,lit,alt_name_1,electricity,tourism,name:de,source,location,capacity:disabled,image,fax,payment:discover_card,junction,short_name,source:name,ref:FR:SIREN,name:als,leisure,ref:FR:SIRET,historic,facebook,motor_vehicle,foot,internet_access:ssid,source:FINESS,smoothness,wikimedia_commons,addr:street,bmo:type,architect:wikipedia,fixme,name:en,contact:fax,name,official_name,level,type:FR:FINESS,addr:postcode,name:etymology:wikidata,shortest_name,source:geometry:date,ref:mhs,contact:email,maternity,operator_type,CLC:id,disused,type:FR:PLU,source:addr:housenumber:ref,payment:mastercard,bicycle,twitter,parking,loc_name,payment:credit_cards,AUCAME:ID_Unique,source:addr,capacity,network,internet_access:fee,political_division,wikipedia,access,url:merime,source:heritage,boundary,ref,email,highway,barrier,healthcare,name:br,roof:shape,alt_name:br,ref:structurae,contact:twitter,ref:FR:FANTOIR,wall,operator:short_name,inscription:fr,health_facility_type,tracktype,source:geometry,addr:city,source:building,CLC:year,military,toilets:wheelchair,internet_access,old_short_name,health_amenity:type,addr:territoire,maxstay,name:oc,lon,contact:website,survey:date,layer,addr:streetnumber,height,name:source,alt_name,type,operator,name:pl,contact:city,source:alt_name:br,area,opening_hours,contact:phone,addr:housename,description1,whc:inscription_date,source:name:br,heritage,park_ride,start_date,website,contact:housenumber,nohousenumber,capacity:women,source:date,phone,construction,old_name:en,old_name,mhs:inscription_date,ref:FR:NAP,aeroway,architect,dispensing,ref:FR:NAF,url:drac,landuse,source:amenity,roof:levels,source:ref:FR:FINESS,addr:street_1,amenity,operator:type,entrance:width,source:addr:version,updated,surface,building:level,wikidata,hospital:for,payment:notes,social_facility:for,operational_status,emergency,addr:district,building:levels,provided_for,cycleway,note,operator:wikipedia,name:fr,contact:street,AUCAME:ID_Source,description,building:material,note:fr,addr:full,fence_type,emergency_phone,payment:visa,old_name:wikipedia,roof:colour,lat,medical_system:western,building,building:colour,natural,payment:coins,url,wheelchair,addr:place,dog,beds,entrance:step_count,ref:whc,oneway,entrance:step:height,addr:country,heritage:operator,operator:wikidata
,,,,,,,,,,490000155,,,,15,,,,,,,,,,,,,ICO,,,,,,,,,,,,,,rue André Boquel,,,,,,(ICO) Institut de Cancérologie de l'Ouest - Centre Paul Papin,,,131,49055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angers Cedex 02,,,,,,,,,,,-0.5565815,,,,,,,Centre Paul Papin,,Institut de Cancérologie de l'Ouest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,private,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4836332,,hospital,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,extraction vectorielle v1 cadastre-dgi-fr source : Direction Générale des Impôts - Cadas. Mise à jour : 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,A.U.R.A. Auvergne Dialyse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0497259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.7794328,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre ; mise à jour : 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,ARGOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,7.7446100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.5746199,,hospital,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Abri Montagnard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.5997900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.9915590,,yes,,,,,yes,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Impôts - Cadastre. Mise à jour : 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,Abri Montagnard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6248630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0004400,,yes,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,cadastre-dgi-fr source : Direction Générale des Finances Publiques - Cadastre. Mise à jour : 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,Allée des Dryades,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,residential,,,,,,,,,,,,,,,,,,,,,,,,,,4.8894999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.9107463,,,,,,,,,,,,,,,,,
,,,,,,,,,,510002470,,,,,,,,,,,,,,,,,,,,,,26510005700032,,,,,,,,,,,,,,,American Memorial Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,4.0175041,,,,,,,,,CHU de Reims,,,,,,,,,,,,,1924-01-01,,,,,,,,,,,,,,,,,,,,,,hospital,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49.2310785,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancien Hopital de Monbran (fermé),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6009845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.2331905,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,connaissance locale,,,,,,,,,,,,,,,,,,,,,,,,,,,Ancien Hôpital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-61.0575732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8346374,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rue Maître Georges Lefêvre,,,,,,Ancien hôpital,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,Saint-Pierre,,,,,,,,,,,-56.1727707,http://www.ch-fdunan.fr/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.7828865,,,,,,,,,,,,,,,FR,,
