health_facility:type,amenity,int_name,healthcare:speciality,addr:housename,contact:website,roof:colour,social_facility,addr:suburb,seamark:building:function,height,lat,wikidata,alt_name,lon,social_facility:for,operator,name:ru,ele,name:mk,is_in,addr:housenumber,short_name,barrier,area,building:levels,opening_hours,contact:phone,wikipedia,wikipedia:el,name:de,note,source,name:fr,addr:street,ref,email,website,fax,name:nl,description,emergency,contact:email,bus,addr:full,fence_type,phone,name:el:en,old_name,date,operator:type,name,building,name:el,fixme,name:en,contact:fax,addr:city,level,url,addr:postcode,wheelchair,addr:place,start_date,healthcare,military,toilets:wheelchair,landuse,addr:country,seamark:type,history
,hospital,,,,,,,,,,37.9883944,,,23.7794328,,,,,,,,,fence,,,,,,,,fence,,,,,,,,,,yes,,,,,,,,,,251 Γενικό Νοσοκομείο Αεροπορίας,,,,,,,,,,,,,hospital,military,,,,,
,hospital,,,,,,,,,,38.2370798,,,21.7567715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,409 Γ.Σ. Νοσοκομείο,,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,38.0595865,,,23.8718220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,414 ΣΤΡΑΤΙΩΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ ΕΙΔΙΚΩΝ ΝΟΣΗΜΑΤΩΝ,,,,,,,,,,,,,,,,military,,,
,hospital,,,,,,,,,,40.6734790,,,22.9631628,,,,,,,,,,,,,,,,,,,,Περιφερειακή Οδός Θεσσαλονίκης,,,,,,,no,,,,,,,,,,424 Γενικό Στρατιωτικό Νοσοκομείο Εκπαιδεύσεως,hospital,424 Γενικό Στρατιωτικό Νοσοκομείο Εκπαιδεύσεως,,424 Army General Hospital,,Ευκαρπία,,http://armyold.army.gr/structure/eg/dieuthinseis/DYG/424_Web/424/index.html,56403,,,,,,,,,,
,hospital,,,,,,,,,,38.2338669,,,21.7474629,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agios Andreas Hospital,yes,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,35.2137759,,,24.6081181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Agkali Eldery Care Homes,,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,37.8802789,,,23.7545657,,,,,,,,,,,,,,,,,,,,Κολοκοτρώνη,,,,,,,,,,,,,,,,,Athens Eye Hospital,hospital,,,,,,,,,,,,hospital,,,,,,
,hospital,,,,,,,,,,36.3857404,,,28.1996174,,,,,,,,,,,,,,,,,,,,,,,https://www.euromedica-rhodes.gr/,,,,yes,,,,,,,,,,Euromedica,,,,,,,,,,,,,,,,,,,
,hospital,,,,,,,,,,38.1690720,,,20.4931067,,,"Souidias 17, Agrostoli 281 00 +30 2671 038080",,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,General Hospital of Kefalonia,,,,,,,,,,,,,,,,,,,
,hospital,,general;emergency,,,,,,,,35.3651715,,,24.4711619,,,,,,,,,,,,,,,,,,,,Τρανταλλίδη,,,,,,,yes,,,,,,,,,,General Hospital of Rethymno,yes,Γενικό Νοσοκομείο Ρεθύμνου,,,,Ρέθυμνο,,,74132,,,,hospital,,,,,,
,hospital,,,,,,,,,,35.5104877,,,24.0158803,,,,,,,76,,,,,,,,,,,,,Μάρκου Μπότσαρη,,,,,,,,,,,,2821070800,,,,,IASIS HOSPITAL,,IASIS κλινική Γαβριλάκη,,,,,,,73136,,,,hospital,,,,,,
,hospital,,,,,,,,,,35.4936225,,,23.6534994,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,Medical Center,,,,,,,,,,,,,,,,,,,
