comment,amenity,healthcare:speciality,wikipedia,lon,loc_name,wikidata,alt_name,full_name,operator,addr:housenumber,barrier,area,building:levels,short_name,source,roof:material,email,highway,website,fax,description,emergency,phone,doctors,lat,name:hu,name:hr,name:sr,addr:street,building,name:en,name,wheelchair:description,roof:shape,addr:postcode,wheelchair,addr:city,name:lt,healthcare,name:sr-Latn,toilets:wheelchair,addr:country,name:it
,hospital,,,15.6424358,,,,,,2,,,,,,,,,,,,yes,,,43.7997430,,,,Istočna gomilica,yes,,Ambulance,,,,,Tisno,,,,,,
,hospital,,,17.1360949,,,,,,,,,,,,,,,,,,,,,42.9497015,,,,,yes,,Ambulanta,,,,,,,,,,,
,hospital,,,18.8369970,,,,,,,,,,,,,,,,,,,,,45.1926141,,,,,yes,,Ambulanta,,,,,,,,,,,
,hospital,,,17.5587097,,,,,,,,,,,,,,,,,,,,,43.0171978,,,,,,,Ambulanta,,,,,,,,,,,
,hospital,,,15.6881470,,,,,,,,,,,,,,,,,,,,,45.8379284,,,,,yes,,Ambulanta Bregana,,,,,,,,,,,
,hospital,,,16.9625699,,,,,,93B,,,,,,,,,,,,no,+385 048 836 020,,46.1558381,,,,Bana Josipa Jelačića,yes,,Ambulanta Hlebine,,,48323,,Hlebine,,hospital,,,,
,hospital,,,15.2459486,,,,,,,,,,,,,,,,,,,,,44.0335293,,,,,yes,,Ambulanta Kukljica,,,,,,,,,,,
,hospital,,,14.5588802,,,,,,,,,,,,,,,,,,no,,,45.1951609,,,,,yes,,Ambulanta Omišalj Dina,,,,,,,,,,,
,hospital,,,15.8141299,,,,,,,,,,,,roof_tiles,,,,,,no,,,45.7989907,,,,,yes,,Ambulanta Rakitje,,gabled,,,,,,,,,
,hospital,,,15.5412476,,,,,,48,,,,,,roof_tiles,,,,,,,,,45.4919012,,,,Vladka Mačeka,yes,,Bolnica Dubovac,,gabled,47000,,Karlovac,,,,,,
,hospital,,,17.1613121,,,,Specijalna bolnica za medicinsku rehabilitaciju Lipik,,,,,,,,,,,,,,,,,45.4142119,,,,,,,Bolnica Lipik,,,,,,,hospital,,,,
,hospital,,,16.6323292,,,,,,26,,,,,,,,,,,,yes,,yes,43.6997894,,,,Put Ruduše,hospital,,Bolnica Sinj,,,,,,,,,,,
,hospital,,,13.6356206,,,,,,,,,,,,,,,,,,yes,,,45.0981516,,,,Ulica Luigija Montija,,,Bolnica za ortopediju i rehabilitaciju Prim. dr. Martin Horvat,,,,yes,,,,,yes,,
,hospital,,,15.5397013,,,,,,,,,,,,,,,,,,,,,45.4775616,,,,,,,Bolnica Švarča,,,,,,,,,,,
,hospital,,,16.0091076,,,,,,1,,,,,,,,,,,,no,,,45.7884165,,,,Zdeslava Turića,hospital,,Borovje,,,10000,yes,Zagreb,,,,,,
,hospital,,,14.3661869,,,,,KBC Rijeka,43,,,,,,,,,,,,yes,,,45.3423575,,,,Istarska ulica,,,Dječja bolnica Kantrida,,,51000,,Rijeka,,hospital,,,,Ospedale pediatrico Cantrida
,hospital,,,15.9929114,,,,,,,,,,,,,,,http://www.bolnica-srebrnjak.hr/,,,,,,45.8252371,,,,,hospital,,Dječja bolnica Srebrnjak,,,,,,,,,,,
,hospital,,,18.0936937,,,,,,1,,,,,,,,,,,,,,,42.6476032,,,,Dr. Ante Starčevića,,,Dom Zdravlja,,,20000,,,,,,,,Casa della Salute
,hospital,,,18.1640176,,,,,,,,,,,Bing maps,,,,,,,,,,45.7634202,,,,,yes,,Dom Zdravlja,,,,,,,,,,,
,hospital,,,13.6610740,,,,,,,,,,,,,,,,,,no,,,45.4077391,,,,,hospital,,Dom Zdravlja Buje - Ambulatorio Medico Buie,,,,,,,,,,,
,hospital,,,16.0670266,,,,,,,,,,,,,,,http://www.lobor-grad.hr,,,,,,46.1215726,,,,,,,Dom za psihički bolesne odrasle osobe,,,,,,,,,,,
,hospital,,,18.7121001,,,,,,32,,,,,,,,,,,,,,,45.5472882,,,,Kaštelanska,yes,,Dom zdravlja,,,,,,,,,,,
,hospital,,,16.9075614,,,,,,,,,,,,,,,,,,,,,45.2692773,,,,,yes,,Dom zdravlja,,,,,,,,,,,
,hospital,,,18.7128297,,,,,,,,,,,,,,,,,,,,,45.5474653,,,,,,,Dom zdravlja,,,,,,,hospital,,,,
