comment,roof:levels,amenity,start_date,healthcare:speciality,lon,contact:website,roof:colour,addr:suburb,official_name,height,source:date,wikidata,alt_name,operator,internet_access,addr:housenumber,capacity,emergency,religion,building:levels,opening_hours,contact:phone,wikipedia,name:de,note,source,roof:material,ref,email,website,fax,description,short_name,contact:email,building:material,fence_type,contact:facebook,leisure,denomination,barrier,phone,old_name,lat,wikimedia_commons,addr:street,building,building:colour,fixme,name:en,contact:fax,name,roof:shape,url,addr:postcode,wheelchair,addr:place,CLC:surfaceoverlap,addr:city,CLC:year,healthcare,source:url,url:miserend,toilets:wheelchair,CLC:id,disused,addr:country,CLC:code
,,hospital,,,18.2070318,,,,,,,,,,,13,,yes,,,,,,,,,,,,,,,,,,,,,,,,,46.0750451,,Ifjúság útja,hospital,,,,,400 ágyas klinika,,,7624,,,,Pécs,,,,,,,,,
,,hospital,,,18.9569958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.4897014,,,yes,,,,,5/2,,,,,,,,,,,,,,,,
,,,,,16.5973818,,,,,,,,,,,,,,,,,,,,,,,A,,,,,,,,,,,,,,,47.6765585,,,yes,,,,,A. épület,,,,,,,,,,,,,,,,
,,hospital,,,19.6811771,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,47.6705765,,,yes,,,,,Albert Schweitzer Kórház,,,,,,,,,,,,,,,,
,,hospital,,,19.6815111,,,,,,,,,,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,47.6712289,,,yes,,,,,Albert Schweitzer Kórház,,,,,,,,,,,,,,,,
,,hospital,,,20.2902210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2092951,,,,,,,,Almási Balogh Pál Kórház,,,,,,,Ózd,,,,,,,,,
,,hospital,,dental_oral_maxillo_facial_surgery,19.0688216,,,,,,,,,Semmelweis Egyetem,,52,,,,4,,,,,,,,,,http://semmelweis.hu/szajsebeszet/,,,,,,,,,,,,,47.4876344,,Mária utca,hospital,,,,,Arc- Állcsont- Szájsebészeti és Fogászati Klinika,,,1085,no,,,Budapest,,hospital,,,,,,,
,,hospital,,nephrology,17.7975935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3590587,,,hospital,,,,,B. Braun Avitum 4. számú Dialízisközpont,,,,,,,,,hospital,,,,,,,
,,,,,16.5997889,,,,,,,,,,,,,,,,,,,,,,,B,,,,,,,,,,,,,,,47.6756806,,,yes,,,,,B. épület,,,,,,,,,,,,,,,,
,,hospital,,,18.7013515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.3457124,,,,,,,,Balassa János Kórház,,,,,,,,,,,,,,,,
,,hospital,,,18.6974922,,,,,,,,,,,5-7,,,,,,,,,,,,,,http://www.tmkorhaz.hu,,,,,,,,,,,+3674501500,,46.3452062,,Béri Balogh Ádám utca,,,,,,Balassa János Kórház,,,7100,,,,Szekszárd,,,,,,,,,
,,hospital,,,18.2196927,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0722988,,Rákóczi út,,,,,,Baranya Megyei Kórház,,,7623,,,,Pécs,,,,,,,,,
,,hospital,,,19.0896899,,,,Magyarországi Református Egyház Bethesda Gyermekkórháza,,,Q25455945,,,,3,,,,,,,,,,,,,bethesda@bethesda.hu,https://www.bethesda.hu/,+3613649070,,,,,,,,,,+3613649020,,47.5175802,,Bethesda utca,,,,,,Bethesda Gyermekkórház,,,1146,yes,,,Budapest,,,,,yes,,,HU,
,,hospital,,,19.0297530,,,,,,,,,,,5-9,,yes,,,,,,Budaer Kinderkrankenhaus,,,,,,http://www.janoskorhaz.hu/megkozelites-budai-gyermekkorhaz/,,,,,,,,,,,,,47.5179150,,Bolyai utca,,,,Buda Children's Hospital,,Budai Gyermekkórház,,,1023,,,,Budapest,,,,,,,,,
,,hospital,,,19.9286501,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,47.7877141,,,,,,,,Bugát Pál Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.9297544,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,47.7889463,,,,,,,,Bugát Pál Kórház,,,,,,,,,hospital,,,,,,,
,,hospital,,,19.3331702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.1257620,,,,,,,,Bácsalmási Egészségügyi Központ,,,,,,,Bácsalmás,,,,,,,,,
,,hospital,,,18.2161555,,,,,,,,,,,,,,,,,,,,,,,,,,,"2013. december 9-től a Bőr-, Nemikórtani és Onkodermatológiai Klinika átköltözött az új, Akác utcai telephelyére.",,,,,,,,,,,46.0804094,,,,,,,,"Bőr-, Nemikórtani és Onkodermatológiai Klinika",,,,,,,,,,,,,,,,
,,,,,16.6004936,,,,,,,,,,,,,,,,,,,,,,,C,,,,,,,,,,,,,,,47.6761066,,,yes,,,,,C. épület,,,,,,,,,,,,,,,,
,,hospital,,,19.0084153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.5305198,,,yes,,,,,Csatárka úti rendelő,,,,,,,,,,,,,,,,
,,hospital,,,17.9099736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.0893375,,,,,,,,Csolnoky Ferenc Kórház,,,,,,,,,,,,,,,,
,,,,,16.6004778,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,47.6759909,,,yes,,,,,D. épület,,,,,,,,,,,,,,,,
,,hospital,,,18.2255847,,,,,,,,,,,,,,,,,,,,,,,,,http://davincimaganklinika.hu/,,,,,,,,,,,,,46.0898550,,,,,,,,Da Vinci magánklinika,,,,,,,,,,,,,,,,
,,hospital,,,21.6055168,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,47.5341087,,,,,,,,Debreceni Egyetem Kenézy Gyula Kórház,,,,yes,,,,,,,,,,,,
,,hospital,,,16.5817516,,,,,,,,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,47.6963129,,,yes,,,,,Dentalklinik & Laserklinik Dr. Tóka,,,,,,,,,,,,,,,,
,,hospital,,,19.0813282,,,,,,,,,Nyírő Gyula Kórház,,,,,,,,,,,,Bing,,,,,,,,,,,,,,,,,47.5278817,,,yes,,,,,Detoxikáló,,,,,,,,,,,,,,,,
,,hospital,,,17.4414526,,,,,,,,,,,1-3,,,,,,,,,,,,,,http://www.tapolcakorhaz.hu,,,,,,,,,,,+36 87 411-655,,46.8845052,,Ady Endre utca,,,,,,Deák Jenő Kórház,,,8300,,,,Tapolca,,,,,,,,,
,,hospital,,,20.7203154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.0911889,,,,,,,,Diósgyőri Kórház,,,,,,,,,,,,,,,,
,,hospital,,,18.7335302,,,,,,,,,,,6,125,yes,,,,,,,,,,,info@dorogkorhaz.hu,,,,,,,,,,,,,,47.7198608,,Kossuth Lajos utca,,,,,,Dorogi Szent Borbála Szakkórház,,,2510,,,,Dorog,,hospital,,,,,,,
,,hospital,,,20.2507897,,,,,,,,,,,44-58,,yes,,,,,,,,,,,,https://www.szentesi-korhaz.hu/,,,,,,,,,,,+36 63 313 244,,46.6641205,,Sima Ferenc utca,,,,,,Dr. Bugyi István Kórház,,,6600,,,,Szentes,,hospital,,,,,,,
