amenity,alt_name:en,contact:facebook,healthcare:speciality,wikipedia:en,alt_name:ga,official_name,operator,addr:townland,wikidata,alt_name,HSE_code,is_in,addr:housenumber,barrier,lon,opening_hours,operator:type,wikipedia,addr:full,note,source,logainm:url,addr:postal_district,start_date,website,HSE_region,fax,loc_name,description,emergency,addr:housename,contact:phone,year_of_construction,fixme,phone,logainm:ref,old_name,lat,smoking,addr:country,old_name:ga,addr:street,building,name:ga,name:en,name,addr:postcode,wheelchair,source:geometry,addr:city,beds,HSE_hgid,HSE_hgroup,healthcare,toilets:wheelchair,email
hospital,,,,,,,,,,,,,,,-7.3437598,,,,,,,,,,,,,,,,,,,,,,,52.9125186,,,,,,,,Abbeyleix District Hospital,,yes,,,,,,,,
hospital,,,,,,,,,Q4825819,,,,,,-7.2719856,,,,,,,,,,https://autevenhospital.ie,,,,,no,,,,,+353 56 777 5275,,,52.6759357,,,,Freshford Road,,,,Aut Even Hospital,,,,Kilkenny,,,,hospital,,
hospital,,,,,,,HSE,,,,,,,,-6.2434451,,,,,,,,,,,,,,,no,,,,,,,,53.3340261,,,,Baggot Street Upper,,,,Baggot Street Community Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-9.1658476,,,,,,,,,,,,,,,,,,,,,,,54.1155684,,,,,,,,Ballina District Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,,,,,Tully,,-7.8032363,,,,,,,,,,,,,,,,,,,,,,,54.0506213,,,,,,,,Ballinamore Community Nursing Unit & Primary Care Centre,,,,Ballinamore,,,,hospital,,
hospital,,,,,,,,,,,,,,,-8.7253211,,,,,,,,,,,,,,,,,,,,+353 23 884 1403,,,51.7446378,,,,,,,,Bandon Community Hospital,P27 W564,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q4857253,,202,,,,-9.4492159,,,en:Bantry General Hospital,,,,,,,,South West,,,,,,,,,,,,51.6770362,,,,,,,,Bantry General Hospital,,,,,,5,South/South West Hospital Group,hospital,,
hospital,,,,,,,The Barretstown Camp Fund Ltd.,,,,,,,,-6.5998605,,,,,,,,,,,,,,,no,Barretstown Castle,,,,,,,53.1538336,,,,,,,,Barretstown Gang Camp,W91 RDX6,,,,,,,,,
hospital,,,,,,,,,Q4877565,,,,,,-6.2221990,,,,,,,,,,,,,,,yes,,,1987,,,,,53.3923659,,,,,,,,Beaumont Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,,,,,,-7.9003438,,,,,,,,,,,,,,,,,,,,,,,53.0971271,,,,,,,,Birr Community Hospital and Nursing Home,,,,,,,,hospital,,
hospital,,,,,,,,,Q4923313,,,,,,-6.1879273,,,,,,,,,,,,,,,,,,,,,,,53.3049726,,,,,,,,Blackrock Clinic,,,,,,,,,,
hospital,Bloomfield Hospital,,,,Ospidéal Bloomfield,,Bloomfield Care Centre CLG,,,,,,,,-6.3062087,,,,,,,,,,https://www.bloomfield.ie,,+353-1-4951006,,,no,,,,,+353-1-4950021,,,53.2729512,,,,Stocking Lane,,,,Bloomfield Health Services & Quaker House,D16 C6T4,,,,,,,,,info@bloomfield.ie
hospital,,,,,,,,,Q4941007,,,,,,-6.2678802,,,,,,,,,,https://www.bonsecours.ie/index.cfm/page/dublin,,,,,no,,,,,,,,53.3764215,,,,Glasnevin Hill,,,,Bon Secours Hospital,,,,Dublin,,,,hospital,,
hospital,,,,,,,,,Q4941009,,,,,,-9.7128287,,,"en:Bon Secours Hospital, Tralee",,,,,,,,,,,,,,,,,,,,52.2691800,,,,,,,,Bon Secours Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q4941006,,,,,,-8.4984717,,,,,,,,,,https://www.bonsecours.ie/cork,,,,,,,,,,+353 21 454 2807,,,51.8909605,,,,College Road,,,,Bon Secours Hospital,T12 DV56,,,Cork,,,,hospital,,
hospital,,,,,,,,,Q4941008,,,,,,-9.0201572,,,,,,,,,,http://www.bonsecoursireland.org/index.cfm/page/galway,,,,,,,,,,,,,53.2767467,,,,,,,,Bon Secours Hospital Galway,,,,,,,,hospital,,
hospital,,,orthopaedics,,,,,,Q5036107,,,,,,-6.3249131,,,,,,,,,,,,,,,no,,,,,,,,53.3923766,,,,,,,,Cappagh National Orthopaedic Hospital,,,,,,,,hospital,,
hospital,,,,,,,HSE,,Q5054847,,702,,,,-7.3746693,,government,,,,Bing,,,,,Dublin North East,+353-49-4361065,,,yes,,,,"Incomplete, mapped to edge of tile and boundaries to be confirmed",+353-49-4376000,,,54.0009210,,,,Golf Links Road,,,,Cavan General Hospital,,,,,,4,RCSI Hospitals Group,hospital,,
hospital,,,psychiatry,,,,Health Service Executive,,Q18646114,,,,,,-6.2438793,,,en:Central Mental Hospital,,,,,,,http://www.centralmentalhospital.ie/en/,,,,,no,,,,,,,,53.2994618,,,,Dundrum Road,,An Príomh Oispidéal Meabhar Ghalar,Central Mental Hospital,Central Mental Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,Q5061766,,,,,,-6.2016274,,,,,,,,,,https://www.crc.ie,,+353-1-8336633,,,no,,,,,+353-1-8542200,,,53.3701396,,,,,,,,Central Remedial Clinic,,yes,,,,,,hospital,,info@crc.ie
hospital,,,,,,,,,Q65041373,,,,,,-6.3723067,,,,,,,,,,,,,,,,,,,,,,,53.3436337,,,,,,,,Cherry Orchard Hospital,,,,,,,,hospital,,
hospital,,,,,,,,,,Mount Carmel Community Hospital,,,,,-8.8770657,,,,,,,,,,,,,,,,,,,,,,,51.6315015,,,,,,,,Clonakilty Community Hospital,,,,,,,,hospital,,
