healthcare_1,healthcare:speciality,building:part,social_facility,postal_code,contact:yelp,is_in,addr:housenumber,contact:alt_mobile,religion,electricity,created_by,name:de,source,covered,it:fvg:ctrn:code,Longitude,image,ISTAT,fax,short_name,material,contact:facebook,leisure,foot,addr:street,fixme,name:en,contact:fax,name,wheelchair:description,level,addr:postcode,addr:state,internet_access:fee,disused,internet_access,email:pec,name:it,parking,loc_name,cafeteria,emergency:conditional,operational_status,wikipedia,contact:alt_phone,access,addr:province,ref,email,highway,addr:full,barrier,contact:email,importance,roof:shape,key,contact:twitter,FEATURE_ID,health_specialty:paediatrics,insurance:health,refugees,source:geometry,addr:city,roof,toilets:wheelchair,health_amenity:type,lon,contact:website,layer,height,email_1,alt_name,operator,ele,ref:vatin,fee,service,area,opening_hours,contact:phone,addr:housename,rer_edi_id:ref,elevator,contact:mobile,park_ride,start_date,website,addr:unit,phone,surface,old_name,smoking,name:zh,type,it:fvg:ctrn:revision,aeroway,landuse,wheelchair,amenity,operator:type,addr:place,addr:hamlet,reg_name,telephone,official_name,Latitude,wikidata,social_facility:for,water_source,information,emergency,building:levels,contact:instagram,note,operator:wikipedia,name:fr,ref:corine_land_cover,name:nl,description,healthcare,fence_type,linkpdf,first_aid,levels,trees,what3words,lat,building,url,roof:levels,wifi,name:fur,beds,oneway,addr:country,operator:wikidata
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118 Bologna Soccorso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2690951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3437299,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.S.L.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1351650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.4106947,,,,,,,,,
,,,,,,,1,,,,,,,,,,,,,,,,,,Piazza Andrea Willy Burgo,,,,A.S.L. CN1 - Avis,,,12039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Verzuolo,,,,7.4813442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.6019500,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.S.L. NA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,14.2274090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.8478584,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A.S.L. Roma C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5298555,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.8776857,,,,,,,,,
,,,,,,,,,,,,,Regione Liguria,,,,,,,,,,,,,,,,ANFASS Savona,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4856439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.3149142,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOVV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.4001921,,,,,,Azienda Ospedaliera di Valtellina e Valchiavenna,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,46.3226233,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APSS Banca del Sangue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1269017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,46.0617251,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,APSS Villa Igea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1275484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.0618130,yes,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7809218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,no,,,,,,,,,,,,,,,,39.8241042,,,,,,,,,
