roof:levels,amenity,healthcare:speciality,lon,contact:website,roof:colour,official_name,height,wikidata,addr:approximate,operator,name:ru,addr:housenumber,name:lt,building:levels,opening_hours,image,wikipedia,source,addr:contact,addr:street,email,highway,website,emergency,phone,lat,smoking,name,building,name:en,addr:city,roof:shape,url,addr:postcode,wheelchair,roof:orientation,healthcare,postal_code,landuse,addr:country,internet_access
,hospital,,24.7082329,,,,,Q20503629,,,,,,,,https://upload.wikimedia.org/wikipedia/commons/9/92/Abromi%C5%A1ki%C5%B3_sanatorija.JPG,lt:Abromiškių reabilitacijos ligoninė,,,,,,,,,54.7670843,,Abromiškių reabilitacijos ligoninė,yes,,,,,,,,,,,,
,hospital,,24.3659236,,,,,,yes,,,,,,,,,,,,,,,,,55.7339799,,Akušerijos skyrius,yes,,Panevėžys,,,,,,,,,,
,hospital,,24.0406259,,,,,Q14956894,,,,12,,,,,lt:Alytaus apskrities S. Kudirkos ligoninė,,,Ligoninės g.,,,,yes,,54.3989181,,Alytaus apskrities S. Kudirkos ligoninė,yes,,Alytus,,,,,,,,,,
,hospital,,24.0419898,,,,,,,,,,,,,,,,,,,,,,,54.4134506,,Alytaus tuberkuliozės ligoninė,yes,,,,,,,,,,,,
,hospital,,25.3172839,,,,,,,,,59,,,,,,,,Antakalnio g.,,,,,,54.7107159,,Antakalnio poliklinika,yes,,Vilnius,,,,,,,,,,
,hospital,,25.1206266,,,,,,,,,,,,,,,,,,,,,,,55.5207958,,Anykščių rajono savivaldybės ligoninė,,,,,,,,,,,residential,,
,hospital,,23.7219127,,,,,,,,,,,,,,,,,,,,,,,55.6390219,,Baisogalos ligoninė,yes,,,,,,,,,,,,
,hospital,,25.3385303,,,,,,,,,54A,,,,http://bak.lt/wp-content/uploads/2014/01/BAK-201209-111.jpg,,,,Nemenčinės pl.,info@bak.lt,,http://www.bak.lt,,+37052342020,54.7352821,,Baltijos Amerikos klinika,yes,,Vilnius,,,10103,,,,,,,
,hospital,general;dentistry,24.0255968,,,,,,,Birštono pirminės sveikatos priežiūros centras,,8,,,,,,,,Jaunimo g.,,,birstonoambulatorija.lt,,+37031967018,54.6072207,,Birštono pirminės sveikatos priežiūros centras,yes,,Birštonas,,,,,,hospital,,,,
,hospital,,24.7585641,,,,,,,,,115,,,,,,,,Vilniaus g.,,,http://www.birzuligonine.lt/index.php/lt/,yes,,56.1883822,,Biržų ligoninė,yes,,Biržai,,,41115,,,,,,,
,hospital,,21.1274057,,,,,,,,,9,,,,,,,,Puodžių g.,,,https://www.rkligonine.lt/dienos-chirurgijos-centras-puodziu-g-9-bokstu-g-6,,,55.7124957,,Dienos chirurgijos centras,yes,,Klaipėda,,,,,,hospital,,,,
,hospital,,24.0083513,,,,,,,,,30,,,,,,,,Sveikatos g.,,,,,,54.0166106,,Druskininkų ligoninė,yes,,Druskininkai,,,,,,,,,,
,hospital,,22.7037619,,,,,,yes,,,,,,,,,,,Piliakalnio g.,,,,,,55.2604592,,Eržvilko Pirminės Sveikatos Priežiuros Centras,yes,,Eržvilkas,,,,,,,,,,
,hospital,,25.0902703,,,,,,,,,10,,,,,,,,Mokyklos g.,,,,yes,,54.6719060,,Grigiškių palaikomojo gydymo ir slaugos ligoninė,yes,,Grigiškės,,,,,,,27105,,,
,hospital,,23.9034550,,,,,,,,,11,,,,,,,,I. Kanto g.,,,,no,,54.8955359,,I. Kuprijaškino psichoterapinis kabinetas,yes,,Kaunas,,,,,,,,,,
,hospital,,25.2489371,,,,,,,,,1,,,,,,,,Birutės g.,,,,,,54.6878577,,Infekcinių ligų ir tuberkuliozės ligoninė,yes,,Vilnius,gabled,,,,,,,,,
,,,23.7220523,,,Juozo Zikaro gatvė,,,,,,,,,,,,,,,,residential,,,,54.9306288,,J. Zikaro g.,,,,,,,,,,,,,
,,,23.7215099,,,Juozo Zikaro gatvė,,,,,,,,,,,,,,,,residential,,,,54.9300963,,J. Zikaro g.,,,,,,,,,,,,,
,hospital,,24.2702877,,,,,Q16453830,,Jonavos ligoninė,,19,,,,,lt:Jonavos ligoninė,,,Žeimių g.,,,http://www.jonavosligonine.lt/,,,55.0797331,no,Jonavos ligoninė,hospital,,Jonava,,,55134,,,,,,,
,hospital,,24.1690884,,,,,,,,,3,,,,,,,,Vytauto g.,,,,yes,,56.0262554,,Joniškėlio ligoninė,yes,,Joniškėlis,,,39305,,,,,,,
,hospital,,22.7486134,,,,,,,,,,,,,,,,,,,,,yes,,55.0854936,,Jurbarko ligoninė,,,,,,,,,,,,,
,hospital,,22.7711514,,,,,,,,,,,,,,,,,,,,,,,55.0825659,,Jurbarko šeimos klinika,,,,,,,,,,,,,
,hospital,,21.0862976,,,,,,,,,76,,,,,,,,Klaipėdos pl.,,,https://www.jurlig.lt/departamentas/palangos-departamentas/,,,55.9366633,,Jūrininkų ligoninės Palangos skyrius,yes,,Palanga,,,00163,,,,,,,
,hospital,,23.9792892,,,,,,,,,,,,,,,,,,info@kgriniausligonine.lt,,http://www.kgriniausligonine.lt/,,+370 37 346736,54.8855854,,K. Griniaus slaugos ir palaikomojo gydymo ligoninė,,,,,,,,,,,residential,,
,hospital,,24.4263935,,,,,,,,,27,,,,,,,,Beržyno g.,,,,,,54.8537702,,Kaišiadorių ligoninė,yes,,Kaišiadorys,,,,limited,,,,,LT,
,hospital,,23.2223543,,,,,,,,,9,,,,,,,,Vytauto g.,,,,,,54.4145663,,Kalvarijos ligoninė,yes,,Kalvarija,,,,,,,,,LT,
,hospital,,25.2303176,,,,,,,,,64A,,6,,,,,,Laisvės pr.,,,,,,54.7171717,,Kardiolita,hospital,,Vilnius,,,,,,,,,LT,wlan
,hospital,,23.9036931,,,,,,,,,15,,,,,,,,I. Kanto g.,,,,no,,54.8960820,,Kauno Kraujo donorystės centras,yes,,Kaunas,,,,,,,,,,
,hospital,,23.9218516,,,,16,,,,,36,Kauno Raudonojo Kryžiaus klinikinė ligoninė,,,,,,,Gedimino g.,,,,yes,,54.8956665,,Kauno Raudonojo Kryžiaus klinikinė ligoninė,yes,Red Cross Hospital,Kaunas,,,,,,,,,,
,hospital,,23.8603830,,,,,,,,,120,,,,,,,,Baltijos g.,,,,,,54.9175962,,Kauno klinikinės ligoninės infekcinių ligų klinika,yes,,Kaunas,,,47116,,,,,,,
,hospital,,22.9467744,www.kelmesligonine.lt,,,,,,,,2,,4,,,,ORT10LT,,Nepriklausomybės g.,,,,yes,,55.6311415,,Kelmės ligoninė,yes,,Kelmė,,,,,,,,,,
,hospital,,21.1349302,,,,,,,,,15,,,,,,,,K. Donelaičio g.,,,,,+370 46 410 071,55.7159903,,Klaipėdos medicininės slaugos ligoninė,yes,,Klaipėda,,,92141,,,,,,,
,hospital,,21.1394533,,,,,,,,,3,,,,,,,,Galinio Pylimo g.,,,http://www.kpsc.lt/,,,55.7059487,,Klaipėdos psichikos sveikatos centras,yes,,Klaipėda,,,,,,,,,,
,hospital,,21.1284329,,,,,,,,,,Klaipėdos universitetinė ligoninė,,,,,ORT10LT,,,,,,yes,,55.7513834,,Klaipėdos universitetinė ligoninė,,Klaipeda Hospital,,,http://www.klaipedosligonine.lt/,,,,,,residential,,
,hospital,,21.1352706,,,,,,,,,7,,,,,,,yes,K. Donelaičio g.,,,http://www.kvl.lt/index.php/lt/,yes,+37046484144;+37046484120,55.7151376,,Klaipėdos vaikų ligoninė,,,Klaipėda,,,,yes,,,,,,
,hospital,,22.6893136,,,,,,,,,35,,,,,,,,S. Dariaus ir S. Girėno g.,,,,yes,,55.6029106,,Kražių ambulatorija,yes,,Kražiai,,,,,,,,,,
,hospital,,24.0914712,,,,,,,,,8,,,,,,,,Maironio g.,,,,,,55.5449124,,Krekenavos pirminės sveikatos priežiūros centras,,,Krekenava,,,,,,,,,,
,hospital,,23.6452557,,,,,,,Kauno Klinikos,,18,,3,,,,,,Akacijų al.,,,,,,54.9422161,,Kulautuvos reabilitacijos ligoninė,yes,,Kulautuva,,,,,,hospital,,,,
,hospital,,22.9368773,,,,,,,,,10,,3,,,,,,J. Basanavičiaus g.,,,http://www.kursenai-medicina.lt/l/,,+370 41 582 443,56.0035909,,Kuršėnų ligoninė,hospital,,Kuršėnai,,,81183,,,hospital,,,,
,hospital,,22.9372104,,,,,,,,,12A,,,,,,,,J. Basanavičiaus g.,,,,,+370 41 581 593,56.0043340,,Kuršėnų palaikomojo gydymo ir slaugos skyrius,yes,,Kuršėnai,,,81183,,,,,,,
,hospital,,23.9864905,,,,,Q20504328,,,,,,,,,lt:Kėdainių ligoninė,,,,,,,,,55.3112726,,Kėdainių ligoninė,,,,,,,,,,,,,
,hospital,,23.9255411,,,,,Q1165475,,,,2,LSMU Kauno klinikos,,,,lt:Lietuvos sveikatos mokslų universiteto ligoninė Kauno klinikos,,,Eivenių g.,,,https://www.kaunoklinikos.lt/,,,54.9169258,,LSMU Kauno klinikos,,Kaunas Clinics,Kaunas,,,50009,,,,,,,
,hospital,,23.9236395,,,,,,,,,2,,,,,,,,Eivenių g.,,,http://www.kaunoklinikos.lt/,,+37037326558,54.9196928,,LSMUL KK Akių klinika,yes,,Kaunas,,,,,,,,,,
,hospital,,23.9225937,,,,,,,,,,,,,,,,,,,,http://www.kaunoklinikos.lt/,,+37037326154,54.9215450,,LSMUL KK Endokrinologijos klinika,yes,,,,,,,,,,,,
,hospital,,23.9214829,,,,,,,,,,,,,,,,,,,,,,,54.9179021,,LSMUL KK Suaugusiųjų Skubios Pagalbos Centras,yes,,,,,,,,,,,,
,hospital,,23.9193750,,,,24,,,,,2,,,,,,,,Eivenių g.,,,,yes,,54.9189294,,LSMUL Kauno Klinikos,yes,,Kaunas,,,,,,,,,,
,,,24.6289474,,,,,,,,,,,,,,,,,,,unclassified,,,,56.2022750,,Likėnų g.,,,,,,,,,,,,,
,,,24.6288718,,,,,,,,,,,,,,,,,,,unclassified,,,,56.2024571,,Likėnų g.,,,,,,,,,,,,,
,,,24.6292098,,,,,,,,,,,,,,,,,,,unclassified,,,,56.2018171,,Likėnų g.,,,,,,,,,,,,,
,hospital,,25.2957567,,,,,,,,,28,,,,,,,yes,Subačiaus g.,,,,,,54.6768516,,"M. Marcinkevičiaus ligoninė, Subačiaus padalinys",yes,,Vilnius,,,,,,,,,,
,hospital,,22.3446965,,,,,,,,,,,,,,,,,,,,http://www.mazeikiuligonine.lt/,,,56.3177674,,Mažeikių ligoninė,,,,,,,,,,,,,
,hospital,,22.3394643,,,,,,,,,9,,,,,,,,Naftininkų g.,,,http://www.mazeikiupspc.lt/,,,56.3057222,,Mažeikių pirminės sveikatos priežiūros centras,yes,,Mažeikiai,,,89239,,,,,,,
,hospital,,23.4805586,,,,,,,,,,,,,,,,,,,,,,,56.0693645,,Meškuičių ambulatorija,hospital,,,,,,,,,,,,
,hospital,,25.4116535,,,,,,,,,3,,,,,,,,Graužinių g.,,,,,,55.2264445,,Molėtų ligoninė,yes,,Molėtai,,,33125,,,,,,LT,
,hospital,,25.2764175,,,,,,,,,4,,,,,,,,J. Jablonskio g.,,,,,,54.6730387,,Mykolo Marcinkevičiaus ligoninė,yes,,Vilnius,,,03215,,,,,,,
,hospital,,25.2766752,,,,,,,,,7,,,,,,,,Kauno g.,,,,,,54.6730642,,Mykolo Marcinkevičiaus ligoninė,yes,,Vilnius,,,03215,,,,,,,
,hospital,,22.8667626,,,,,,,,,32,,,,,,,yes,Respublikos g.,,,,,,56.3189584,,Naujosios Akmenės ligoninė,,,Naujoji Akmenė,,,,,,,,,,
,hospital,,21.0033078,,,,,,,,,11,,,,,,,,Taikos g.,,,,yes,,55.3026430,,Neringos pirminės sveikatos priežiūros centras,yes,,Neringa,,,,,,,,,,
,hospital,,23.2897285,,,,,,,,,,,,,,,,,,,,,,,55.9441072,,Onkologijos klinika,,,,,,,,,hospital,,,,
,hospital,,24.5927326,,,,,,,VšĮ Onuškio palaikomojo gydymo ir slaugos ligoninė,,6,,,,,,,,K. Petrausko a.,onuskio.ligonine@gmail.com,,http://onuskioligonine.lt/,,,54.4833433,,Onuškio palaikomojo gydymo ir slaugos ligoninė,yes,,Onuškis,,,,,,,,,,
,hospital,,21.9147033,,,,,,,,,,,,,,,,,,,,,,,55.1327511,,Pagėgių palaikomojo gydymo ir slaugos ligoninė,,,,,,,,,,,,,
,hospital,,21.9087376,,,,,,,,,39,,,,,,,,Vytauto g.,,,,,,55.1450681,,"Pagėgių palaikomojo gydymo, slaugos ir senelių globos ligoninė",yes,,Pagėgiai,,,,,,,,,,
,hospital,,23.8430102,,,,,,,,,3,,,,,,,,L. Giros g.,,,,,,55.9783593,,Pakruojo ligoninė,yes,,Pakruojis,,,,,,hospital,,,,
,hospital,,24.3543420,,,,,,,,,5B,,,,,,,,Sietyno g.,,,,,,55.7298298,,Panevezio m. greitosios medicinos pagalbos stotis,,,Panevėžys,,,,,,hospital,,,,
,hospital,,24.3623057,,,,,,,,,25,,,,,,,,Ramygalos g.,,,,no,,55.7243118,,Panevėžio infekcinė ligoninė,yes,,Panevėžys,,,36211,,,,,,,
,hospital,,24.3685596,,,,,,,,,6,,4,,,,,,M. Tiškevičiaus g.,,,,,,55.7318430,,Panevėžio palaikomojo gydymo ir slaugos ligoninė,hospital,,Panevėžys,,,,,,,,,LT,
,hospital,,24.3679065,,,,,Q20504351,,,,25,,,,,lt:Respublikinė Panevėžio ligoninė,,,Smėlynės g.,,,,,,55.7341956,,Panevėžio respublikinė ligoninė,yes,,Panevėžys,,,,,,,,,,
,hospital,,25.2253839,,,,,,,,,2,,1,,,,,,Žemynos g.,,,,,,54.7257293,,Pašilaičių šeimos medicinos centras,retail,,Vilnius,,,,,,,,,,
