amenity,healthcare:speciality,building:part,contact:website,wikidata,alt_name,operator,name:ru,addr:housenumber,barrier,addr:district,building:levels,contact:phone,lon,name:de,note,source,email,website,fax,emergency,contact:email,phone,lat,addr:street,building,name,url,addr:postcode,wheelchair,addr:city,healthcare,toilets:wheelchair,addr:country
hospital,,,,,,,,4,,,2,,24.3898382,,,,,,,,,,56.7415269,Iecavas iela,yes,"""Sociālās aprūpes centrs Baldone"", SIA",,,,Baldone,,,
hospital,,,,,,,,1,,,,,24.1378422,,,,,,,,,,56.9387533,Grebenščikova iela,yes,"""Veselības centrs 4"" diagnostikas centrs",,LV-1003,,Rīga,,,
hospital,,,,,,,,,,,,,21.5695965,,,,,,,,,,56.9798564,,,Alsungas doktorāts,,,,,hospital,,
hospital,,,,,,,,1,,Alūksnes novads,,,27.0483628,,,,,,,,,,57.4238827,Vidus iela,yes,Alūksnes poliklīnika,,LV-4301,,Alūksne,,,LV
hospital,,,,,,,,1A,,Alūksnes novads,,,27.0396445,,,,,,,,,,57.4374993,Pils iela,yes,Alūksnes slimnīca,,LV-4301,,Alūksne,,,LV
hospital,,,,,,,,,,,,,24.1924727,,,,,,,,,,56.4084510,,yes,Bauskas poliklīnika,,,,,,,
hospital,,,,,,,,,,,,,24.1929338,,,,,,,,,,56.4085785,,yes,Bauskas slimnīca,,,,,,,
hospital,,,,,,,,,,,,,24.1418098,,,,,,,,,,56.9382371,,yes,Bikur Holim slimnīca,,,,,,,
hospital,,,,,,,,,,,,,23.8589925,,,,,,,,,,56.9814252,,,Bulduru Slimnīca,,,,,,,
hospital,,,,,,,,46,,,,,24.3572414,,,,,,,,,,57.8635050,Krišjāņa Valdemāra iela,hospital,"Bērnu psihoneiroloģiskā slimnīca ""Ainaži""",,,,,,,
hospital,,,,,,Daugavpils psihoneiroloģiskā slimnīca SIA,Психоневрологическая больница,60/62,,,,,26.5565473,,,,dpns@dpns.gov.lv,https://dpns.gov.lv,,,,+371 65402240,55.8743534,Lielā Dārza iela,,Daugavpils psihoneiroloģiskā slimnīca,,LV-5417,,Daugavpils,hospital,,
hospital,,,www.dobelesslimnica.lv,,,,,2,,Dobeles novads,,+371 63723442,23.2679793,,,Dobeles novada teritorijas plānojums 2013. - 2025. gadam.,,,,,slimnica@dobele.lv,,56.6224678,Ādama iela,,Dobeles slimnīca,,LV-3701,,Dobele,,,LV
hospital,,,,,,,,,,,,,22.5931703,,,,,,,,,,57.2452692,,,Doktorāts,,,,,,,
hospital,,,,,,,,,,,,,25.8647911,,,"Jēkabpils territorial plan, 2009",,,,,,,56.5054779,,yes,Dr. Vidža Zobārstniecība,,,,,,,
hospital,,,,,,,Гайльэзерс,,,,,,24.2410987,,,,,,,yes,,,56.9652262,,,Gaiļezers,,,,,hospital,,
hospital,,,,,,,Центральная больница Екабпилского округа,,,,,,25.8415631,Zentralkrankenhaus Jakobstadt,,"Jēkabpils territorial plan, 2009",rcs@zednet.lv,,65237811,yes,,65237816,56.4966020,,hospital,Jēkabpils Reģionālā slimnīca,,,,,,,
hospital,,,,,,Jēkabpils RCS poliklīnika,Екабпилская поликлиника,,,,,,25.8398261,Poliklinik,,"Jēkabpils territorial plan, 2009",,,,,,,56.4978359,,yes,Jēkabpils poliklīnika,,,,,,,
hospital,,,,,,,,22,,,,,21.9547235,,,,,,,,,,56.9617892,Aizputes  iela,yes,Kuldīgas slimnīca,,LV-3301,,Kuldīga,,,LV
hospital,,,,,,LJMC,,27,,,,,24.1361873,,,,,http://www.ljmc.lv,,,,,56.9893247,Patversmes iela,yes,LJMC Centrāla slimnīca,,LV-1010,,Rīga,,,
hospital,,,,,,,,26,,,3,,24.1113101,,,,,http://www.ljmc.lv,+371 67340341,,,+371 67098433,57.0327383,Vecmīlgrāvja 5. līnija,yes,LJMC Vecmīlgrāvja slimnīca un Ziemeļu diagnostikas centrs,,LV-1015,,Rīga,,,LV
hospital,,,,,,,Латвийский инфектологический центр,,fence,,,,24.2034261,,,,,,,,,,56.9779973,,,Latvijas Infektoloģijas centrs,,,,,hospital,,
hospital,general;paediatrics;orthopaedics;surgery;ophthalmology;emergency;gynaecology;oncology;radiology;cardiology;internal;neurology;maternity,,,,LIEPĀJAS REĢIONĀLĀ SLIMNĪCA,,,25,,,,,21.0982055,,,,,htttp://www.liepajasslimnica.lv,,yes,,,56.5541824,Slimnīcas iela,,Liepājas Reģionālā Slimnīca,http://www.liepajasslimnica.lv,LV-3414,yes,Liepāja,,,
hospital,,,,,,,,,,,,,27.7122159,,,,,,,,,,56.5422632,,yes,Ludzas poliklīnika,,,,,,,
hospital,,,,,,,,,,,,,27.7145910,,,,,,,yes,,,56.5431210,,yes,Ludzas slimnīca,,,,,,,
hospital,,,,,,,,,,,,,27.7135486,,,,,,,yes,,,56.5424689,,yes,Ludzas slimnīca,,,,,,,
hospital,,,,,,,,,,,,,24.6195935,,,,,,,,,,56.8194569,,yes,Ogres poliklīnika,,,,,,,
hospital,,,,,,,,,,,,,24.6196125,,,"Ortofoto 1:10000, 2007 gads, © Latvijas Ģeotelpiskās informācijas aģentūra",,,,yes,,,56.8195375,,yes,Ogres rajona slimnīca,,,,,,,
hospital,,,,Q2034327,,,,,,,,,24.0679341,,,,,,,,,,56.9334353,,,Paula Stradiņa Klīniskā universitātes slimnīca,,,,,,,
hospital,,,,,,,,,,,,,23.7245770,,,,,,,no,,,56.6467259,,yes,Poliklīnika,,,,,,,
hospital,,,,,,"SIA Rehabilitācijas centrs ""Tērvete""",,,,,,,23.3919800,,,,,,,,,,56.4849332,,hospital,"Rehabilitācijas centrs ""Tērvete""",,LV-3730,,Tervete,hospital,,
hospital,,,,,,,,,,,3,,25.4311786,,,,,,,,,,57.2620514,,yes,Rīdzenes FVP,,,,,,,
hospital,,,,Q16351399,,,Рижская Первая больница,,,,,,24.1246718,,,,,,,,,,56.9627022,,,Rīgas 1. slimnīca,,,,,,,
hospital,,,,Q20564732,,,,,,,,,24.1332566,,,,,http://www.dzemdibu-nams.lv/,,,,,56.9661305,,,Rīgas dzemdību nams,,,,,,,
hospital,,,,,,,,6,wall,,,,24.1420749,,,,rpnc@rpnc.lv,http://rpnc.lv/,,no,,+371 67080201,56.9795471,Laktas iela,,"Rīgas psihiatrijas un narkoloģijas centrs, Tiesu psihiatrisko ekspertīžu un piespiedu ārstēšanas centrs",,,,,,,
hospital,,,,,,,,2,,,,,24.1202586,,,,rpnc@rpnc.lv,http://www.rpnc.lv,,,,67080112,56.9960982,Tvaika iela,,Rīgas psihoneiroloģiskā slimnīca,,LV-1005,,,,,
hospital,,,,,,,,,,,,,22.4928361,,,,,,,,,,56.6706797,,,Saldus slimnīca,,,,,,,
hospital,,,,,,,,,,,,,25.9147033,,,,,,,,,,57.4254289,,yes,Sarkanā Krusta Smiltenes slimnīca,,,,,,,
hospital,,,,,,,,34,,,,,24.4165137,,,,,,,yes,,,57.2739060,Ainažu iela,yes,Saulkrastu slimnīca,,LV-2160,,Saulkrasti,,,
hospital,,,,,,,,,,,,,25.7536033,,,,,,,,,,57.6522951,,yes,Sedas ambulance,,,,,hospital,,
hospital,,,,,,,,,,,,,24.8434995,,,,,,,,,,57.1559852,,,Siguldas slimnīca,,,,,,,
hospital,,,,,,,,,,,,,22.0169480,,,,,,,,,,56.6765332,,,Skrundas veselības un sociālās aprūpes centrs,,,,,,,
hospital,,,,,,,,,,,,,23.6941062,,This is psychoneurological hospital with additional services for addicts,,,,,,,,56.6389883,,,"Slimnīca ""Ģintermuiža""",,,,,,,
hospital,,,,,,,,,,,,,25.9129699,,,,,,,,,,57.4247085,,yes,Smiltenes poliklīnika,,,,,,,
hospital,,,,,,,,,,,,,26.0118706,,,,,,,,,,57.7865052,,,Soicālās palīdz. dienests,,,,,,,
hospital,,,,,,,,,,,,,22.6000677,,,Talsu novada teritorijas plānojums 2015,,,,,,,57.2434087,,yes,Talsu poliklīnika,,,,,,,
hospital,,,,,,,,,,,,,24.1370389,,,,,,,,,,56.9839023,,,Traumatoloģijas un ortopēdijas slimnīca,,,,,,,
hospital,,,,,,,,,,,,,24.3693126,,,,,,,,,,56.9279304,,,Tuberkulozes un plaušu slimību klīnika,,,,,,,
hospital,,,,,,,,12,,,,,26.5632623,,,,,,,,,,55.8932079,Arhitektu iela,,"VCA ""Olvi""",,LV-5410,,Daugavpils,hospital,,
hospital,,,,,,,,,,,,,25.3858325,,,,,,,,,,57.5173056,,,Valmieras slimnīca,,,,,,,
hospital,,,,,,,,24,,,,,25.4223052,,,,,,,,,,57.5393108,Bastiona iela,yes,Valmieras veselības centrs,,LV-4201,yes,Valmiera,hospital,,
hospital,,,,,,,,,,,,,23.6233644,,,,,,,,,,56.9434325,,,Veselības un sociālās aprūpes centrs - Sloka,,,,,,,
hospital,,,,,,,,2,,,,,27.6823575,,,,,,,,,,57.1783187,Parka iela,,Viļakas SAC,,LV-4583,,Viļaka,,,
hospital,,,,,,,,60 k7,,,,,21.5444400,,,,,http://www.ziemelkurzemesslimnica.lv,,,,,57.3880225,Inženieru iela,yes,Ziemeļkurzemes reģionālā Slimnīca,,LV-3601,yes,Ventspils,,yes,LV
hospital,,,,,,,,13/15,,,,,24.3249813,,,,,,,,,,57.0776085,Gaujas iela,yes,Ādažu slimnīca,,LV-2164,,,,,
hospital,,,,,,,,,,,,,25.6412694,,,,,,,,,,56.8936570,,yes,Ērgļu slimnīca,,,,,hospital,,
hospital,,,,,,,,,,,,,25.9135765,,,,,,,,,,57.4251363,,yes,Ūdra K. traumatologa-ortopēda privātprakse,,,,,,,
