amenity,office,healthcare:speciality,building:part,ref:bag,contact:website,layer,height,wikidata,alt_name,operator,ele,addr:housenumber,access,short_name,building:levels:underground,electricity,opening_hours,contact:phone,wikipedia,name,note,source,smokefree,roof:material,addr:housename,start_date,website,lon,description,emergency,toponym,source:date,phone,construction,name:local,old_name,lat,smoking,addr:street,building,name:en,operator:type,addr:city,designation,roof:shape,url,addr:postcode,wheelchair,email,building:levels,healthcare,toilets:wheelchair,health_amenity:type,addr:country,internet_access
hospital,,,,664100000018575,,,,,,,,,,,,,,,nl:Admiraal de Ruyterziekenhuis,ADRZ,,BAG,,,,1982,https://www.adrz.nl/,3.9076052,,yes,,2014-05-29,+31 88 1250000,,,,51.4844179,,,hospital,,,,,,,,,,,,,,,
hospital,,,,,,,,,,,,1,,,,,,,,Advent Hospital,,local knowledge;Been there because I live here!,,,,,,-68.9040685,,,,,+5999 737 0611,,,,12.1202440,,Groot Davelaarweg,yes,,,,,,,,,,,,,,CW,
hospital,,,,,,,,,,Albert Schweitzer Ziekenhuis,,,,,,,,,,"Albert Schweitzer Ziekenhuis, loc. Dordwijk",,,,,,,,4.6794905,,yes,,,(078) 654 11 11,,,,51.7912601,,,,,,,,,,,,,,,,,,
hospital,,,,,,,,Q2754101,,,,,,,,,,,nl:Alrijne Ziekenhuis Leiden,Alrijne Ziekenhuis,,,,,,,,4.4807211,,,,,,,,,52.1736222,,,,,,,,,,,,,,hospital,,,,
hospital,,,,,,,,,,,,,,,,,,,,Alrijne Ziekenhuis,,,,,,,,4.5408376,,,,,,,,,52.1553499,,,,,,,,,,,limited,,,hospital,yes,,,
hospital,,,,,http://www.amphia.nl,,,,,,,21,,,,,,,,Amphia Ziekenhuis Locatie Molengracht,,,,,,,,4.7954843,,,,,,,,,51.5840617,,Molengracht,,,,,,,,4814 CK,,,,hospital,,,,
hospital,,,,,,,,,,,,75,,,,,,,,"Amphia Ziekenhuis, Locatie Langedijk",,,,,,,http://www.amphia.nl,4.7640854,,,,,+76 595 5000,,,,51.5753425,,Langendijk,,,,Breda,,,,4819 EV,,,,,,,NL,
hospital,,,,826100000000594,,,,,,,,9,,,,,,,,"Amphia Ziekenhuis, Locatie Pasteurlaan",,BAG,,,,1973,,4.8711520,,,,2014-05-07,,,,,51.6476689,,Pasteurlaan,yes,,,Oosterhout,,,,4901 DH,,,,,,,NL,
hospital,,,,,,,,Q1888218,VU University Medical Center Amsterdam,,,1117,,VUmc,,,,,,Amsterdam UMC - locatie VUMC,VUmc: ziekenhuis & polikliniek,,,,,,http://www.vumc.nl,4.8584020,,,,,,,,,52.3368182,,De Boelelaan,,,,Amsterdam,,,,1081 HV,,,,,,,NL,
hospital,,,,,,-1,,Q2487297,Amsterdam Universitair Medische Centra locatie Academisch Medisch Centrum,,,9,,AMC,,,,,nl:Academisch Medisch Centrum,Amsterdam UMC locatie AMC,,,,,,,,4.9497018,,yes,,,,,,,52.2938649,,Meibergdreef,,Academic Medical Center,,Amsterdam,,,,1105AZ,,,,hospital,,,NL,
