health_facility:type,healthcare:speciality,building:part,social_facility,payment:cash,housenumer,addr:housenumber,description,fenced,addr:state,ele,source,covered,image,fax,emergency,jastrzebiegis:opis,contact:facebook,leisure,historic,addr:street,fixme,name:en,contact:fax,name,designation,website:operator,addr:postcode,ref:nid,name:etymology:wikidata,internet_access,int_name,fence,ewmapa:warstwa,parking,loc_name,name:ru,building:fireproof,phone_1,note:official_name,wikipedia,access,mapillary,operator:centre,boundary,addr:street:sym_ul,ref,email,fixme2,barrier,contact:email,addr:province,jastrzebiegis:id,phone1,addr:city:simc,source:geometry,addr:city,building:use:pl,toilets:wheelchair,source_ref,building:type:pl,lon,contact:website,roof:colour,layer,height,email_1,alt_name,construction_date,operator,name:pl,name:de,boat,fee,protect_class,heritage:since,opening_hours,contact:phone,addr:housename,contact:mobile,heritage,start_date,website,addr:province:en,phone,old_name,smoking,aeroway,dispensing,note:name,landuse,roof:levels,amenity,operator:type,reg_name,addr:suburb,official_name,wikidata,waterway,short_name,building:levels,note,building:usage:pl,data_zmiany,source:addr,building:material,addr:full,fence_type,lat,medical_system:western,building,building:colour,url,wheelchair,addr:place,healthcare,addr:country,heritage:operator
,,,,,,,,,,,,,,,yes,,,,,,,,,"""KUTNOWSKI SZPITAL SAMORZĄDOWY"" SPÓŁKA Z O.O.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3719240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.2392953,,,,,,,,,
,cardiology,,,,,9,,,,,geoportal:orto,,,,,,,,,Plac Zdrojowy,,,,"""Teresa"" Uzdrowiskowy Szpital Kardiologiczny",,,58-330,,,,,,,,,,,,,,,,,,25947,,,,,,,,,0984025,,Jedlina-Zdrój,,,,,16.3453272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,mjedlinazdroj.e-mapa.net,,,,50.7285340,,yes,,,,,hospital,,
,,,,,,5,,,,,,,,,,,,,,Powstańców Warszawy,,,,10 Wojskowy Szpital Kliniczny z Polikliniką,,,85-681,,,,,,,,,,,,,,,,,,,,szpital@10wsk.mil.pl,,,,,,,,,Bydgoszcz,,,,,18.0110770,,,,,,Szpital Wojskowy,,,,,,,,,,,,,,,https://www.10wsk.mil.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.1420664,,,,,yes,,hospital,PL,
,,,,,,1,,,,,,,,,,,,,,Żelazna,,,,105 Szpital Wojskowy,,,68-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żagań,,,,,15.3327485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.6123209,,,,,,,hospital,,
,,,,,,2,,,,,,,,,yes,,,,,Bolesława Domańskiego,,,,105 Szpital Wojskowy z Przychodnią SPZOZ,,,68-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Żary,,,,,15.1481984,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.6415875,,yes,,"https://polska-org.pl/539846,Zary,105_Kresowy_Szpital_Wojskowy_z_Przychodnia.html",,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,107 Szpital Wojskowy,,,,,,,,,,,,,,,,,,,,,,,sekretariat@107sw.mil.pl,,,,,,,,,,,,,,16.4616404,,,,,,,,,,,,,,,,,,,,,http://107sw.mil.pl/,,+48 67 258 24 42; +48 261 47 28 80,,,,,,,,hospital,,,,107 Szpital Wojskowy z Przychodnią Samodzielny Publiczny Zakład Opieki Zdrowotnej,,,,,,,,,,,,53.2838447,,,,,,,,,
,,,,,,30,,,,,,,,+48876219807,yes,,,,,Tadeusza Kościuszki,,,,108 Szpital Wojskowy,,,19-300,,,,,,,,,,,,,,,,,,,,szpital@108spzoz.elk.pl,,,,,,,,,Ełk,,,,,22.3631121,,,,,,,,,,,,,,,,,,,,,http://www.108spzoz.elk.pl/,,+48876219803,,,,,,,,hospital,,,,,,,,7,,,,,,,,53.8199983,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,109 Szpital Wojskowy z przychodnią,,,,1232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.5426300,,,,,,,,,,,,,,,,,,,2,,https://www.109szpital.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.4430984,,,,,,,,,nid
,,,,,,13,,,,,,,,,,,,,,Boczna,,,,115 Szpital Wojskowy,,,84-150,,,,,,,,,,,,,,,,,,,,info@szpitalhel.pl,,,,,,,0934501,,Hel,,,,,18.7986812,,,,,,115 Szpital Wojskowy z Przychodnią,,,,,,,,,,,,,,,http://www.szpitalhel.pl/,,+48 58 690 42 60,,,,,,,,hospital,,,,,,,,,,,,,,,,54.6120893,,hospital,,,,,,PL,
,,,,,,,,,,,,,,,,,,,,,,,,116 Szpital Wojskowy z Przychodnią,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.8966954,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.6605317,,,,,,,,,
,,,,,,8,,,,,,,,,,,,,,Generała Feliksa Rzewuskiego,,,,21 Wojskowy Szpital Uzdrowisko-Rehabilitacyjny,,,28-100,,,,,,,,,,,,,,,,,,19357,,,,,,,,,0946651,,Busko-Zdrój,,,,,20.7208577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,buskozdroj.e-mapa.net,,,,50.4542961,,hospital,,,,,,,
,,,,,,5,,,,,,,,,no,,,,,Wojska Polskiego,,,,22 Wojskowy Szpital Uzrowiskowo-Rehabilitacyjny,,,87-720,,,,,,,,,,,,,,,,,,,,,,,,,,,,mapa.aleksandrow.pl: Mapa Ewidencyjna,Ciechocinek,,,,,18.8042155,,,,,,,,,,,,,,,,,,,,,http://www.22wszur.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.8785707,,hospital,,,,,,PL,
,,,,,,2a,,,,,,,,,no,,,,,Jadwigi,,,,23. Wojskowy Szpital Uzdrowiskowo-Rehabilitacyjny,,,57-540,,,,,,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl,GPS",Lądek-Zdrój,,,,,16.8904087,,,,,,,,,,,,,,,,,,,,,http://www.23wszur.pl,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3422994,,yes,,,,,,,
,,,,,,1-3,,,,,,,,,yes,,,,,Wrocławska,,,,5 Wojskowy Szpital Kliniczny w Krakowie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9339294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.0751372,,,,,,,hospital,,
,,,,,,2,,,,,,,,,,,,,,Szpitalna,,,,6 Szpital Wojskowy z Przychodnią,,,08-530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dęblin,,,,,21.8561291,,,,,,,,,,,,,,,,,,,,,http://www.szpitaldeblin.pl,,261 518 530,,,,,,,,hospital,,,,,,,,,,,,,,,,51.5544396,,yes,,,,,,PL,
,,,,,,,,,,,,,,,,,,,,,,,,7 Szpital Marynarki Wojennej,,,,,,,,,,,,,,,,,,,,,,,sekretariat@7szmw.pl,,,,,,,,,,,,,,18.5650018,,,,,,,,,,,,,,,,,,,,,7szmw.pl,,+48 58 552 63 18,,,,,,,,hospital,,,,,,,,,,,,,,,,54.3919050,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Angelius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.9840343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2166537,,,,,,,hospital,,
,,,,,,4,,,,,,,,,,,,,,Książęca,,,,Apteka,,,43-220,,,,,,,,,,,,,,,,,,10223,,,,,,,,,0212707,,Bojszowy,,,,,19.0966361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,emuia.gugik.gov.pl,,,,50.0569879,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Arion ZOZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.7427566,,,,,,,,ARION Szpitale sp. z o.o.,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3605341,,,,,,,,,
,,,,,,,,,,,,,,,yes,,,,,Doktora Stanisława Pojaska,,,,Arion ZOZ,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,Biłgoraj,,,,,22.7126673,,,,,,,,ARION Szpitale sp. z o.o.,,,,,,,,,,,,,,,,,,,,,residential,,hospital,,,,,,,,,,,,,,,,50.5300021,,,,,,,,,
,,,,,,21,,,,,,,,,,,,,,Młodzieżowa,,,,Beskidzkie Centrum Medyczne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bielsko-Biała,,,,,19.0311845,,,,,,,,Beskidzkie Centrum Medyczne Sp. z o. o.,,,,,,,,,,,,,https://www.bcm.bielsko.pl/,,+48 33 82 63 400,,,,,,,,hospital,,,,,,,,,,,,,,,,49.7852242,,,,,,,hospital,,
,,,,,,,,,,,,,,,,,,,,,,,,Beskidzkie Centrum Onkologii im. Jana Pawła II,,,,,,,,,,,,,,,,,,,,,,,szpital@onkologia.bielsko.pl,,,,,,,,,,,,,,19.0566707,,,,,,,,,,,,,,,,,,,,,http://www.onkologia.bielsko.pl/,,+48 33 498 4001,,,,,,,,hospital,,,,,,,,,,,,,,,,49.8237033,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Białostockie Centrum Onkologii im. Marii Skłodowskiej - Curie,,,,,Q7186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.1677438,,,,,,,,,,,,,,,,,,,,,http://www.onkologia.bialystok.pl,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.1354418,,,,,,,,,
,emergency,,,,,,,,,,,,,,yes,,,,,,,,,Bieszczadzkie Wodne Ochotnicze Pogotowie Ratunkowe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.4483314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,49.3820420,,,,,,,hospital,,
,psychiatry,,,,,4-6,,,,,,,,,,,,,,Nysańska,,,,Brzeskie Centrum Medyczne,,,49-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,"geoportal.gov.pl, GPS",Brzeg,,,,,17.4756819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,BCM,,,,,,,,,50.8523726,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,Ogrodowa,,,,Budynek Szpitalny,,,89-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Szubin,,,,,17.7299084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.0078034,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Bydgoskie Centrum Diabetologii i Endokrynologii,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,18.0592279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,53.1056571,,,,,,,hospital,,
,,,,,,8,,,,,,,,,,,,,,Ludwika Hirszfelda,,,,Były Szpital w Górze,,,56-200,,,,,,,,,,,,,,,,,,06667,,,,,,,,,0954449,,Góra,,,,,16.5402075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,gora.e-mapa.net,,,,51.6653014,,yes,,,,,,,
,,,,,,8,,,,,,,,,,,,,,Leśna,,,,CDT Medicus - Szpital,,,59-300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lubin,,,,,16.2033617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.3833304,,hospital,,,,,,,
,,,,,,38a,,,,,,,,,,,,,,Feliksa Bocheńskiego,,,,CenterMed Sp. z o.o.,,,40-859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Katowice,,,,,18.9899633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.2661648,,,,,,,hospital,,
,,,,,,128,,,,,,,,,,,,,,Szaserów,,,,Centralny Szpital Kliniczny MON,,,,,,,,,,,,,,,,pl:Wojskowy Instytut Medyczny,,,,,,,,,,,,,,,,Warszawa,,,,,21.0936436,,,,,,,,,,,,,,,,,,,,,http://wim.mil.pl,,,,,,,,,,hospital,,,,Centralny Szpital Kliniczny Ministerstwa Obrony Narodowej,Q9377501,,,,,,,,,,,52.2518166,,,,,,,,,
,,,,,,137,,,,,,,,,,,,,,Wołoska,,,,Centralny Szpital Kliniczny MSWiA,,,02-507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Warszawa,,,,,20.9973540,,,,,,,,,,,,,,,,,,,,,https://cskmswia.pl/,,,,,,,,,,hospital,,,,Centralny Szpital Kliniczny Ministerstwa Spraw Wewnętrznych i Administracji,,,,,,,,,,,,52.1994168,,,,,,,,,
,,,,,,8,,,,,UM Opole,,,+48 77 453 61 06,,,,,,Władysława Reymonta,,,,"Centrum Ginekologii, Położnictwa i Neonatologii w Opolu",,,45-066,,,,,,,,,,,,,,,,,,,,centrum@ginekologia.opole.pl,,,,,,,,,Opole,,,,,17.9276177,,,,,,,,,,,,,,,,,,531 069 489,,,http://ginekologia.opole.pl,,+48 77 454 54 01,,,,,,,,hospital,,,,,,,,4,,,,,,,,50.6668027,,hospital,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,"Centrum Ginekologii, Położnictwa i Neonatologii w Opolu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.9287324,,,,,,,,,,,,,,,,,,,,,http://ginekologia.opole.pl,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.6672094,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Leczenia Chorób Płuc - oddział dziecięcy,,,,,,,,,,,,,,,,,,,,,,,,,fence,,,,,,,,,,,,19.4829462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.8357575,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Leczenia Oparzeń,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0285062,,,,,,,,,,,,,,,,,,,,,http://www.clo.com.pl/,,,,,,,,,,hospital,,,,,,,,,,,,,,,,50.3051211,,,,,,,hospital,,
,,,,,,,,,,,,,,,no,,,,,,,,,Centrum Medyczne BCM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1885503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,52.3882716,,yes,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Medyczne Grupa Zdrowie - Zakład Opiekuńczo Leczniczy dla osób z zaburzeniami psychicznymi,,,,,,,,,,,,,,,,,,,,,,,kraszewo@grupazdrowie.pl,,,,,,,,,,,,,,20.0425421,,,,,,,,,,,,,,,,,,,,,grupazdrowie.pl,,+48 22 749 10 70,,,,,,,,hospital,,,,,,,,,,,,,,,,52.8188985,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Medyczne Karpacz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.7407475,,,,,,Szpital Zarzecze,,Centrum Medyczne Karpacz S.A.,,,,,,,Mo-Sun 07:00–19:00,,,,,,www.cmkarpacz.pl,,+48 883 358 135,,,,,,,,hospital,,,,,,,,,,,,,,,,50.7813504,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,Centrum Medyczne Promed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3531108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hospital,,,,,,,,,,,,,,,,51.6594022,,,,,,,hospital,,
