amenity,int_name,ref:ipa,healthcare:speciality,ref:dgpc,wikipedia,contact:website,name:pt,official_name,lon,owner,wikidata,alt_name,parking,operator,sport,INF_MORADA,addr:housenumber,layer,capacity,short_name,addr:district,heritage:since,building:levels,opening_hours,contact:phone,addr:housename,heritage:website,name:de,note,source,name:fr,site_status,boundary,addr:street,email,protection_title,website,ref:vatin,fax,description,emergency,contact:email,building:material,heritage,addr:unit,barrier,phone,source:ref,historic,ownership,old_name,lat,operator:type,heritage:ref,addr:city,building,building:colour,contact:facebook,name:en,contact:fax,name,source:pkey,castle_type,addr:postcode,wheelchair,area,addr:place,name:es,start_date,electricity,protect_class,healthcare,heritage:website:sipa,toilets:wheelchair,landuse,disused,addr:country,heritage:operator
hospital,,,,,,,,,-9.4237165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,38.7419088,,,,,,,,,CASP -Centro de Apoio Social do Pisão,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.5379597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.5428801,,,,yes,,,,,CLIRIA - CLÍNICA DE OIÃ,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.2589595,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0803026,,,,,,,,,CUF Torres Vedras,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-7.4129523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,38.7698022,,,,,,,,,CVP - Unidade de Cuidados Continuados,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.9052440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,40.6568619,,,,,,,,,Casa de Saúde S. Mateus Hospital,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.6338270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1644544,,,,,,,,,Casa de Saúde da Boavista,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.2784262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,no,,,,,,,,,,,38.7740856,,,,,,,,,Casa de Saúde da Idanha,,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-9.1346450,,,,,,,,,,,,,,,,,,,,,,,,,Rua Montepio Rainha Dona Leonor,,,,,,,yes,,,,,,,,,,,39.4065049,,,Caldas da Rainha,residential,,,,,Casa de Saúde do Montepio Rainha Dona Leonor,,,2500-253,,,,,,,,,,,,,,
hospital,,,psychiatry,,,,,,-8.6211019,,,,,Casa de saúde S. João de Deus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.5410266,,,,,,,,,Casa de saúde S. João de Deus,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-9.0593613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,38.6563814,,,,,,,,,"Centro Hospitalar Barreiro-Montijo, EPE",,,,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.8161326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.7487557,,,,yes,,,,,Centro Hospitalar S. Francisco,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-7.9191920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.6811605,,,,,,,,,Centro Hospitalar Tondela-Viseu (Psiquiatria),,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-7.4935020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,40.2657612,,,,,,,,,"Centro Hospitalar Universitário da Cova da Beira, EPE",,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.5958785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.1070602,,,,,,,,,Centro Hospitalar Vila Nova de Gaia/Espinho Santos Silva - Unidade 1,,,,,,,,,,,hospital,,,,,,
hospital,,,,,,,,,-8.8174944,,,,,,,,26,,,,,,,,,,,,,,,,,Rua Principal,,,http://www.misericordiabatalha.com/portal/,,,,no,,,,,,+351 244 769 430,,,,,39.6390773,,,Batalha,,,,,,Centro Hospitalar de Nossa Senhora da Conceição,,,2440-090,,,,,,,,,,,,,,
hospital,,,,,,,,,-8.8810689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,38.5285461,,,,,,,,,"Centro Hospitalar de Setúbal, EPE",,,,,,,,,,,,,,,,,
hospital,,2140,orthopaedics,74258,,,,,-8.9358787,,,,,Ministério da Saúde,,,,,,,,1977,,,,,http://patrimoniocultural.gov.pt/pt/patrimonio/pesquisa/geral/patrimonioimovel/detail/74258,,,,,Classificado,protected_area,,,Imóvel de Interesse Público,,,,,,,,2,,,,https://dre.pt/pdf1sdip/1977/09/22600/23902396.pdf,,,,38.4879822,,IIP,,,,,,,"Centro Hospitalar de Setúbal, EPE- Hospital Ortopédio Santiago d'Outão",,,,,,,,1390-,,22,hospital,http://monumentos.pt/Site/APP_PagesUser/SIPA.aspx?id=2140,,,,,dgpc
hospital,,,,,,,,,-8.6371172,,,,,,,,,,,,,,,,,,,,,,,,,Rua 37,,,,,,,,,,,,,,,,,,41.0024921,,,Espinho,hospital,,,,,Centro Hospitalar de Vila Nova de Gaia/Espinho,,,4500-328,,,,,,,,,,,,,,
hospital,,,,,,,,,-7.9302568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,37.0257025,,,,,,,,,Centro Hospitalar e Universitário do Algarve-Hospital de Faro,,,,,,,,,,,,,,,,,
hospital,,,,,pt:Maternidade Júlio Dinis,,,,-8.6234138,,Q10327321,,,"Centro Hospitalar do Porto, E.P.E.",,,,,,,,,,,,Maternidade de Júlio Dinis,,,,bing,,,,Largo da Maternidade de Júlio Dinis,,,https://www.chporto.pt/,,,,,,,,,,+351 222 077 500,,,,Maternidade de Júlio Dinis (Centro Hospitalar do Porto),41.1506092,,,Porto,,,https://pt-br.facebook.com/Centro-Materno-Infantil-do-Norte-557382487730936/,,,Centro Materno-Infantil do Norte,,,4050-371,,,,,,,,,,,,,,
