comment,roof:levels,amenity,maxspeed,fence,healthcare:speciality,Inaltime,contact:website,roof:colour,internet_access:fee,USE,height,LEVELS,wikidata,alt_name,operator,ele,is_in,addr:housenumber,addr:postcode:source,note,emergency,designation,is_in:country,building:levels,opening_hours,is_in:city,addr:housename,created_by,name,access,source,lon,CLC:details,start_date,is_in:county,email,highway,website,PERIMETER,fax,name:ro,description,barrier,CLC:explanation,contact:phone,is_in:country_code,pre-CLC:landuse,is_in:state,phone,historic,old_name,lat,name:hu,fence_type,ID,addr:street,building,is_in:state_code,name:en,operator:type,addr:city,ENCLOSED_AREA,roof:shape,url,addr:postcode,wheelchair,addr:interpolation,source:geometry,name:etymology:wikidata,LMI,roof:orientation,healthcare,industrial,addr:country,internet_access
,,hospital,,,dialysis,,,,,,,,,,,,,,,,,,,,,,,,AFFIDEA,,,23.3754743,,,,,,,,,,,,,,,,,,,,45.4082011,,,,,,,,,,,,,,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulanta,,,27.3179285,,,,,,,,,,,,,,,,,,,,44.2035861,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulanta Alesd,,,22.4020288,,,,,,,,,,,,,,,,,,,,47.0532400,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulanță Reghin,,,24.6967293,,,,,,,,,Ambulanță Reghin,,,,,,,,,,,46.7840445,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Ambulatorul de Specialitate Sfântul Spiridon,,,27.5808641,,,,,,,,,,,,,,,,,,,,47.1699634,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Amethyst,,,26.0604644,,,,,,,,,,,,,,,,,,,,44.5358518,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,2,,,,,,,,,,,Arcadia Hospital,,,27.5612963,,,,,,https://arcadiamedical.ro/,,,,,,,,,,,+40 232 202002,,,47.1578663,,,,Strada Cicoarei,,,,,Iași,,,,700620,,,,,,,,,,
,,hospital,,,cardiology;radiology,,,,,,,,,,,,,2 - 4,,,,,Romania,5,,Sibiu,,,"Bloc materno-infantil, Cardiologie, Radiologie, Laborator analize, Farmacie",,Bing,24.1549566,,,Sibiu,,,,,,,,,,,RO,,,,,,45.7942521,,,,Bulevardul Corneliu Coposu,hospital,,,,Sibiu,,,,550245,,,,,,,hospital,,,
,,hospital,,,general;psychiatry;dentistry;ophthalmology;gynaecology;cardiology;dermatology;radiology;biology;internal,,,,,,,,,,,,,69,,,,,,,,,,,CERMED,,"survey, Bing, local info",28.6375993,,,,,,,,,,,,,,,,,,,,44.1797112,,,,Strada Avram Iancu,,,,,Constanța,,,,,,,,,,,hospital,,,wlan
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabinet Medico-Sanitar de Frontiera Port Constanța,,,28.6567463,,,,,,,,,,,,,,,,,,,,44.1717148,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabinet medical,,,27.5271536,,,,,,,,,,,,,,,,,,,,47.0970480,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabinet medical,,,22.7815310,,,,,,,,,,,,,,,,,,,,47.0768578,,,,,,,,,,,,,,,,,,,,,,,
,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,Cabinet medical,,,22.9855479,,,,,,,,,,,,,,,,,,,,46.8299443,Orvosi rendelő,,,,hospital,,,,,,,,,,,,,,,,,,
,,hospital,,,general;community,,,,,,,,,,,,,33,"Date de la Poșta Română, publicate sub Licența pentru Guvernare Deschisă v1.0 la http://date.gov.ro/organization/posta-romana",,no,,,,,,,,Cabinete medicale de familie,,,28.0495669,,,,,,,,,,,,,,,,,,,,45.4292631,,,,Strada Roșiori,,,,,Galați,,,,800055,,,,,,,hospital,,,
,,hospital,,,,,,,,,,,,,,,,4,,,,,,,,,,,Cabinete medicale de specialitate,,,27.5967041,,,,,,,,,,,,,,,,,,,,47.1504762,,,,Bulevardul Primăverii,yes,,,,Iași,,,,700173,,,,,,,,,RO,
